depth	min	max	median	mean
0	-50	-44	-47	-47
1	-45	46	-22	-16
2	-42	140	3	15
3	-40	233	28	45
4	-37	326	53	76
5	-35	420	78	107
6	-14	447	111	138
7	-4	489	144	170
8	6	531	175	201
9	13	594	206	232
10	20	657	235	263
11	46	688	267	294
12	64	718	301	325
13	78	761	332	357
14	90	811	364	388
15	100	866	396	419
16	134	891	429	451
17	154	924	462	483
18	172	966	496	516
19	188	1014	529	548
20	201	1073	559	580
21	232	1101	591	612
22	257	1130	624	645
23	279	1168	660	677
24	298	1202	692	709
25	313	1262	724	741
26	351	1286	758	774
27	384	1311	790	806
28	411	1348	823	839
29	431	1391	855	872
30	449	1447	889	904
31	481	1476	923	936
32	508	1498	956	969
33	532	1531	990	1001
34	554	1571	1023	1033
35	571	1606	1055	1065
36	614	1636	1088	1098
37	645	1661	1122	1130
38	668	1697	1154	1163
39	689	1731	1189	1195
40	711	1771	1223	1228
41	740	1792	1256	1259
42	773	1820	1289	1291
43	801	1850	1320	1323
44	821	1891	1353	1354
45	842	1935	1386	1386
46	883	1963	1416	1417
47	916	1989	1447	1449
48	944	2017	1481	1480
49	970	2058	1514	1512
50	992	2094	1548	1543
51	1037	2116	1580	1575
52	1071	2137	1611	1608
53	1101	2165	1646	1641
54	1136	2191	1679	1673
55	1166	2227	1715	1706
56	1210	2246	1745	1738
57	1249	2271	1778	1770
58	1284	2299	1810	1802
59	1312	2330	1842	1834
60	1334	2371	1876	1866
61	1377	2391	1905	1898
62	1420	2411	1938	1930
63	1450	2436	1970	1962
64	1478	2467	2002	1994
65	1510	2498	2033	2026
66	1557	2518	2066	2058
67	1597	2538	2098	2090
68	1628	2563	2131	2121
69	1661	2589	2164	2153
70	1689	2625	2196	2185
71	1745	2640	2226	2217
72	1797	2656	2256	2248
73	1833	2683	2288	2279
74	1864	2710	2321	2311
75	1891	2741	2353	2342
76	1954	2760	2382	2375
77	2002	2778	2414	2407
78	2045	2800	2446	2440
79	2078	2831	2477	2472
80	2104	2863	2510	2505
81	2175	2877	2538	2536
82	2244	2895	2569	2567
83	2299	2911	2601	2599
84	2344	2937	2634	2630
85	2374	2969	2669	2661
86	2410	3011	2704	2697
87	2438	3054	2738	2733
88	2458	3126	2770	2769
89	2476	3194	2800	2805
90	2492	3281	2831	2841
91	2528	3313	2868	2878
92	2554	3352	2905	2915
93	2577	3393	2939	2952
94	2595	3462	2974	2989
95	2613	3531	3008	3026
96	2647	3564	3046	3064
97	2677	3597	3082	3101
98	2705	3635	3124	3139
99	2726	3688	3164	3176
100	2746	3748	3198	3213
101	2792	3779	3238	3251
102	2828	3815	3276	3288
103	2854	3858	3312	3325
104	2874	3905	3351	3362
105	2899	3965	3387	3399
106	2940	3987	3424	3435
107	2974	4019	3463	3472
108	3007	4055	3503	3508
109	3032	4098	3538	3545
110	3054	4147	3575	3581
111	3098	4173	3613	3618
112	3138	4200	3649	3654
113	3169	4234	3688	3691
114	3191	4274	3728	3727
115	3214	4318	3765	3764
116	3261	4342	3801	3801
117	3290	4371	3839	3838
118	3317	4400	3878	3874
119	3340	4438	3917	3911
120	3367	4483	3955	3948
121	3403	4502	3993	3985
122	3439	4534	4031	4022
123	3472	4563	4067	4059
124	3502	4606	4106	4096
125	3537	4650	4143	4132
126	3585	4671	4180	4169
127	3626	4692	4220	4206
128	3669	4718	4259	4243
129	3703	4753	4295	4279
130	3734	4797	4333	4316
131	3795	4814	4369	4352
132	3840	4834	4407	4388
133	3877	4857	4445	4425
134	3915	4885	4485	4461
135	3943	4931	4521	4497
136	4002	4945	4557	4534
137	4050	4966	4593	4571
138	4082	4987	4630	4608
139	4123	5018	4670	4645
140	4160	5057	4706	4682
141	4237	5079	4741	4719
142	4297	5098	4777	4755
143	4341	5118	4813	4792
144	4378	5149	4850	4829
145	4415	5186	4886	4866
146	4463	5200	4913	4898
147	4503	5218	4941	4930
148	4538	5238	4970	4962
149	4572	5264	5001	4994
