depth,min,max,median,mean
0.0,-63,-62,-63,-63
1.0,-58,-57,-58,-58
1.5,-55,-55,-55,-55
2.0,-53,-52,-52,-52
2.5,-50,-49,-50,-50
3.0,-48,-47,-47,-47
3.5,-45,-44,-45,-45
4.0,-43,-42,-42,-42
4.5,-40,-39,-40,-40
5.0,-38,-36,-37,-37
5.5,-33,-32,-33,-33
6.0,-29,-28,-29,-29
6.5,-25,-24,-25,-25
7.0,-21,-20,-21,-21
7.5,-17,-16,-17,-17
8.0,-13,-12,-13,-13
8.5,-9,-8,-9,-9
9.0,-5,-4,-5,-5
9.5,-2,0,-1,-1
10.0,2,5,4,3
10.5,12,14,13,13
11.0,21,24,23,23
11.5,30,35,33,33
12.0,39,45,42,42
12.5,48,56,52,52
13.0,57,66,62,62
13.5,66,77,72,72
14.0,75,87,81,81
14.5,84,98,91,91
15.0,93,108,101,101
15.5,108,128,118,118
16.0,119,149,135,134
16.5,129,171,152,151
17.0,138,194,169,168
17.5,147,217,186,185
18.0,157,240,203,202
18.5,166,263,220,219
19.0,175,286,237,236
19.5,184,308,255,252
20.0,193,331,272,269
20.5,228,352,299,296
21.0,262,372,325,323
21.5,297,392,352,349
22.0,331,412,378,376
22.5,366,433,405,403
23.0,400,453,431,429
23.5,435,474,457,456
24.0,469,495,483,483
24.5,501,519,509,509
25.0,527,545,535,536
25.5,531,550,540,540
26.0,534,555,545,545
26.5,536,561,549,549
27.0,538,568,554,553
27.5,540,574,558,558
28.0,542,581,562,562
28.5,543,588,566,566
29.0,545,595,570,571
29.5,546,602,574,575
30.0,548,609,578,579
30.5,554,613,585,585
31.0,561,617,591,590
31.5,568,621,598,596
32.0,575,626,604,601
32.5,580,631,610,607
33.0,585,636,616,612
33.5,590,643,623,618
34.0,594,650,629,623
34.5,597,657,634,629
35.0,599,664,639,634
35.5,612,677,652,648
36.0,626,694,665,661
36.5,638,712,678,675
37.0,648,732,690,688
37.5,656,751,703,702
38.0,663,771,715,715
38.5,669,791,728,729
39.0,675,813,741,742
39.5,681,834,754,756
40.0,687,856,767,769
40.5,710,865,782,786
41.0,734,874,798,802
41.5,756,884,815,819
42.0,780,895,832,835
42.5,802,904,851,852
43.0,823,915,869,868
43.5,844,926,887,885
44.0,861,938,906,901
44.5,877,951,925,918
45.0,893,968,942,934
45.5,923,990,961,958
46.0,949,1025,976,982
46.5,969,1058,995,1005
47.0,983,1087,1020,1029
47.5,992,1120,1045,1053
48.0,1001,1157,1068,1076
48.5,1011,1197,1090,1100
49.0,1019,1238,1111,1123
49.5,1029,1279,1133,1147
50.0,1038,1320,1154,1171
50.5,1066,1330,1175,1191
51.0,1095,1339,1196,1211
51.5,1122,1350,1219,1231
52.0,1147,1361,1242,1252
52.5,1172,1373,1267,1272
53.0,1194,1387,1293,1292
53.5,1214,1402,1318,1312
54.0,1234,1419,1343,1332
54.5,1252,1441,1367,1352
55.0,1269,1465,1387,1373
55.5,1315,1477,1409,1400
56.0,1361,1491,1432,1427
56.5,1401,1506,1455,1454
57.0,1436,1525,1483,1481
57.5,1464,1550,1510,1508
58.0,1487,1580,1537,1535
58.5,1503,1618,1561,1562
59.0,1516,1659,1585,1589
59.5,1529,1705,1608,1616
60.0,1539,1751,1632,1643
60.5,1594,1787,1679,1689
61.0,1639,1830,1730,1735
61.5,1676,1877,1785,1781
62.0,1702,1935,1839,1827
62.5,1726,2001,1887,1873
63.0,1751,2073,1931,1919
63.5,1775,2151,1974,1965
64.0,1798,2231,2018,2011
64.5,1819,2308,2057,2057
65.0,1840,2386,2098,2103
65.5,1902,2398,2135,2140
66.0,1962,2411,2170,2177
66.5,2023,2426,2207,2214
67.0,2085,2439,2243,2251
67.5,2144,2453,2281,2288
68.0,2201,2468,2318,2325
68.5,2254,2484,2358,2362
69.0,2302,2502,2401,2399
69.5,2345,2526,2445,2436
70.0,2383,2561,2486,2473
70.5,2395,2568,2498,2484
71.0,2407,2575,2509,2494
71.5,2419,2582,2521,2505
72.0,2432,2591,2532,2516
72.5,2447,2600,2542,2526
73.0,2459,2610,2552,2537
73.5,2470,2620,2561,2548
74.0,2479,2630,2572,2558
74.5,2488,2642,2582,2569
75.0,2497,2654,2592,2580
75.5,2511,2658,2600,2588
76.0,2526,2663,2608,2596
76.5,2539,2668,2616,2604
77.0,2551,2673,2624,2613
77.5,2565,2679,2634,2621
78.0,2576,2684,2644,2629
78.5,2586,2691,2654,2637
79.0,2597,2698,2664,2646
79.5,2605,2706,2673,2654
80.0,2612,2715,2682,2662
80.5,2626,2720,2690,2671
81.0,2638,2727,2697,2681
81.5,2647,2734,2705,2690
82.0,2655,2742,2713,2699
82.5,2665,2750,2721,2708
83.0,2673,2759,2728,2717
83.5,2686,2768,2736,2726
84.0,2695,2777,2744,2736
84.5,2703,2787,2752,2745
85.0,2710,2798,2760,2754
85.5,2728,2805,2770,2767
86.0,2746,2813,2780,2779
86.5,2763,2822,2790,2792
87.0,2778,2836,2799,2804
87.5,2792,2852,2808,2817
88.0,2804,2867,2820,2829
88.5,2813,2881,2832,2842
89.0,2821,2897,2844,2854
89.5,2827,2914,2856,2867
90.0,2833,2932,2868,2879
90.5,2855,2956,2893,2903
91.0,2873,2983,2919,2927
91.5,2888,3015,2944,2950
92.0,2900,3048,2968,2974
92.5,2912,3083,2993,2998
93.0,2923,3117,3015,3021
93.5,2933,3153,3038,3045
94.0,2943,3190,3063,3069
94.5,2952,3226,3086,3092
95.0,2963,3262,3109,3116
95.5,2993,3284,3133,3142
96.0,3024,3309,3162,3169
