depth,mean,accum_time
0,-63,NA
1,-58,5
1.5,-55,3
2,-52,3
2.5,-50,2
3,-47,3
3.5,-45,2
4,-42,3
4.5,-40,2
5,-37,3
5.5,-33,4
6,-29,4
6.5,-25,4
7,-21,4
7.5,-17,4
8,-13,4
8.5,-9,4
9,-5,4
9.5,-1,4
10,3,4
10.5,13,10
11,23,10
11.5,33,10
12,42,9
12.5,52,10
13,62,10
13.5,72,10
14,81,9
14.5,91,10
15,101,10
15.5,118,17
16,134,16
16.5,151,17
17,168,17
17.5,185,17
18,202,17
18.5,219,17
19,236,17
19.5,252,16
20,269,17
20.5,296,27
21,323,27
21.5,349,26
22,376,27
22.5,403,27
23,429,26
23.5,456,27
24,483,27
24.5,509,26
25,536,27
25.5,540,4
26,545,5
26.5,549,4
27,553,4
27.5,558,5
28,562,4
28.5,566,4
29,571,5
29.5,575,4
30,579,4
30.5,585,6
31,590,5
31.5,596,6
32,601,5
32.5,607,6
33,612,5
33.5,618,6
34,623,5
34.5,629,6
35,634,5
35.5,648,14
36,661,13
36.5,675,14
37,688,13
37.5,702,14
38,715,13
38.5,729,14
39,742,13
39.5,756,14
40,769,13
40.5,786,17
41,802,16
41.5,819,17
42,835,16
42.5,852,17
43,868,16
43.5,885,17
44,901,16
44.5,918,17
45,934,16
45.5,958,24
46,982,24
46.5,1005,23
47,1029,24
47.5,1053,24
48,1076,23
48.5,1100,24
49,1123,23
49.5,1147,24
50,1171,24
50.5,1191,20
51,1211,20
51.5,1231,20
52,1252,21
52.5,1272,20
53,1292,20
53.5,1312,20
54,1332,20
54.5,1352,20
55,1373,21
55.5,1400,27
56,1427,27
56.5,1454,27
57,1481,27
57.5,1508,27
58,1535,27
58.5,1562,27
59,1589,27
59.5,1616,27
60,1643,27
60.5,1689,46
61,1735,46
61.5,1781,46
62,1827,46
62.5,1873,46
63,1919,46
63.5,1965,46
64,2011,46
64.5,2057,46
65,2103,46
65.5,2140,37
66,2177,37
66.5,2214,37
67,2251,37
67.5,2288,37
68,2325,37
68.5,2362,37
69,2399,37
69.5,2436,37
70,2473,37
70.5,2484,11
71,2494,10
71.5,2505,11
72,2516,11
72.5,2526,10
73,2537,11
73.5,2548,11
74,2558,10
74.5,2569,11
75,2580,11
75.5,2588,8
76,2596,8
76.5,2604,8
77,2613,9
77.5,2621,8
78,2629,8
78.5,2637,8
79,2646,9
79.5,2654,8
80,2662,8
80.5,2671,9
81,2681,10
81.5,2690,9
82,2699,9
82.5,2708,9
83,2717,9
83.5,2726,9
84,2736,10
84.5,2745,9
85,2754,9
85.5,2767,13
86,2779,12
86.5,2792,13
87,2804,12
87.5,2817,13
88,2829,12
88.5,2842,13
89,2854,12
89.5,2867,13
90,2879,12
90.5,2903,24
91,2927,24
91.5,2950,23
92,2974,24
92.5,2998,24
93,3021,23
93.5,3045,24
94,3069,24
94.5,3092,23
95,3116,24
95.5,3142,26
96,3169,27
96.5,3195,26
97,3221,26
97.5,3247,26
98,3274,27
98.5,3300,26
99,3326,26
99.5,3352,26
100,3378,26
100.5,3404,26
101,3429,25
101.5,3454,25
102,3480,26
102.5,3505,25
103,3531,26
103.5,3556,25
104,3581,25
104.5,3607,26
105,3632,25
105.5,3657,25
106,3682,25
106.5,3707,25
107,3732,25
107.5,3757,25
108,3782,25
108.5,3807,25
109,3832,25
109.5,3857,25
110,3882,25
110.5,3900,18
111,3918,18
111.5,3936,18
112,3954,18
112.5,3973,19
113,3991,18
113.5,4009,18
114,4027,18
114.5,4045,18
115,4064,19
115.5,4082,18
116,4100,18
116.5,4117,17
117,4135,18
117.5,4153,18
118,4171,18
118.5,4189,18
119,4207,18
119.5,4225,18
120,4243,18
120.5,4260,17
121,4277,17
121.5,4294,17
122,4311,17
122.5,4328,17
123,4345,17
123.5,4362,17
124,4379,17
124.5,4396,17
125,4413,17
125.5,4431,18
126,4448,17
126.5,4466,18
127,4484,18
127.5,4501,17
128,4519,18
128.5,4537,18
129,4554,17
129.5,4572,18
130,4590,18
130.5,4614,24
131,4639,25
131.5,4663,24
132,4688,25
132.5,4712,24
133,4737,25
133.5,4761,24
134,4785,24
134.5,4810,25
135,4834,24
135.5,4857,23
136,4880,23
136.5,4903,23
137,4926,23
137.5,4949,23
138,4972,23
138.5,4995,23
139,5017,22
139.5,5040,23
140,5063,23
140.5,5080,17
141,5096,16
141.5,5113,17
142,5129,16
142.5,5146,17
143,5162,16
143.5,5179,17
144,5195,16
144.5,5212,17
145,5228,16
145.5,5242,14
146,5256,14
146.5,5270,14
147,5284,14
147.5,5298,14
148,5312,14
148.5,5326,14
149,5340,14
149.5,5354,14
