depth,mean,accum_time
0,-67,NA
1,-56,11
2,-45,11
3,-34,11
4,-22,12
5,-11,11
6,0,11
7,11,11
8,23,12
9,34,11
10,45,11
11,57,12
12,68,11
13,79,11
14,90,11
15,101,11
16,113,12
17,124,11
18,136,12
19,147,11
20,159,12
21,170,11
22,182,12
23,193,11
24,205,12
25,216,11
26,228,12
27,239,11
28,250,11
29,262,12
30,273,11
31,285,12
32,296,11
33,307,11
34,319,12
35,330,11
36,342,12
37,353,11
38,364,11
39,375,11
40,386,11
41,397,11
42,409,12
43,420,11
44,431,11
45,443,12
46,454,11
47,465,11
48,476,11
49,487,11
50,498,11
51,509,11
52,520,11
53,532,12
54,543,11
55,554,11
56,565,11
57,576,11
58,588,12
59,599,11
60,610,11
61,621,11
62,632,11
63,644,12
64,655,11
65,666,11
66,678,12
67,689,11
68,701,12
69,712,11
70,723,11
71,735,12
72,746,11
73,757,11
74,769,12
75,780,11
76,792,12
77,803,11
78,814,11
79,826,12
80,837,11
81,848,11
82,859,11
83,870,11
84,881,11
85,892,11
86,904,12
87,915,11
88,927,12
89,938,11
90,949,11
91,961,12
92,972,11
93,983,11
94,994,11
95,1005,11
96,1014,9
97,1024,10
98,1034,10
99,1044,10
100,1053,9
101,1062,9
102,1070,8
103,1079,9
104,1087,8
105,1095,8
106,1104,9
107,1112,8
108,1121,9
109,1129,8
110,1138,9
111,1146,8
112,1155,9
113,1163,8
114,1172,9
115,1180,8
116,1189,9
117,1197,8
118,1205,8
119,1214,9
120,1222,8
121,1230,8
122,1239,9
123,1247,8
124,1256,9
125,1264,8
126,1272,8
127,1281,9
128,1289,8
129,1297,8
130,1306,9
131,1314,8
132,1323,9
133,1331,8
134,1340,9
135,1348,8
136,1357,9
137,1365,8
138,1374,9
139,1382,8
140,1391,9
141,1399,8
142,1407,8
143,1416,9
144,1424,8
145,1432,8
146,1441,9
147,1449,8
148,1457,8
149,1466,9
150,1474,8
151,1483,9
152,1492,9
153,1500,8
154,1509,9
155,1518,9
156,1526,8
157,1534,8
158,1543,9
159,1551,8
160,1560,9
161,1568,8
162,1576,8
163,1585,9
164,1593,8
165,1602,9
166,1610,8
167,1619,9
168,1627,8
169,1636,9
170,1644,8
171,1653,9
172,1661,8
173,1669,8
174,1678,9
175,1686,8
176,1695,9
177,1703,8
178,1712,9
179,1720,8
180,1729,9
181,1737,8
182,1745,8
183,1753,8
184,1761,8
185,1770,9
186,1779,9
187,1789,10
188,1799,10
189,1809,10
190,1819,10
191,1832,13
192,1846,14
193,1859,13
194,1873,14
195,1887,14
196,1900,13
197,1914,14
198,1928,14
199,1941,13
200,1955,14
201,1969,14
202,1982,13
203,1996,14
204,2009,13
205,2023,14
206,2036,13
207,2050,14
208,2063,13
209,2076,13
210,2090,14
211,2104,14
212,2118,14
213,2132,14
214,2146,14
215,2160,14
216,2174,14
217,2188,14
218,2203,15
219,2217,14
220,2231,14
221,2245,14
222,2258,13
223,2272,14
224,2285,13
225,2299,14
226,2312,13
227,2325,13
228,2338,13
229,2351,13
230,2364,13
231,2377,13
232,2391,14
233,2404,13
234,2418,14
235,2431,13
236,2445,14
237,2458,13
238,2472,14
239,2485,13
240,2499,14
241,2513,14
242,2527,14
243,2540,13
244,2554,14
245,2568,14
246,2582,14
247,2595,13
248,2609,14
249,2622,13
250,2636,14
251,2650,14
252,2663,13
253,2677,14
254,2690,13
255,2703,13
256,2717,14
257,2730,13
258,2744,14
259,2757,13
260,2771,14
261,2785,14
262,2798,13
263,2812,14
264,2826,14
265,2840,14
266,2853,13
267,2867,14
268,2880,13
269,2893,13
270,2907,14
271,2920,13
272,2933,13
273,2947,14
274,2960,13
275,2973,13
276,2987,14
277,3001,14
278,3014,13
279,3028,14
280,3041,13
281,3055,14
282,3069,14
283,3082,13
284,3096,14
285,3110,14
286,3123,13
287,3137,14
288,3150,13
289,3164,14
290,3177,13
291,3191,14
292,3205,14
293,3219,14
294,3233,14
295,3247,14
296,3261,14
297,3274,13
298,3287,13
299,3301,14
300,3314,13
301,3328,14
302,3341,13
303,3354,13
304,3368,14
305,3381,13
306,3395,14
307,3408,13
308,3422,14
309,3436,14
310,3449,13
311,3463,14
312,3477,14
313,3491,14
314,3505,14
315,3519,14
316,3532,13
317,3546,14
318,3559,13
319,3573,14
320,3586,13
321,3600,14
322,3614,14
323,3627,13
324,3641,14
325,3655,14
326,3668,13
327,3681,13
328,3695,14
329,3708,13
330,3721,13
331,3735,14
332,3748,13
333,3761,13
334,3775,14
335,3788,13
336,3802,14
337,3815,13
338,3829,14
339,3843,14
340,3856,13
341,3870,14
342,3884,14
343,3898,14
344,3912,14
345,3925,13
346,3939,14
347,3953,14
348,3967,14
349,3980,13
350,3994,14
351,4008,14
352,4021,13
353,4035,14
354,4049,14
355,4062,13
356,4076,14
357,4089,13
358,4102,13
359,4115,13
360,4129,14
361,4142,13
362,4156,14
363,4170,14
364,4184,14
365,4197,13
366,4211,14
367,4224,13
368,4237,13
369,4251,14
370,4264,13
371,4278,14
372,4291,13
373,4305,14
374,4318,13
375,4331,13
376,4344,13
377,4357,13
378,4370,13
379,4383,13
380,4396,13
381,4409,13
382,4422,13
383,4434,12
384,4447,13
385,4460,13
386,4473,13
387,4486,13
388,4499,13
389,4512,13
390,4525,13
391,4541,16
392,4558,17
393,4574,16
394,4590,16
395,4607,17
396,4623,16
397,4639,16
398,4655,16
399,4671,16
