depth	min	max	median	mean
150	11	17	14	14
151	15	58	26	29
152	16	102	38	44
153	17	147	50	59
154	19	192	63	74
155	20	237	75	89
156	30	246	91	103
157	35	257	108	118
158	40	275	124	132
159	44	298	138	147
160	48	328	152	161
161	61	337	167	175
162	70	349	185	190
163	77	360	201	204
164	82	378	217	218
165	88	401	233	233
166	101	410	249	247
167	112	419	264	262
168	121	432	279	276
169	129	447	293	290
170	138	466	307	305
171	152	480	321	319
172	161	497	335	333
173	168	518	349	347
174	173	545	364	360
175	179	581	377	374
176	188	595	390	388
177	197	620	404	401
178	204	642	417	415
179	209	672	428	429
180	214	708	440	442
181	225	722	454	456
182	235	737	468	470
183	241	756	482	484
184	247	786	496	498
185	252	813	507	511
186	263	831	521	525
187	271	848	534	538
188	281	866	546	552
189	289	891	561	565
190	296	915	573	579
191	309	934	587	593
192	321	950	600	606
193	330	967	614	620
194	338	983	627	633
195	344	1000	640	647
196	354	1016	654	661
197	364	1033	670	674
198	372	1051	682	688
199	381	1069	695	702
200	386	1090	708	715
201	397	1105	723	729
202	407	1115	738	743
203	418	1135	752	757
204	427	1156	767	770
205	433	1178	781	784
206	443	1193	795	797
207	453	1212	808	810
208	459	1223	821	823
209	469	1246	834	836
210	476	1265	845	849
211	488	1278	859	863
212	499	1293	874	876
213	508	1309	888	889
214	515	1331	901	903
215	521	1354	915	916
216	531	1370	929	930
217	540	1388	944	944
218	549	1407	956	957
219	558	1425	970	971
220	565	1451	982	984
221	571	1463	997	998
222	581	1473	1010	1011
223	588	1490	1025	1025
224	599	1507	1038	1039
225	606	1525	1051	1052
226	618	1546	1067	1066
227	629	1562	1078	1080
228	641	1573	1091	1094
229	653	1585	1105	1108
230	662	1608	1118	1122
231	674	1625	1130	1135
232	683	1641	1144	1149
233	693	1654	1157	1162
234	700	1671	1169	1175
235	708	1695	1182	1189
236	715	1712	1194	1202
237	720	1726	1209	1216
238	733	1742	1220	1229
239	742	1756	1233	1243
240	749	1776	1244	1256
241	758	1789	1257	1269
242	762	1806	1268	1282
243	767	1827	1279	1295
244	778	1845	1289	1308
245	785	1867	1303	1322
246	818	1884	1332	1346
247	860	1900	1361	1371
248	885	1916	1389	1396
249	898	1942	1424	1421
250	913	1966	1451	1445
251	937	1982	1476	1471
252	969	1999	1502	1497
253	992	2023	1529	1523
254	1010	2048	1555	1549
255	1028	2082	1581	1575
256	1067	2098	1610	1601
257	1106	2119	1637	1626
258	1134	2140	1663	1652
259	1159	2170	1687	1677
260	1181	2193	1710	1702
261	1212	2205	1735	1728
262	1233	2223	1762	1753
263	1257	2242	1787	1778
264	1272	2261	1813	1804
265	1291	2284	1841	1829
266	1337	2299	1866	1856
267	1377	2316	1894	1883
268	1404	2338	1925	1910
269	1441	2360	1953	1937
270	1457	2387	1978	1964
271	1507	2404	2004	1991
272	1543	2416	2029	2018
273	1582	2431	2058	2045
274	1613	2447	2087	2072
275	1639	2470	2115	2099
276	1686	2485	2141	2125
277	1724	2503	2167	2152
278	1750	2521	2192	2178
279	1777	2546	2221	2204
280	1798	2570	2247	2230
281	1852	2581	2270	2256
282	1894	2595	2294	2281
283	1928	2611	2319	2306
284	1956	2626	2343	2332
285	1980	2651	2369	2357
286	2044	2659	2391	2383
287	2092	2667	2412	2408
288	2130	2680	2433	2434
289	2159	2695	2457	2460
290	2186	2717	2484	2486
291	2210	2733	2510	2510
