depth	min	max	median	mean
0	-30	-24	-27	-27
1	-26	31	-10	-7
2	-24	89	7	14
3	-22	148	24	34
4	-20	207	41	54
5	-19	265	58	75
6	-17	324	74	95
7	-15	383	91	115
8	-13	442	108	136
9	-12	500	125	156
10	-10	559	142	176
11	6	575	161	196
12	18	597	184	216
13	27	617	206	236
14	35	644	228	256
15	44	665	250	276
16	50	699	271	296
17	57	738	292	316
18	64	777	312	337
19	70	821	331	357
20	76	862	352	377
21	96	879	372	398
22	114	896	394	420
23	128	911	416	441
24	139	935	437	462
25	148	961	459	484
26	156	983	483	505
27	167	1014	506	527
28	175	1045	526	548
29	183	1082	547	570
30	188	1116	569	591
31	207	1133	590	611
32	223	1150	612	631
33	247	1165	633	652
34	264	1182	653	672
35	274	1199	674	692
36	288	1223	695	712
37	298	1248	716	732
38	309	1278	738	753
39	318	1304	757	773
40	327	1334	777	793
41	351	1344	796	814
42	370	1357	815	834
43	392	1367	838	855
44	413	1380	860	875
45	428	1403	884	896
46	443	1420	905	916
47	456	1439	926	936
48	468	1463	948	957
49	480	1487	969	977
50	491	1512	990	998
51	515	1528	1009	1018
52	536	1539	1030	1038
53	565	1552	1052	1058
54	586	1569	1075	1079
55	603	1585	1097	1099
56	620	1606	1117	1119
57	636	1630	1137	1139
58	649	1654	1160	1159
59	659	1677	1180	1179
60	674	1701	1199	1200
61	702	1710	1217	1218
62	725	1720	1236	1236
63	753	1731	1253	1254
64	778	1751	1273	1273
65	794	1767	1293	1291
66	807	1781	1312	1309
67	827	1802	1330	1328
68	841	1817	1349	1346
69	849	1838	1368	1364
70	865	1858	1386	1382
71	902	1868	1405	1401
72	926	1875	1423	1420
73	951	1888	1443	1439
74	970	1905	1459	1458
75	997	1923	1482	1477
76	1020	1937	1503	1496
77	1035	1955	1523	1515
78	1054	1973	1543	1534
79	1071	1997	1562	1553
80	1085	2025	1578	1572
81	1121	2036	1597	1591
82	1149	2049	1618	1610
83	1175	2059	1637	1630
84	1201	2075	1657	1649
85	1225	2087	1675	1668
86	1245	2102	1694	1687
87	1260	2118	1714	1707
88	1283	2134	1736	1726
89	1298	2151	1755	1745
90	1313	2173	1772	1764
91	1362	2181	1789	1784
92	1407	2187	1807	1804
93	1450	2194	1826	1823
94	1494	2201	1842	1843
95	1523	2208	1860	1863
96	1551	2220	1878	1882
97	1580	2232	1896	1902
98	1604	2248	1916	1922
99	1625	2260	1934	1941
100	1645	2277	1954	1961
101	1715	2285	1980	1991
102	1779	2294	2003	2022
103	1841	2304	2027	2052
104	1885	2321	2054	2082
105	1912	2353	2084	2113
106	1928	2419	2113	2143
107	1943	2494	2145	2173
108	1955	2565	2175	2204
109	1966	2641	2207	2234
110	1976	2723	2238	2264
111	2019	2763	2294	2317
112	2051	2821	2349	2369
113	2074	2898	2400	2422
114	2091	3002	2447	2475
115	2104	3130	2494	2527
116	2117	3280	2538	2580
117	2132	3420	2584	2632
118	2143	3573	2625	2685
119	2153	3715	2667	2737
120	2163	3872	2715	2790
121	2212	3906	2764	2842
122	2248	3961	2819	2895
123	2275	4015	2875	2947
124	2307	4072	2930	2999
125	2336	4135	2981	3052
126	2357	4199	3034	3104
127	2378	4296	3086	3157
128	2394	4396	3140	3209
129	2404	4493	3186	3262
130	2419	4588	3239	3314
131	2489	4637	3308	3377
132	2531	4690	3386	3439
133	2580	4758	3451	3502
134	2616	4820	3519	3564
135	2640	4885	3573	3627
136	2663	4983	3623	3689
137	2692	5108	3677	3752
138	2717	5274	3735	3814
139	2743	5456	3793	3877
140	2766	5617	3850	3940
141	2847	5662	3904	3999
142	2914	5702	3965	4058
143	2978	5741	4025	4117
144	3021	5785	4086	4176
145	3063	5832	4146	4234
146	3104	5899	4213	4293
147	3129	5944	4277	4352
148	3149	6016	4339	4411
149	3176	6083	4396	4470
150	3201	6153	4454	4529
151	3287	6206	4510	4584
152	3349	6258	4564	4640
153	3408	6309	4624	4695
154	3448	6364	4684	4750
155	3490	6421	4744	4805
156	3521	6477	4812	4860
157	3562	6549	4871	4915
158	3605	6591	4928	4970
159	3626	6661	4988	5025
160	3660	6722	5041	5080
161	3742	6749	5102	5141
162	3825	6777	5163	5201
163	3890	6819	5233	5261
164	3954	6859	5300	5322
165	4002	6890	5365	5382
166	4057	6918	5429	5443
167	4107	6967	5501	5503
168	4152	7035	5567	5564
169	4196	7097	5629	5624
170	4235	7166	5701	5684
171	4311	7202	5755	5741
172	4385	7234	5817	5799
173	4446	7260	5876	5856
174	4516	7285	5936	5913
175	4582	7322	5999	5970
176	4635	7357	6064	6027
177	4686	7402	6129	6084
178	4736	7448	6188	6141
179	4775	7502	6238	6198
180	4800	7578	6300	6255
181	4897	7599	6353	6311
182	4973	7620	6410	6368
183	5046	7641	6464	6424
184	5090	7657	6516	6480
185	5144	7688	6581	6536
186	5192	7718	6642	6592
187	5247	7758	6707	6648
188	5310	7802	6764	6704
189	5348	7857	6820	6761
190	5377	7925	6880	6817
191	5486	7948	6935	6872
192	5569	7974	6990	6927
193	5630	7998	7048	6983
194	5691	8025	7109	7038
195	5734	8049	7169	7093
196	5772	8073	7228	7148
197	5816	8108	7289	7203
198	5851	8150	7349	7259
199	5880	8202	7409	7314
200	5909	8258	7467	7369
201	6060	8275	7517	7424
202	6200	8292	7567	7480
203	6314	8303	7620	7535
204	6396	8323	7667	7590
205	6496	8341	7723	7646
206	6546	8362	7779	7701
207	6609	8386	7846	7756
208	6651	8412	7903	7812
209	6686	8455	7960	7867
210	6741	8502	8016	7922
211	6906	8513	8056	7974
212	7070	8525	8098	8026
213	7239	8538	8138	8078
214	7405	8558	8178	8130
215	7571	8573	8218	8181
216	7738	8608	8259	8233
217	7873	8639	8301	8285
218	7994	8676	8346	8337
219	8085	8714	8389	8389
220	8160	8775	8436	8441
221	8198	8819	8483	8485
222	8222	8877	8526	8530
223	8246	8950	8564	8574
224	8270	9040	8603	8619
225	8287	9149	8638	8663
226	8305	9257	8674	8708
227	8320	9376	8712	8752
228	8340	9490	8750	8797
229	8354	9618	8789	8841
230	8366	9745	8826	8886
231	8406	9788	8873	8932
232	8448	9829	8920	8978
233	8481	9864	8974	9024
234	8499	9916	9027	9070
235	8519	9977	9075	9116
236	8538	10048	9120	9163
237	8553	10125	9164	9209
238	8571	10227	9208	9255
239	8589	10302	9256	9301
240	8605	10388	9302	9347
241	8654	10425	9346	9395
242	8694	10475	9395	9443
243	8724	10520	9446	9490
244	8760	10566	9499	9538
245	8780	10608	9548	9586
246	8803	10675	9598	9633
247	8825	10752	9651	9681
248	8844	10816	9698	9729
249	8860	10902	9738	9777
250	8879	10984	9780	9824
251	8941	11012	9836	9873
252	8989	11034	9889	9922
253	9036	11088	9942	9971
254	9078	11129	9996	10019
255	9110	11192	10050	10068
256	9143	11237	10107	10117
