depth,mean,accum_time
40,734,NA
41,783,49
42,832,49
43,881,49
44,930,49
45,978,48
46,1032,54
47,1086,54
48,1140,54
49,1194,54
50,1248,54
51,1301,53
52,1355,54
53,1408,53
54,1461,53
55,1515,54
56,1564,49
57,1614,50
58,1664,50
59,1713,49
60,1763,50
61,1810,47
62,1857,47
63,1904,47
64,1951,47
65,1998,47
66,2045,47
67,2091,46
68,2137,46
69,2184,47
70,2230,46
71,2279,49
72,2327,48
73,2376,49
74,2424,48
75,2473,49
76,2520,47
77,2567,47
78,2615,48
79,2662,47
80,2709,47
81,2756,47
82,2803,47
83,2850,47
84,2896,46
85,2943,47
86,2990,47
87,3037,47
88,3083,46
89,3130,47
90,3177,47
91,3221,44
92,3266,45
93,3310,44
94,3354,44
95,3399,45
96,3429,30
97,3458,29
98,3488,30
99,3518,30
100,3548,30
101,3576,28
102,3603,27
103,3631,28
104,3659,28
105,3686,27
106,3713,27
107,3739,26
108,3766,27
109,3792,26
110,3819,27
111,3846,27
112,3873,27
113,3900,27
114,3927,27
115,3954,27
116,3981,27
117,4007,26
118,4034,27
119,4060,26
120,4087,27
121,4113,26
122,4140,27
123,4166,26
124,4193,27
125,4219,26
126,4246,27
127,4273,27
128,4301,28
129,4328,27
130,4355,27
131,4382,27
132,4409,27
133,4436,27
134,4463,27
135,4490,27
136,4516,26
137,4541,25
138,4567,26
139,4593,26
140,4619,26
141,4645,26
142,4671,26
143,4698,27
144,4724,26
145,4751,27
146,4772,21
147,4792,20
148,4813,21
149,4834,21
150,4854,20
151,4873,19
152,4892,19
153,4911,19
154,4929,18
155,4948,19
156,4967,19
157,4985,18
158,5004,19
159,5022,18
160,5041,19
161,5060,19
162,5078,18
163,5097,19
164,5115,18
165,5134,19
166,5152,18
167,5170,18
168,5188,18
169,5206,18
170,5224,18
171,5243,19
172,5262,19
173,5280,18
174,5299,19
175,5318,19
176,5336,18
177,5354,18
178,5373,19
179,5391,18
180,5409,18
181,5428,19
182,5446,18
183,5465,19
184,5484,19
185,5502,18
186,5521,19
187,5539,18
188,5558,19
189,5576,18
190,5595,19
191,5614,19
192,5632,18
193,5651,19
194,5670,19
195,5689,19
196,5707,18
197,5726,19
198,5744,18
199,5762,18
200,5781,19
201,5800,19
202,5819,19
203,5838,19
204,5856,18
205,5875,19
206,5894,19
207,5913,19
208,5931,18
209,5950,19
210,5968,18
211,5986,18
212,6005,19
213,6023,18
214,6041,18
215,6059,18
216,6073,14
217,6088,15
218,6102,14
219,6117,15
220,6131,14
221,6144,13
222,6157,13
223,6170,13
224,6184,14
225,6197,13
226,6210,13
227,6223,13
228,6236,13
229,6249,13
230,6263,14
231,6276,13
232,6289,13
233,6302,13
234,6316,14
235,6329,13
236,6343,14
237,6356,13
238,6370,14
239,6383,13
240,6397,14
241,6410,13
242,6423,13
243,6437,14
244,6450,13
245,6463,13
246,6477,14
247,6490,13
248,6504,14
249,6518,14
250,6531,13
251,6545,14
252,6558,13
253,6571,13
254,6585,14
255,6598,13
256,6611,13
257,6625,14
258,6639,14
259,6652,13
260,6666,14
261,6679,13
262,6692,13
263,6705,13
264,6718,13
265,6731,13
266,6745,14
267,6759,14
268,6772,13
269,6786,14
270,6800,14
271,6813,13
272,6826,13
273,6838,12
274,6851,13
275,6864,13
276,6875,11
277,6886,11
278,6897,11
279,6908,11
280,6919,11
281,6929,10
282,6939,10
283,6949,10
284,6959,10
285,6969,10
286,6979,10
287,6989,10
288,6999,10
289,7009,10
290,7018,9
291,7028,10
292,7038,10
293,7048,10
294,7058,10
295,7068,10
296,7078,10
297,7089,11
298,7099,10
299,7109,10
300,7119,10
301,7129,10
302,7139,10
303,7149,10
304,7159,10
305,7169,10
306,7179,10
307,7189,10
308,7199,10
309,7209,10
310,7219,10
311,7229,10
312,7239,10
313,7249,10
314,7259,10
315,7270,11
316,7280,10
317,7290,10
318,7300,10
319,7310,10
320,7320,10
321,7330,10
322,7340,10
323,7350,10
324,7360,10
325,7370,10
326,7380,10
327,7390,10
328,7400,10
329,7410,10
330,7420,10
331,7430,10
332,7440,10
333,7450,10
334,7460,10
335,7471,11
336,7481,10
337,7492,11
338,7503,11
339,7514,11
340,7524,10
341,7535,11
342,7545,10
343,7556,11
344,7567,11
345,7577,10
346,7588,11
347,7599,11
348,7609,10
349,7620,11
350,7631,11
351,7642,11
352,7652,10
353,7662,10
354,7673,11
355,7683,10
356,7694,11
357,7704,10
358,7715,11
359,7726,11
360,7736,10
361,7747,11
362,7757,10
363,7768,11
364,7778,10
365,7789,11
366,7799,10
367,7809,10
368,7820,11
369,7830,10
370,7841,11
371,7852,11
372,7862,10
373,7873,11
374,7884,11
375,7895,11
376,7908,13
377,7922,14
378,7935,13
379,7949,14
380,7962,13
381,7977,15
382,7992,15
383,8007,15
384,8022,15
385,8037,15
386,8052,15
387,8067,15
388,8082,15
389,8097,15
390,8112,15
391,8127,15
392,8143,16
393,8158,15
394,8173,15
395,8188,15
396,8203,15
397,8217,14
398,8232,15
399,8247,15
400,8261,14
401,8276,15
402,8292,16
403,8307,15
404,8322,15
405,8337,15
406,8352,15
407,8367,15
408,8382,15
409,8398,16
410,8413,15
411,8428,15
412,8444,16
413,8459,15
414,8475,16
415,8490,15
416,8509,19
