depth	min	max	median	mean
40	512	1264	653	734
41	556	1290	714	783
42	578	1320	779	832
43	599	1352	841	881
44	617	1387	901	930
45	628	1451	956	978
46	696	1463	1015	1032
47	736	1483	1077	1086
48	776	1511	1142	1140
49	810	1542	1205	1194
50	831	1591	1265	1248
51	953	1612	1312	1301
52	1063	1628	1360	1355
53	1161	1648	1408	1408
54	1236	1682	1462	1461
55	1291	1737	1515	1515
56	1368	1779	1562	1564
57	1420	1826	1611	1614
58	1447	1913	1659	1664
59	1464	2023	1702	1713
60	1481	2160	1745	1763
61	1532	2197	1792	1810
62	1559	2260	1840	1857
63	1585	2333	1886	1904
64	1600	2421	1929	1951
65	1619	2509	1970	1998
66	1666	2551	2019	2045
67	1701	2597	2068	2091
68	1727	2657	2116	2137
69	1746	2725	2163	2184
70	1768	2809	2205	2230
71	1833	2844	2258	2279
72	1870	2876	2310	2327
73	1898	2920	2361	2376
74	1921	2976	2410	2424
75	1949	3047	2460	2473
76	2013	3073	2509	2520
77	2057	3108	2563	2567
78	2097	3148	2613	2615
79	2126	3190	2665	2662
80	2151	3244	2716	2709
81	2215	3267	2761	2756
82	2265	3299	2810	2803
83	2310	3335	2859	2850
84	2346	3371	2910	2896
85	2374	3421	2958	2943
86	2461	3441	3006	2990
87	2522	3471	3057	3037
88	2569	3501	3108	3083
89	2607	3536	3158	3130
90	2637	3591	3206	3177
91	2720	3607	3249	3221
92	2781	3625	3296	3266
93	2816	3648	3340	3310
94	2862	3684	3385	3354
95	2900	3724	3433	3399
96	2943	3753	3464	3429
97	2973	3785	3493	3458
98	2998	3831	3517	3488
99	3017	3876	3542	3518
100	3032	3938	3567	3548
101	3065	3968	3595	3576
102	3085	4005	3623	3603
103	3105	4042	3649	3631
104	3127	4099	3677	3659
105	3141	4150	3701	3686
106	3165	4180	3726	3713
107	3185	4214	3752	3739
108	3204	4248	3775	3766
109	3220	4291	3800	3792
110	3235	4336	3823	3819
111	3266	4362	3853	3846
112	3283	4395	3880	3873
113	3302	4434	3904	3900
114	3317	4474	3929	3927
115	3343	4528	3955	3954
116	3374	4555	3981	3981
117	3388	4579	4007	4007
118	3409	4619	4032	4034
119	3438	4662	4060	4060
120	3461	4710	4084	4087
121	3487	4741	4112	4113
122	3510	4769	4137	4140
123	3537	4806	4161	4166
124	3559	4845	4186	4193
125	3578	4888	4211	4219
126	3612	4924	4238	4246
127	3637	4951	4265	4273
128	3659	4991	4291	4301
129	3684	5014	4318	4328
130	3696	5052	4343	4355
131	3726	5086	4371	4382
132	3747	5124	4396	4409
133	3777	5166	4426	4436
134	3800	5203	4453	4463
135	3817	5240	4479	4490
136	3840	5277	4505	4516
137	3865	5313	4528	4541
138	3883	5346	4553	4567
139	3899	5395	4575	4593
140	3914	5442	4599	4619
141	3948	5474	4626	4645
142	3971	5501	4655	4671
143	4001	5540	4684	4698
144	4018	5585	4712	4724
145	4035	5626	4735	4751
146	4052	5638	4755	4772
147	4082	5659	4775	4792
148	4100	5678	4797	4813
149	4121	5690	4822	4834
150	4136	5704	4844	4854
151	4153	5715	4867	4873
152	4170	5733	4887	4892
153	4195	5750	4909	4911
154	4222	5777	4928	4929
155	4233	5795	4948	4948
156	4260	5813	4964	4967
157	4280	5827	4983	4985
158	4297	5841	5000	5004
159	4314	5854	5018	5022
160	4329	5866	5035	5041
161	4353	5878	5054	5060
162	4373	5894	5072	5078
163	4389	5905	5092	5097
164	4407	5916	5112	5115
165	4417	5930	5130	5134
166	4436	5944	5147	5152
167	4460	5958	5168	5170
168	4475	5967	5187	5188
169	4485	5977	5207	5206
170	4498	5991	5226	5224
171	4519	6003	5243	5243
172	4543	6015	5260	5262
173	4567	6025	5278	5280
174	4585	6040	5297	5299
175	4600	6057	5316	5318
176	4631	6068	5336	5336
177	4649	6085	5355	5354
178	4670	6108	5372	5373
179	4688	6125	5390	5391
180	4704	6144	5408	5409
181	4720	6153	5429	5428
182	4744	6167	5449	5446
183	4773	6173	5468	5465
184	4793	6182	5487	5484
185	4816	6204	5505	5502
186	4830	6216	5521	5521
187	4849	6234	5540	5539
188	4873	6248	5561	5558
189	4893	6267	5580	5576
190	4908	6281	5598	5595
191	4936	6297	5618	5614
192	4951	6308	5637	5632
193	4969	6319	5654	5651
194	4982	6342	5674	5670
195	4994	6357	5693	5689
196	5021	6368	5712	5707
197	5049	6377	5733	5726
198	5065	6392	5754	5744
199	5078	6408	5773	5762
200	5097	6425	5792	5781
201	5120	6442	5811	5800
202	5147	6459	5827	5819
203	5160	6481	5846	5838
204	5171	6499	5865	5856
205	5185	6511	5883	5875
206	5212	6521	5898	5894
207	5236	6534	5915	5913
208	5261	6550	5933	5931
209	5283	6564	5952	5950
210	5298	6582	5970	5968
211	5310	6593	5987	5986
212	5325	6605	6004	6005
213	5347	6616	6019	6023
214	5366	6631	6035	6041
215	5378	6652	6052	6059
216	5391	6663	6065	6073
217	5405	6676	6078	6088
218	5423	6689	6092	6102
219	5438	6697	6109	6117
220	5450	6715	6126	6131
221	5467	6722	6141	6144
222	5487	6733	6156	6157
223	5513	6744	6171	6170
224	5526	6749	6186	6184
225	5533	6765	6201	6197
226	5555	6771	6215	6210
227	5575	6777	6231	6223
228	5597	6784	6245	6236
229	5613	6793	6258	6249
230	5627	6806	6270	6263
231	5646	6817	6283	6276
232	5660	6828	6296	6289
233	5676	6839	6308	6302
234	5692	6854	6323	6316
235	5712	6865	6335	6329
236	5722	6872	6349	6343
237	5742	6880	6364	6356
238	5753	6893	6381	6370
239	5767	6906	6395	6383
240	5787	6921	6412	6397
241	5807	6927	6426	6410
242	5820	6934	6438	6423
243	5836	6941	6452	6437
244	5852	6949	6464	6450
245	5863	6960	6480	6463
246	5886	6971	6495	6477
247	5901	6982	6510	6490
248	5914	6992	6525	6504
249	5932	7000	6539	6518
250	5944	7014	6554	6531
251	5958	7025	6568	6545
252	5976	7034	6581	6558
253	5998	7044	6592	6571
254	6012	7053	6605	6585
255	6030	7069	6618	6598
256	6048	7078	6632	6611
257	6066	7088	6647	6625
258	6085	7100	6661	6639
259	6099	7111	6674	6652
260	6112	7120	6688	6666
261	6126	7129	6704	6679
262	6133	7137	6716	6692
263	6149	7148	6729	6705
264	6170	7158	6742	6718
265	6180	7170	6755	6731
266	6199	7178	6768	6745
267	6213	7188	6781	6759
268	6225	7200	6794	6772
269	6243	7210	6808	6786
270	6256	7224	6821	6800
271	6271	7235	6833	6813
272	6285	7241	6847	6826
273	6307	7253	6860	6838
274	6320	7265	6875	6851
275	6336	7273	6889	6864
276	6353	7287	6900	6875
277	6369	7302	6911	6886
278	6378	7310	6920	6897
279	6385	7317	6931	6908
280	6397	7327	6944	6919
281	6416	7335	6953	6929
282	6430	7347	6963	6939
283	6442	7358	6971	6949
284	6457	7367	6982	6959
285	6463	7378	6992	6969
286	6474	7389	7003	6979
287	6483	7402	7012	6989
288	6492	7412	7023	6999
289	6504	7421	7034	7009
290	6518	7436	7045	7018
291	6528	7444	7054	7028
292	6539	7450	7063	7038
293	6555	7460	7072	7048
294	6570	7470	7082	7058
295	6579	7478	7090	7068
296	6593	7487	7099	7078
297	6608	7497	7110	7089
298	6622	7508	7121	7099
299	6635	7519	7131	7109
300	6644	7528	7140	7119
301	6656	7542	7150	7129
302	6674	7547	7158	7139
303	6683	7558	7167	7149
304	6693	7568	7177	7159
305	6700	7577	7187	7169
306	6713	7584	7197	7179
307	6725	7596	7206	7189
308	6735	7608	7215	7199
309	6748	7620	7226	7209
310	6760	7628	7234	7219
311	6772	7638	7246	7229
312	6782	7647	7255	7239
313	6796	7656	7265	7249
314	6804	7668	7275	7259
315	6810	7678	7285	7270
316	6821	7686	7295	7280
317	6833	7698	7303	7290
318	6844	7707	7314	7300
319	6856	7719	7324	7310
320	6862	7728	7335	7320
321	6875	7736	7344	7330
322	6886	7747	7354	7340
323	6898	7756	7363	7350
324	6905	7766	7374	7360
325	6912	7782	7383	7370
326	6929	7788	7393	7380
327	6939	7803	7403	7390
328	6949	7813	7413	7400
329	6960	7825	7423	7410
330	6976	7836	7433	7420
331	6988	7846	7442	7430
332	7000	7852	7451	7440
333	7012	7858	7462	7450
334	7021	7874	7472	7460
335	7029	7884	7482	7471
336	7040	7897	7492	7481
337	7051	7911	7503	7492
338	7059	7924	7514	7503
339	7069	7935	7523	7514
340	7075	7948	7534	7524
341	7084	7959	7543	7535
342	7092	7971	7553	7545
343	7099	7981	7564	7556
344	7111	8000	7576	7567
345	7117	8014	7585	7577
346	7129	8030	7595	7588
347	7136	8043	7607	7599
348	7146	8059	7618	7609
349	7154	8073	7628	7620
350	7160	8094	7638	7631
351	7170	8104	7648	7642
352	7178	8121	7659	7652
353	7182	8134	7669	7662
354	7193	8155	7678	7673
355	7200	8167	7687	7683
356	7211	8180	7696	7694
357	7220	8189	7707	7704
358	7227	8206	7717	7715
359	7241	8220	7728	7726
360	7252	8238	7737	7736
361	7266	8252	7748	7747
362	7281	8267	7760	7757
363	7288	8276	7770	7768
364	7296	8293	7778	7778
365	7308	8304	7788	7789
