depth	min	max	median	mean
0	-49	-43	-46	-46
1	-45	25	-27	-22
2	-43	95	-7	2
3	-41	164	12	26
4	-39	234	32	49
5	-38	304	51	73
6	-22	322	79	98
7	-10	344	108	123
8	-2	373	138	148
9	5	405	164	173
10	12	446	188	198
11	41	463	212	222
12	58	486	237	246
13	76	513	263	271
14	89	543	288	295
15	100	579	313	319
16	133	598	340	345
17	155	626	365	370
18	180	644	391	395
19	199	676	418	420
20	208	710	444	445
21	246	731	468	469
22	277	750	490	493
23	304	774	514	517
24	323	807	539	541
25	340	837	563	565
26	418	857	590	598
27	484	876	618	630
28	525	907	648	662
29	549	953	677	695
30	562	1004	708	727
31	607	1059	763	782
32	635	1160	816	837
33	651	1285	869	891
34	662	1429	916	946
35	675	1580	962	1001
36	731	1654	1029	1064
37	767	1722	1091	1127
38	795	1810	1155	1190
39	816	1920	1218	1252
40	836	2031	1276	1315
41	896	2080	1345	1380
42	934	2132	1412	1444
43	962	2199	1478	1509
44	989	2285	1540	1573
45	1009	2399	1594	1638
46	1092	2441	1665	1699
47	1145	2494	1735	1759
48	1181	2576	1802	1820
49	1205	2649	1867	1881
50	1232	2752	1927	1942
51	1301	2801	1986	2001
52	1351	2845	2052	2059
53	1400	2902	2115	2118
54	1447	2967	2174	2176
55	1488	3038	2234	2235
56	1557	3084	2296	2295
57	1594	3140	2362	2356
58	1636	3201	2422	2417
59	1676	3276	2481	2478
60	1707	3359	2538	2539
61	1809	3400	2604	2601
62	1875	3449	2662	2663
63	1925	3513	2728	2725
64	1969	3580	2793	2786
65	2003	3679	2852	2848
66	2077	3708	2911	2909
67	2159	3741	2979	2970
68	2217	3782	3041	3031
69	2258	3827	3106	3092
70	2287	3894	3166	3152
71	2406	3912	3224	3210
72	2493	3949	3281	3268
73	2575	3978	3342	3326
74	2632	4024	3409	3385
75	2669	4088	3467	3443
76	2760	4108	3526	3502
77	2845	4136	3589	3562
78	2911	4173	3655	3622
79	2972	4212	3716	3682
80	3016	4268	3776	3742
81	3165	4291	3834	3806
82	3288	4316	3895	3870
83	3402	4346	3957	3934
84	3472	4377	4023	3998
85	3522	4431	4087	4062
86	3651	4443	4134	4115
87	3768	4456	4183	4169
88	3876	4476	4234	4222
89	3945	4505	4286	4276
90	4002	4557	4337	4329
91	4030	4569	4359	4349
92	4052	4588	4381	4369
93	4069	4610	4401	4389
94	4087	4630	4421	4409
95	4103	4666	4442	4429
96	4134	4678	4463	4449
97	4165	4694	4484	4470
98	4190	4709	4504	4490
99	4215	4733	4524	4511
100	4237	4763	4543	4531
101	4266	4773	4561	4551
102	4291	4790	4581	4570
103	4313	4807	4601	4590
104	4332	4833	4620	4610
105	4348	4861	4640	4629
106	4391	4872	4658	4650
107	4430	4885	4679	4671
108	4459	4901	4701	4692
109	4484	4920	4723	4713
110	4504	4943	4745	4734
111	4557	4959	4766	4758
112	4598	4975	4787	4782
113	4629	4997	4809	4806
114	4656	5022	4833	4830
115	4672	5047	4853	4854
116	4707	5063	4876	4880
117	4726	5080	4897	4906
118	4738	5104	4920	4932
119	4754	5138	4943	4958
120	4763	5189	4972	4984
121	4791	5202	4989	5001
122	4813	5214	5008	5017
123	4832	5231	5027	5033
124	4848	5251	5045	5050
125	4862	5274	5060	5066
126	4885	5285	5080	5083
127	4902	5297	5100	5100
128	4915	5312	5119	5117
129	4928	5331	5139	5134
130	4935	5354	5158	5150
131	4953	5363	5177	5167
132	4969	5376	5196	5184
133	4982	5389	5216	5201
134	4993	5402	5235	5218
135	5003	5425	5254	5235
136	5018	5433	5272	5251
137	5035	5443	5290	5268
138	5047	5456	5308	5284
139	5058	5472	5324	5301
140	5069	5493	5342	5317
141	5084	5499	5354	5330
142	5095	5517	5367	5342
143	5104	5537	5378	5355
144	5112	5561	5388	5367
145	5117	5585	5398	5380
146	5132	5596	5410	5392
147	5144	5609	5421	5403
148	5155	5623	5431	5415
149	5161	5638	5440	5427
150	5167	5657	5449	5438
151	5179	5667	5462	5451
152	5192	5686	5474	5463
153	5203	5707	5485	5475
154	5209	5729	5497	5488
155	5218	5751	5508	5500
156	5233	5763	5519	5511
157	5244	5777	5530	5522
158	5257	5789	5538	5534
159	5268	5800	5549	5545
160	5277	5815	5560	5556
161	5288	5825	5572	5568
162	5300	5835	5585	5581
163	5313	5852	5597	5593
164	5322	5869	5608	5605
165	5329	5885	5619	5617
166	5348	5900	5629	5629
167	5360	5913	5641	5640
168	5373	5926	5653	5652
169	5384	5942	5664	5663
170	5396	5959	5674	5675
171	5407	5972	5686	5687
172	5421	5985	5697	5699
173	5432	6002	5709	5711
174	5442	6021	5720	5723
175	5449	6040	5731	5735
176	5466	6051	5742	5747
177	5479	6062	5753	5759
178	5492	6073	5763	5770
179	5501	6087	5774	5782
180	5513	6100	5786	5794
181	5528	6112	5798	5806
182	5540	6124	5810	5818
183	5551	6134	5821	5830
184	5560	6147	5831	5842
185	5571	6166	5845	5854
186	5588	6177	5860	5867
187	5605	6190	5873	5879
188	5617	6204	5885	5892
189	5627	6221	5898	5904
190	5639	6239	5908	5917
191	5654	6246	5920	5928
192	5669	6263	5933	5940
193	5682	6281	5944	5951
194	5695	6293	5957	5963
195	5705	6304	5968	5974
196	5719	6317	5982	5986
197	5735	6335	5996	5998
198	5744	6352	6011	6010
199	5754	6364	6022	6022
200	5765	6378	6033	6034
201	5783	6391	6053	6050
