depth	min	max	median	mean
0	-53	-47	-50	-50
1	-50	-12	-40	-38
2	-48	25	-30	-25
3	-47	62	-21	-13
4	-46	100	-11	0
5	-45	137	-1	12
6	-38	150	14	25
7	-34	164	27	38
8	-30	187	40	51
9	-28	213	53	64
10	-25	247	65	77
11	-14	262	77	90
12	-7	277	92	103
13	-1	298	105	116
14	4	315	118	129
15	8	340	129	142
16	20	354	144	155
17	27	368	158	168
18	34	384	170	181
19	41	405	183	194
20	46	425	196	207
21	60	440	211	220
22	69	454	224	234
23	78	479	238	248
24	86	497	252	261
25	92	522	264	275
26	104	535	277	288
27	114	549	290	301
28	125	568	304	314
29	131	583	317	326
30	137	599	330	339
31	153	613	343	352
32	161	627	356	365
33	170	645	369	378
34	178	659	381	391
35	186	677	394	404
36	197	691	408	418
37	208	703	422	431
38	217	713	435	444
39	225	730	449	457
40	232	750	462	470
41	244	760	475	482
42	254	777	486	495
43	268	791	500	508
44	278	807	515	521
45	285	824	526	534
46	298	838	540	546
47	308	850	553	559
48	318	863	566	572
49	329	881	580	585
50	339	901	592	598
51	354	912	605	611
52	366	922	618	624
53	376	931	631	636
54	386	945	644	649
55	394	965	656	662
56	409	975	670	675
57	420	988	683	688
58	429	1001	696	701
59	436	1016	709	714
60	445	1029	722	727
61	458	1041	735	739
62	472	1053	747	752
63	486	1067	761	764
64	494	1079	773	777
65	505	1096	786	789
66	524	1106	798	802
67	536	1116	811	815
68	546	1131	824	828
69	557	1150	838	841
70	567	1164	852	853
71	581	1173	864	866
72	601	1185	876	879
73	610	1196	889	892
74	623	1210	902	905
75	631	1228	912	918
76	646	1234	928	931
77	656	1246	942	944
78	666	1261	957	958
79	675	1273	970	971
80	684	1292	982	984
81	700	1299	996	997
82	711	1306	1009	1009
83	724	1323	1023	1022
84	733	1335	1037	1035
85	745	1350	1049	1048
86	758	1359	1062	1061
87	772	1368	1075	1074
88	784	1380	1088	1087
89	796	1395	1101	1101
90	806	1410	1116	1114
91	819	1418	1128	1127
92	833	1427	1141	1140
93	847	1436	1153	1153
94	858	1452	1165	1165
95	872	1466	1178	1178
96	889	1477	1192	1192
97	908	1485	1207	1205
98	920	1494	1220	1218
99	935	1507	1234	1231
100	943	1524	1247	1244
101	959	1534	1260	1257
102	973	1545	1272	1270
103	986	1556	1287	1283
104	998	1564	1300	1296
105	1013	1577	1315	1308
106	1028	1584	1325	1321
107	1044	1596	1338	1334
108	1057	1608	1350	1347
109	1071	1620	1364	1360
110	1085	1635	1376	1373
111	1100	1644	1390	1385
112	1116	1656	1402	1398
113	1129	1668	1414	1411
114	1141	1681	1427	1424
115	1153	1696	1440	1436
116	1174	1704	1455	1449
117	1191	1714	1469	1462
118	1205	1726	1485	1475
119	1217	1740	1498	1488
120	1224	1756	1510	1501
121	1242	1765	1523	1514
122	1257	1776	1536	1528
123	1268	1784	1548	1541
124	1280	1797	1561	1554
125	1289	1811	1574	1567
126	1306	1820	1587	1580
127	1323	1829	1600	1593
128	1339	1840	1613	1606
129	1352	1851	1626	1618
130	1367	1868	1640	1631
131	1388	1875	1652	1644
132	1400	1884	1665	1657
133	1417	1894	1679	1671
134	1430	1907	1692	1684
135	1441	1919	1704	1697
136	1464	1927	1718	1710
137	1484	1937	1730	1724
138	1497	1945	1743	1737
139	1508	1954	1757	1751
140	1525	1968	1771	1764
141	1548	1976	1783	1777
142	1570	1981	1795	1790
143	1587	1990	1809	1803
144	1600	2001	1822	1816
145	1615	2015	1835	1829
146	1634	2024	1846	1842
147	1654	2034	1858	1855
148	1673	2045	1872	1868
149	1693	2057	1885	1880
150	1703	2076	1897	1893
151	1713	2084	1908	1904
152	1721	2095	1919	1916
153	1733	2109	1930	1927
154	1743	2127	1942	1938
155	1749	2149	1953	1949
156	1761	2157	1964	1961
157	1771	2166	1976	1972
158	1778	2176	1988	1984
159	1786	2191	1999	1996
160	1796	2211	2009	2007
161	1812	2220	2021	2019
162	1823	2234	2032	2030
163	1832	2244	2043	2042
164	1837	2259	2055	2053
165	1846	2276	2066	2064
166	1862	2284	2078	2076
167	1874	2293	2088	2087
168	1884	2305	2099	2098
169	1891	2322	2110	2110
170	1901	2336	2122	2121
171	1913	2341	2133	2132
172	1924	2351	2146	2144
173	1932	2361	2156	2155
174	1939	2374	2167	2167
175	1949	2390	2179	2178
176	1965	2397	2191	2190
177	1978	2411	2202	2202
178	1988	2421	2215	2214
179	1996	2435	2226	2225
180	2007	2450	2238	2237
181	2021	2462	2248	2249
182	2035	2472	2261	2260
183	2044	2484	2272	2271
184	2049	2501	2284	2283
185	2059	2514	2296	2294
186	2076	2520	2308	2306
187	2093	2529	2319	2318
188	2105	2539	2331	2329
189	2114	2550	2343	2341
190	2125	2564	2354	2353
191	2144	2571	2366	2364
192	2156	2578	2378	2376
193	2169	2588	2391	2387
194	2178	2597	2403	2399
195	2183	2609	2415	2410
196	2201	2616	2426	2422
197	2218	2625	2439	2434
198	2228	2636	2451	2445
199	2239	2645	2462	2457
200	2248	2659	2474	2469
201	2265	2665	2486	2481
202	2282	2673	2500	2493
203	2294	2682	2512	2505
204	2306	2693	2524	2516
205	2316	2706	2536	2528
206	2332	2713	2548	2540
207	2350	2725	2562	2551
208	2363	2734	2574	2562
209	2372	2743	2587	2574
210	2378	2756	2598	2585
211	2396	2763	2609	2597
212	2411	2772	2623	2608
213	2424	2782	2635	2619
214	2439	2795	2647	2631
215	2449	2809	2659	2642
216	2465	2815	2673	2653
217	2479	2820	2686	2664
218	2491	2826	2699	2676
219	2502	2837	2712	2687
220	2511	2846	2725	2698
221	2523	2861	2737	2712
222	2533	2881	2747	2725
223	2542	2908	2755	2738
224	2552	2933	2762	2752
225	2558	2965	2771	2765
226	2573	2982	2784	2779
227	2586	3005	2797	2793
228	2595	3032	2808	2806
229	2604	3061	2819	2820
230	2612	3089	2830	2834
231	2626	3110	2844	2848
232	2639	3130	2859	2862
233	2647	3157	2872	2876
234	2658	3179	2885	2891
235	2668	3205	2897	2905
236	2685	3224	2909	2918
237	2700	3247	2922	2932
238	2714	3273	2934	2946
239	2725	3298	2948	2960
240	2734	3329	2960	2973
241	2744	3340	2970	2984
242	2755	3362	2980	2995
243	2765	3371	2992	3006
244	2772	3383	3003	3017
245	2778	3397	3013	3027
246	2791	3411	3023	3037
247	2798	3417	3032	3046
248	2803	3431	3040	3056
249	2811	3440	3049	3065
250	2816	3450	3058	3075
251	2823	3460	3067	3084
252	2833	3467	3078	3094
253	2840	3480	3086	3103
254	2845	3494	3095	3112
255	2849	3506	3104	3122
256	2859	3512	3113	3131
257	2867	3518	3121	3140
258	2873	3523	3131	3149
259	2879	3536	3140	3159
260	2885	3544	3151	3168
261	2896	3552	3160	3177
262	2903	3563	3170	3186
263	2909	3581	3180	3196
264	2916	3594	3189	3205
265	2924	3607	3199	3214
266	2933	3617	3208	3223
267	2944	3626	3219	3233
268	2953	3637	3229	3242
269	2960	3645	3239	3251
270	2967	3657	3247	3260
271	2976	3668	3256	3270
272	2983	3673	3265	3279
273	2989	3686	3274	3289
274	2995	3702	3283	3298
275	3001	3714	3293	3308
276	3013	3723	3301	3317
277	3020	3726	3310	3326
278	3027	3739	3318	3336
279	3035	3750	3327	3345
280	3041	3764	3337	3355
281	3050	3773	3346	3364
282	3057	3783	3356	3373
283	3067	3792	3365	3383
284	3072	3804	3374	3392
285	3080	3819	3384	3402
286	3090	3832	3393	3411
287	3099	3839	3404	3421
288	3108	3853	3413	3430
289	3116	3867	3423	3439
290	3123	3876	3432	3449
291	3133	3885	3441	3458
292	3141	3897	3451	3468
293	3147	3908	3460	3477
294	3154	3918	3469	3487
295	3160	3933	3479	3496
296	3171	3941	3488	3505
297	3178	3952	3496	3515
298	3188	3957	3506	3524
299	3196	3972	3516	3534
300	3205	3983	3526	3543
301	3212	3991	3535	3553
302	3221	4006	3544	3562
303	3230	4021	3554	3572
304	3235	4031	3564	3582
305	3239	4044	3574	3591
306	3249	4051	3581	3601
307	3259	4060	3591	3610
308	3266	4070	3602	3620
309	3272	4081	3612	3629
310	3280	4097	3622	3639
311	3287	4109	3631	3648
312	3293	4115	3639	3658
313	3302	4123	3649	3667
314	3310	4138	3658	3676
315	3314	4150	3667	3686
316	3323	4161	3678	3695
317	3333	4172	3688	3705
318	3341	4190	3698	3715
319	3346	4202	3707	3724
320	3353	4209	3716	3734
321	3363	4220	3726	3743
322	3373	4228	3735	3753
323	3383	4238	3744	3762
324	3393	4248	3754	3772
325	3400	4262	3764	3781
326	3410	4271	3774	3790
327	3421	4280	3783	3800
328	3429	4290	3792	3809
329	3435	4300	3802	3818
330	3439	4310	3810	3828
331	3449	4321	3820	3837
332	3458	4328	3828	3847
333	3466	4340	3836	3856
334	3474	4347	3846	3865
335	3481	4365	3855	3875
336	3491	4376	3865	3884
337	3502	4385	3876	3894
338	3508	4391	3885	3903
339	3513	4402	3896	3913
340	3520	4412	3906	3922
341	3530	4421	3915	3932
342	3538	4433	3925	3941
343	3547	4445	3933	3950
344	3551	4455	3941	3959
345	3552	4462	3950	3969
346	3562	4478	3960	3978
347	3576	4489	3970	3987
348	3583	4505	3980	3997
349	3589	4514	3989	4006
350	3596	4531	3997	4016
351	3604	4537	4006	4025
352	3615	4543	4018	4035
353	3627	4549	4028	4044
354	3632	4563	4037	4054
355	3638	4568	4047	4063
356	3647	4576	4058	4072
357	3656	4591	4067	4081
358	3663	4596	4075	4090
359	3672	4613	4083	4100
360	3680	4630	4092	4109
361	3687	4639	4102	4118
362	3697	4645	4113	4127
363	3707	4653	4121	4137
364	3714	4660	4130	4146
365	3725	4673	4140	4155
366	3731	4681	4149	4165
367	3739	4688	4159	4174
368	3744	4695	4168	4184
369	3750	4703	4177	4193
370	3757	4718	4186	4203
371	3765	4726	4194	4212
372	3778	4739	4203	4221
373	3787	4750	4211	4231
374	3795	4759	4221	4240
375	3802	4771	4231	4249
376	3815	4779	4240	4258
377	3826	4788	4250	4268
378	3836	4805	4261	4277
379	3841	4825	4270	4286
380	3849	4834	4279	4295
381	3858	4851	4287	4304
382	3866	4859	4298	4314
383	3875	4872	4307	4323
384	3883	4883	4317	4332
385	3889	4900	4326	4341
386	3896	4904	4337	4351
387	3904	4913	4347	4360
388	3915	4923	4355	4369
389	3923	4929	4364	4379
390	3933	4944	4373	4388
391	3939	4958	4384	4398
392	3950	4966	4393	4407
393	3958	4975	4402	4416
394	3963	4988	4410	4426
395	3973	4999	4419	4435
396	3981	5010	4429	4444
397	3988	5018	4438	4454
398	3998	5029	4447	4463
399	4004	5039	4457	4472
400	4012	5052	4467	4482
401	4017	5061	4475	4491
402	4025	5072	4485	4500
403	4036	5084	4496	4510
404	4043	5092	4503	4519
405	4051	5102	4514	4529
406	4063	5113	4523	4538
407	4072	5119	4534	4547
408	4076	5130	4544	4557
409	4087	5141	4553	4566
410	4094	5155	4563	4575
411	4104	5164	4572	4585
412	4117	5170	4580	4595
413	4124	5177	4590	4604
414	4133	5193	4600	4614
415	4137	5205	4609	4624
416	4148	5215	4619	4633
417	4155	5226	4628	4642
418	4163	5242	4638	4652
419	4168	5252	4648	4661
420	4178	5265	4657	4670
421	4186	5272	4665	4680
422	4193	5285	4676	4689
423	4200	5291	4685	4698
424	4206	5302	4696	4707
425	4213	5314	4704	4717
426	4223	5322	4713	4726
427	4229	5339	4722	4736
428	4234	5354	4732	4746
429	4245	5364	4742	4756
430	4255	5376	4752	4765
431	4262	5387	4761	4775
432	4275	5399	4769	4784
433	4283	5410	4778	4793
434	4297	5417	4786	4802
435	4304	5426	4795	4812
436	4314	5434	4804	4821
437	4323	5444	4813	4830
438	4329	5458	4824	4839
439	4337	5466	4833	4848
440	4348	5479	4842	4857
441	4355	5486	4851	4867
442	4362	5495	4861	4876
443	4372	5506	4872	4886
444	4377	5519	4885	4896
445	4384	5537	4894	4905
446	4392	5545	4903	4915
447	4404	5554	4912	4924
448	4415	5563	4920	4933
449	4426	5572	4930	4943
450	4438	5584	4938	4952
451	4445	5591	4947	4961
452	4452	5601	4955	4971
453	4456	5611	4964	4980
454	4466	5615	4974	4989
455	4471	5626	4984	4998
456	4481	5636	4992	5008
457	4490	5645	5002	5017
458	4498	5653	5012	5027
459	4506	5671	5021	5036
460	4517	5682	5030	5045
461	4524	5692	5040	5054
462	4533	5703	5049	5064
463	4539	5714	5058	5073
464	4547	5725	5067	5082
465	4556	5733	5077	5091
466	4562	5737	5087	5101
467	4571	5751	5099	5110
468	4582	5763	5108	5120
469	4590	5774	5119	5129
470	4599	5785	5127	5139
471	4605	5795	5136	5148
472	4613	5808	5147	5157
473	4619	5817	5156	5167
474	4626	5823	5165	5176
475	4632	5830	5173	5186
476	4641	5848	5182	5195
477	4650	5865	5191	5204
478	4660	5876	5200	5213
479	4669	5888	5209	5223
480	4677	5895	5217	5232
481	4689	5904	5226	5241
482	4698	5913	5236	5251
483	4708	5921	5245	5260
484	4715	5932	5253	5269
485	4722	5943	5263	5279
486	4732	5954	5273	5288
487	4744	5964	5281	5297
488	4750	5973	5292	5307
489	4754	5978	5303	5316
490	4756	5994	5312	5325
491	4769	6000	5321	5335
492	4776	6014	5330	5344
493	4782	6023	5338	5354
494	4792	6034	5345	5363
495	4803	6049	5355	5373
496	4809	6060	5363	5382
497	4815	6069	5373	5391
498	4823	6075	5384	5400
499	4830	6082	5392	5409
500	4836	6092	5401	5418
501	4841	6103	5409	5428
502	4850	6112	5419	5437
503	4862	6120	5429	5447
504	4873	6129	5438	5456
505	4883	6139	5447	5466
506	4891	6149	5456	5475
507	4900	6162	5467	5484
508	4908	6171	5475	5493
509	4922	6179	5484	5502
510	4931	6189	5492	5512
511	4939	6200	5502	5521
512	4951	6210	5511	5530
513	4960	6221	5521	5540
514	4970	6238	5530	5549
515	4981	6247	5541	5558
516	4991	6260	5550	5568
517	5002	6270	5558	5578
518	5010	6283	5570	5587
519	5018	6292	5579	5597
520	5027	6302	5588	5606
521	5039	6314	5597	5615
522	5046	6329	5605	5625
523	5048	6335	5616	5634
524	5056	6348	5624	5643
525	5062	6359	5633	5652
526	5075	6371	5642	5661
527	5079	6384	5653	5671
528	5087	6396	5662	5681
529	5097	6405	5671	5691
530	5099	6416	5680	5700
531	5111	6424	5690	5710
532	5122	6429	5700	5719
533	5132	6438	5710	5729
534	5139	6444	5720	5738
535	5147	6459	5731	5748
536	5155	6468	5741	5757
537	5165	6480	5750	5766
538	5175	6493	5760	5776
539	5181	6508	5769	5785
540	5190	6522	5779	5794
541	5201	6529	5788	5804
542	5211	6538	5797	5813
543	5216	6543	5806	5822
544	5224	6549	5815	5832
545	5229	6555	5825	5841
546	5242	6567	5831	5850
547	5255	6579	5840	5859
548	5260	6589	5848	5869
549	5265	6599	5857	5878
550	5271	6609	5865	5887
551	5281	6623	5875	5896
