Cal_yrs_BP,Acacia,Acalypha,Arecaceae,Ascarina,Asteraceae,Cichorioideae,Cunoniaceae,Cuphea,Cyathea,Cyperus,Decaspermum,Dodonaea,Dysoxylum,Elaeocarpaceae,Freycinetia,Gymnostoma,Hibbertia,Ilex,Lauraceae,Lycopodiella cernua var. cernua-type,Lycopodium,Macaranga,Machaerina,Melastoma,Meliaceae,Myriophyllum,Nepenthes,Nymphoides,Pandanus,Pinus,Poaceae,Polypodiales,Polyscias,Proteaceae,Pseudodiphasium volubile,Psychotria,Quintinia,Rapanea,Rhamnaceae,Rhizophoraceae,Rutaceae,Sapindaceae,Sapotaceae,Schefflera,Schoenus,Syzygium,Trema,Triletes,Unknown,Urticaceae/Moraceae,Verbenaceae,Xanthomyrtus
1419,0,0,7,0,1,0,0,0,10,3,2,0,0,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,3,11,126,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,76,4,1,0,0
1785,0,1,16,0,4,0,2,4,38,19,1,0,0,1,2,4,0,0,0,16,5,9,0,1,0,1,0,0,4,0,10,371,0,3,0,0,0,6,2,3,6,1,1,0,0,3,2,89,8,1,0,0
2150,0,3,19,0,1,0,1,1,43,14,1,0,0,0,1,3,0,1,0,25,11,13,0,0,0,2,0,0,4,0,14,383,0,1,0,0,0,0,2,0,4,4,1,0,3,3,0,105,10,0,0,1
2762,0,0,5,2,1,0,0,7,68,7,3,0,0,0,1,10,0,0,0,12,22,10,0,3,0,3,0,0,0,0,18,289,0,3,0,0,1,4,6,2,5,2,0,0,1,3,1,33,19,0,4,0
3252,0,5,7,0,2,1,0,1,80,5,3,0,1,6,1,6,1,1,0,14,1,2,0,3,0,5,0,0,2,0,35,169,0,4,1,2,0,4,12,0,9,5,4,0,2,0,0,28,33,4,2,0
3497,2,1,3,2,0,0,0,0,13,0,5,2,0,6,2,5,0,5,0,2,1,7,0,0,0,3,0,0,0,0,3,39,0,4,0,0,1,3,13,1,5,7,7,3,0,1,0,4,20,1,3,1
3806,0,1,0,0,0,1,1,0,1,0,1,0,0,2,0,2,0,1,1,2,0,6,0,0,0,3,0,0,0,0,2,9,0,0,0,0,0,0,2,0,1,0,1,4,0,0,0,4,1,0,1,0
4179,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4741,1,1,0,0,0,0,0,0,5,0,4,0,0,3,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,2
5306,0,3,0,0,0,0,0,0,4,0,5,0,0,3,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,3,12,1,0,0,0,0,5,2,0,2,1,1,0,0,2,0,3,2,0,0,1
5874,1,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,19,0,1,0,2,0,6,0,0,2,0,0,5,0,0,0,9,3,0,0,0
6028,3,0,0,0,0,0,2,0,2,1,10,0,0,1,0,1,0,0,0,1,1,13,0,0,0,1,0,0,0,0,1,19,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,3,3,0,4,0
6174,0,0,0,0,0,0,0,0,4,0,7,0,0,1,1,2,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,2,0,2,0,2,0,0,0,0,5,5,0,3,1
6581,0,1,0,0,0,0,0,1,2,0,13,0,0,3,0,1,0,3,0,0,1,15,0,0,0,1,0,6,0,0,1,24,0,2,0,1,0,3,1,0,3,3,1,1,0,2,1,10,3,0,2,2
7130,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,2,0
8023,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
10012,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0
12085,0,1,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,4,0,0,1,0,0,2,0,0,0,4,1,0,1,0
14069,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,2,4,0,1,0,0,0,0,0,0,1,14,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,9,4,0,5,0
16087,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,6,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,3,4,0,5,0
