depth,Agathis,Araucaria,Dacrydium,Podocarpus,OTHER PODOCARPACEAE,ACANTHACEAE,Albizzia,APOCYNACEAE,Apodytes clussifiolia,ARALIACEAE,Ascarina,ASTERACEAE,Avicennia marina,BRASSICACEAE  Type,Brugeria sim.,CASUARINACEAE,Celtis,CHENOPODIACEAE,Codia,CUNONIACEAE/ELAEOCARPACEAE,Dodonea Type,EPACRIDACEAE,ESCALLIONACEAE,EUPHORBIACEAE Undiff,Exocaria comp.,Ficus,FLACOURTICEAE,Garcinia,GOODENIACEAE,Hibbertia Type,Ilex,Kermadecia/Stenocarpus,LEGUMINOSAE,LILIACEAE Type,Longetia buxoides Type,Lumnitzera,Lythrum,Macaranga,Mallotus,Melaleuca,OTHER MYRTACEAE,Melastoma,MELIACEAE,MENISPERMACEAE  Type,MYRSINACEAE,Nothofagus,Parsonsia,PASSIFLORACEAE Type,Phyllanthus Type,PIPERACEAE Type,PROTEACEAE,Psychotira,Quintinia,RHIZOPHORACEAE,RUBIACEAE ?,RUTACEAE ?,SAPINDACEAE,SAPINDACEAE Sync. Type,SAPOTACEAE,SIMAROUBACEAE,Sloanea,SONNERATICEAE,STERCULICEAE,Symplocos,Tapeinosperma Type,Terminalia,Trema ?,VITACEAE,Wickstromea Type,CYPERACEAE,Palmae,Freycinetia,Pandanus krauelianis Type,Other PANDANACEAE,POACEAE,Typha,Lycopodium,Monolete psilate,POLYPODIACEAE,Type A,Other,Pteridium esculentum,Cyathaceae,Trilete Psilate,NC-SS-32 Type,Type A,Type B,Other,Type 2,Type 5,Type 7,Type 8,Type 15,Type 16,Type 17,Type 18,Type 19,Type 23,Type 24,Type 25,Type 27,Type 30,Type 31,Type 32,Type 33,Type 34,Type 35,Type 36,Type 39,Type 41,Typef 42,Type 43,Type 45,Type 48,Type 49,Type 50,Type 51,Type 52,Type 53,Type 54,Type 55,Type 56,Type 57,Type 61,Type 65,Type 66,Type 68,Type 71,Type 72,Type 73,Type 74,Type 75,Type 76,Type 77,Type 78,Type 80,Type 83,Type 84,Type 85,Type 86,Type 87,Type 90,Type 91,Type 96,Type 97,Type 98,Type 99,Type 100,Type 101,Type 102,Type 166,Type 168,Dam/deg,Indet
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,17,0,1,19,0,0,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
49,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,120,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1052,6,0,0,0,32,0,0,1330,0,0,0,5,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,6,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
52,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,137,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2070,0,0,0,0,22,0,0,792,0,3,3,14,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,2
55,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1133,0,0,0,0,27,0,0,1500,0,0,23,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
58,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,600,2,0,0,0,33,0,0,651,1,8,0,30,0,6,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
63,0,1,0,0,0,1,0,0,0,0,1,3,2,0,0,121,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200,3,0,0,1,19,0,0,535,5,1,24,3,26,6,0,0,27,20,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,34,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,33,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,1,3,1,1,3,1,1,1,0,0,9,20
66,0,0,1,0,0,0,1,0,0,0,1,7,10,0,0,103,0,0,0,6,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,116,1,0,2,0,30,0,1,302,11,22,1,14,7,6,12,0,0,50,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,111,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,43
69,1,0,0,0,0,2,0,0,0,1,2,0,16,0,0,214,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,14,16,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,315,11,0,0,0,46,0,0,864,7,19,68,9,47,6,0,0,76,23,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,7,4,1,0,0,31,2,0,5,0,0,12,0,0,0,0,12,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,64
72,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,78,0,0,0,8,0,0,0,0,3,2,0,0,0,0,0,0,8,0,0,0,0,1,0,26,28,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,6,0,0,0,31,0,0,451,6,12,21,3,8,16,0,1,14,7,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,6,0,1,0,0,35,5,0,2,0,0,16,0,2,0,0,2,0,0,0,0,0,0,14,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17
75,0,0,0,0,0,0,0,0,0,0,7,1,2,1,7,59,0,0,1,6,0,1,0,2,0,0,0,0,0,0,0,0,29,0,0,0,0,3,0,33,25,0,0,0,0,6,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,10,0,0,0,21,0,0,347,6,0,6,0,0,31,0,0,0,10,0,2,4,0,0,2,0,0,1,15,7,2,2,0,0,3,0,2,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19
