depth,Apocynaceae,Canarium,Canavalia Type,Coprosma,Cunoniaceae,Dacrycarpus,Dilleniaceae,Elaeocarpus?,Ilex,Malvaceae- other,Meliaceae,Myrtaceae,Palms,Podocarpus,Rhamnaceae,Rubiaceae,Rutaceae,Sapindaceae,Sapotaceae,Terminalia Type?,Acryanthes,Araliaceae,Arytera Type,Casuarina,Dodonea,Legumes,Lonicera Type?,Macaranga/Mallotus,Moraceae,Neonauclea Type?,Olacaceae 6p triangle,Pandandus tectorius Type,Pandanus,Pandanus krauliensis Type,Proteaceae,Psychotria,Trema,Type 13 Simaroubaceae,Alternanthera,Amaranthaceae,Apiacaeae,Asteraceae Type A,Asteraceae Type B,Euphorbia ?,Plantago,Poaceae &gt;70 um,Portulaceae,Hypolepis,Polypodiaceae,Treeferns,Triletes Other,Blechnum,Monolete Other,Monolete Psilate,Pteridium,Calycosia,Poaceae,Homalanthus/Exocoaria,Rhizophoraceae,Barringtoniaceae,Cyperaceae,Metroxylon,Nymphoides indica,Ranunculaceae,Typha,Indeterminate 3C3P,Indeterminate Other,Type 11,Damaged/Crumpled
1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,0,14,0,24,0,0,0,0,1,2,0,44,7,0,0,0,0,4,0,30,29,7,5,26,2,0,31,1,0,0,23,0,6,0,0,24,0,0,15.8
5,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,42,0,0,0,0,33,4,0,18,0,0,0,1,0,11,4,11,8,11,2,7,2,0,22,1,0,0,27,0,7,0,4,6,0,0,19
10,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,14,0,0,0,0,16,5,0,23,0,0,0,0,0,4,9,29,13,6,5,2,3,0,74,3,0,2,14,0,4,35,2,5,0,0,7
20,0,0,0,0,0,0,0,0,0,1,0,3,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22,0,49,0,0,0,0,10,4,0,17,0,0,0,0,0,1,8,15,8,1,0,18,0,0,45,5,0,1,8,0,6,0,0,11,1,0,10
30,0,0,0,0,0,0,0,0,0,1,0,1,21,0,0,0,12,2,1,0,0,0,0,2,0,2,0,0,0,0,0,33,0,26,0,0,0,0,0,6,0,8,0,0,0,0,0,0,15,11,6,1,1,15,2,0,34,28,0,0,11,0,12,2,1,16,1,0,6
40,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,25,0,57,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,8,3,3,1,24,0,0,51,13,0,0,5,0,10,0,0,10,2,0,21
50,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,3,13,1,0,0,0,0,0,5,0,0,0,0,0,0,0,35,0,39,0,0,2,0,17,2,0,0,0,0,0,0,0,2,13,1,12,1,11,11,1,0,32,0,0,0,10,0,10,0,5,18,0,0,16
60,0,0,0,0,0,0,0,0,0,0,1,2,13,1,0,0,5,2,0,0,0,0,0,2,0,0,0,2,0,0,0,33,0,31,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,7,4,0,8,11,0,0,31,23,0,0,10,0,6,0,1,18,2,0,32
65,0,0,0,0,0,0,1,0,0,1,0,1,12,2,0,2,2,0,0,0,0,0,0,5,0,3,0,0,0,1,0,50,0,26,0,0,6,0,0,0,0,0,0,0,1,0,0,0,23,19,0,0,19,13,1,0,33,12,0,0,5,0,4,0,1,20,1,0,22
70,0,0,0,0,0,0,0,0,0,0,4,0,15,1,0,2,10,0,0,0,0,0,0,6,0,0,1,4,0,0,0,51,0,17,1,0,8,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,8,6,0,0,53,27,0,0,4,0,3,0,0,14,1,14,2
78,0,0,0,0,0,0,0,5,2,0,1,1,3,0,0,2,3,0,0,0,0,0,0,9,0,0,0,3,0,2,0,24,0,6,0,0,5,0,0,2,0,0,0,0,0,0,1,0,42,10,2,0,18,9,0,0,46,30,0,0,10,8,3,0,0,23,1,14,17
80,1,0,0,0,0,3,2,0,0,9,15,0,2,2,0,7,0,2,0,0,0,0,0,40,0,2,0,0,2,5,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,90,0,6,0,23,7,0,0,11,208,0,0,0,35,21,0,0,8,1,0,3
82,5,0,0,0,0,0,0,0,0,12,10,0,3,4,0,10,0,2,0,0,0,0,0,41,1,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,120,0,7,0,54,20,0,0,19,215,0,1,0,36,28,0,0,16,0,0,7
85,3,0,0,0,5,3,5,1,0,5,9,4,3,0,0,4,17,1,0,3,0,3,3,18,2,0,4,75,2,35,0,4,6,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,19,1,4,0,38,10,0,0,4,53,1,1,4,16,54,2,0,24,0,0,0
87,7,0,0,0,0,0,0,0,0,11,9,0,4,3,0,4,1,0,0,0,0,0,0,36,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,59,0,8,0,18,13,0,0,7,134,0,0,0,22,45,0,0,45,1,0,9
90,4,0,0,0,0,4,0,0,0,12,9,0,3,1,0,9,0,2,0,0,0,0,0,42,0,0,0,5,0,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,29,0,6,0,5,18,0,0,3,46,0,0,0,11,48,0,0,20,0,0,11
95,1,1,0,0,3,0,2,4,1,5,3,3,4,2,0,6,10,0,1,1,0,1,11,21,1,0,1,32,4,23,0,8,5,0,0,2,0,1,0,0,2,13,0,0,1,0,0,0,35,1,3,0,20,11,0,0,7,48,0,0,6,11,43,3,0,56,0,0,16
100,9,0,0,0,0,1,1,0,0,3,2,1,1,1,0,2,1,1,0,4,0,0,0,13,0,0,0,3,1,6,0,0,2,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,16,0,4,0,2,10,0,0,3,26,0,0,2,4,40,0,0,21,1,0,4
103,4,0,0,0,0,0,0,0,0,6,6,0,3,0,2,0,1,0,0,3,0,0,0,12,0,0,1,2,0,4,0,0,3,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,13,0,9,0,4,10,0,1,2,7,0,2,16,2,33,0,0,35,2,0,9
105,9,0,0,1,0,0,0,6,0,3,4,3,4,2,0,9,0,0,0,5,0,0,0,16,0,0,2,4,1,27,0,10,5,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,27,0,8,0,20,12,0,0,8,26,0,0,30,4,66,2,0,42,0,0,12
108,5,0,0,0,0,0,3,0,0,5,1,0,2,0,1,0,2,1,1,60,0,0,0,8,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,26,0,4,0,3,12,0,0,5,77,0,0,3,21,20,0,0,12,0,0,3
112,0,0,0,0,0,0,3,0,0,4,1,0,0,2,1,1,0,0,0,118,0,0,0,7,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,21,0,7,25,0,1,0,26,0,1,1,6,1,0,0,9,0,0,3
