"","Acacia","Acalypha","Acanthaceae","Achyranthes","Acronychia","Acrostichum","Agathis","Agathis australis","Ailanthus","Albizia","Aleurites","Alphitonia","Alternanthera","Alyxia","Amaranthaceae","Amaranthus","Ambrosia","Anacardiaceae","Anacolosa","Annonaceae","Anthoceros","Antidesma","Antirhea","Apiaceae","Apium prostratum","Apocynaceae","Apodytes clusiifolia","Araceae","Araliaceae","Araucaria","Ardisia","Arecaceae","Argophyllum","Aristotelia","Arytera","Ascarina","Ascarina lucida","Aspleniaceae","Asplenium","Astelia","Asteraceae","Austrobuxus","Avicennia marina","Baccaurea","Balanops","Barringtonia","Beauprea","Bignoniaceae","Bischofia","Blechnum","Blyxa","Brassicaceae","Bruguiera","Burseraceae","Cal_yrs_BP","Calamus","Callitriche","Callitris","Calophyllum","Calycosia","Calystegia","Canarium","Canavalia","Canthium","Cardiospermum","Carex","Caryophyllaceae","Casuarina","Casuarinaceae","Celtis","Cerberiopsis","Citronella","Claoxylon","Clematis","Clerodendrum","Clethra","Clusiaceae","Cocos","Cocos nucifera","Codia","Colocasia","Colocasia esculenta","Combretum","Commelina","Commersonia","Convolvulaceae","Coprosma","Cordyline","Coriaria","Corynocarpus","Cucurbitaceae","Cunoniaceae","Cupaniopsis","Cuphea","Cyathea","Cyatheaceae","Cycas","Cyclophyllum barbatum","Cynometra","Cyperaceae","Cyperus","Cyrtandra","Dacrycarpus","Dacrycarpus dacrydioides","Dacrydium","Dacrydium cupressinum","Decaisnina forsteriana","Decaspermum","Desmodium","Dianella","Dicksonia","Dicranopteris","Dicranopteris linearis","Dillenia","Dilleniaceae","Diospyros","Dodonaea","Dodonaea viscosa","Dolicholobium","Dracaena","Dysoxylum","Elaeocarpaceae","Elaeocarpus","Elattostachys","Eleocharis","Embelia","Endospermum","Entada","Ericaceae","Erythrina","Erythrina variegata","Escalloniaceae","Euodia","Euphorbia","Euphorbia balbisii","Euphorbiaceae","Euroschinus","Excoecaria","Exocarpos","Fabaceae","Fagraea","Ficus","Fimbristylis","Flagellaria","Flagellariaceae","Freycinetia","Garcinia","Gardenia","Garuga","Geniostoma","Geraniaceae","Geranium retrorsum","Gesneriaceae","Glochidion","Goodeniaceae","Grevillea","Grewia","Group.1","Guettarda","Guioa","Gunneraceae","Gymnosporia","Gymnostoma","Haloragaceae","Haloragis","Hedycarya","Hemionitis","Heritiera","Hernandia","Hibbertia","Hibiscus","Histiopteris incisa","Homalanthus","Homalanthus stokesii","Homalium","Huperzia varia","Hydrocotyle","Hymenophyllaceae","Hymenophyllum","Hypolepis","Ilex","Inocarpus","Ipomoea","Ipomoea batatas","Ixora","Jasminum","Joinvillea","Juncus","Kermadecia","Knightia","Lamiaceae","Lauraceae","Laurelia","Lecythidaceae","Leea","Lepidosperma","Lepironia","Lepisorus","Leptospermum","Leucas","Libocedrus","Liliaceae","Liquidambar","Longetia buxoides","Lonicera","Loranthaceae","Ludwigia","Lumnitzera","Lycopodiaceae","Lycopodiella cernua","Lycopodiella lateralis","Lycopodium","Lycopodium scariosum","Lycopodium volubile","Lygodium","Lythraceae","Lythrum","Macaranga","Macrolearia colensoi","Maesa","Mallotus","Malpighiaceae","Malvaceae","Marattiaceae","Maytenus","Medinilla","Medusanthera","Melaleuca","Melastoma","Melastomataceae","Meliaceae","Melicope","Melicytus","Melochia","Menispermaceae","Meryta","Metrosideros","Metroxylon","Metroxylon vitiense","Microsorum","Momordica","Moraceae","Morinda","Muehlenbeckia","Mussaenda","Myoporum","Myoporum rapense","Myriophyllum","Myristica","Myrsine","Myrtaceae","Neomyrtus","Neonauclea","Neopanax arboreus","Nepenthes","Nertera","Nestegis","Neuburgia","Nothofagus","Nymphoides","Nymphoides indica","Olacaceae","Oleaceae","Onagraceae","Ophioglossum","Ophiorrhiza","Orchidaceae","Oxalis","Paesia","Palaquium","Pandanaceae","Pandanus","Pandanus krauelianus","Pandanus tectorius","Parinari","Parsonsia","Passifloraceae","Pectinopitys ferruginea","Pemphis","Phaleria","Phormium","Phyllanthaceae","Phyllanthus","Phyllocladus","Phytolaccaceae","Pinaceae","Pinus","Piper","Piperaceae","Pisonia","Pittosporum","Planchonella","Plantago","Plantago lanceolata","Pleiogynium","Plerandra","Poaceae","Podocarpaceae","Podocarpus","Polygala","Polygonaceae","Polygonum","Polypodiaceae","Polypodium","Polyscias","Portulacaceae","Potamogeton","Premna","Primulaceae","Proteaceae","Prumnopitys taxifolia","Psidium guajava","Psilotum","Psychotria","Pteridaceae","Pteridium","Pteridium esculentum","Pteris","Pteris berteroana","Pteris tremula","Pyrrosia","Quintinia","Randia","Ranunculaceae","Ranunculus","Rauvolfia","Rhamnaceae","Rhizophora","Rhizophoraceae","Rhopalostylis sapida","Rhus","Rosaceae","Rubiaceae","Rubus","Rumex","Rutaceae","Salacia","Salicaceae","Sapindaceae","Sapotaceae","Saurauia","Scaevola","Scaevola taccada","Schefflera","Schizaea","Schoenus","Scirpus","Selaginella","Selaginella kraussiana","Senna","Sigesbeckia orientalis","Simaroubaceae","Site","Sloanea","Smilax","Solanaceae","Solanum","Sonchus asper","Sonchus kirkii","Sophora","Sophora tomentosa","Soulamea","Spathodea","Sphenomeris","Stachytarpheta","Stenochlaena","Stenochlaena palustris","Sterculia","Streblus","Symplocos","Syzygium","Tapeinosperma","Terminalia","Thelypteris","Timonius","Tournefortia","Trema","Trifolium","Triumfetta","Typha","Typha angustifolia","Typha latifolia","Typha orientalis","Ulex europaeus","Ulmaceae","Urena","Urticaceae","Verbenaceae","Veronica","Vigna","Violaceae","Vitaceae","Vitex","Vitex lucens","Weinmannia","Wikstroemia","Xanthomyrtus"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767262459025081,0,0,0,0,0,0,0,0,7.19473927725884,0,0,0,0,0,0,0,0,0,0,0,0,0,252.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511382132285587,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8060608083246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75302919491609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5831055529622,0,0,0,0,3.23232780276288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6512625852773,0,0,0,0,0,"aro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500830187187444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1269841269841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,2.38095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ngo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421940928270042,0,0,0,0,0,9.17787158521412,0,0,0,0.150156306052375,0,0,0,0,0,0,0,0,0,0,0,0.0125786163522013,0.185629108609529,0,0,0.554047148749697,0,0,0,0,0,0,0,0,0,0,0.548491074463524,0,0,181.293333333333,0,0.896365425791536,0,0,0,0.123165752746033,0,0,0,0,11.6424916396146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975077519142482,0.314541123670652,1.54036368166091,0,0,0,0,0,5.79945519975307,0,0,0,0,0,0,0,0,0.039569169658544,0,1.14577119107496,0,0,0,0,0,0,0,0,0,0,0.0931666334261008,0,0,0,0,0,0,0,1.09365305403639,0,0,0,0,0,0,0,0,0.0421940928270042,0,0,0,0,0,0.3089380881912,0,0,0,0,0,0,0,0,0,0,0,0.281250158682776,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,1.3634890463662,0,0.0222222222222222,0,0,0,0,0.164236872399898,0,0,0,0,0.049212775528565,0.0276625172890733,0,0,0,0,0,0,0,0,0,0.126582278481013,0,0,0,0,0,0,0,0,0,0,0.159450855358175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874704423394947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25592844366387,0,0,0.278219162076069,0,0,0,0.0125786163522013,0,0,0,0.0322061191626409,0,0,0,0,0,0.0276625172890733,0,0,0,0,0.126334312797782,0,0,0,0,0,0.189648510706203,0,0,0.0127469725940089,0.393103028628068,0,0,0,0,0,0,0,0,0.180252225404192,0,0,0.0438784552496927,0,0,0.0596427131697719,0,0,3.63252030749062,0,0,0,0,0,0,0,0,0,0,0.55997299617241,0,0,0,0.29514428547473,0,0,0,0,0,0,0,0,0,0,0.0269905533063428,0,0,0,51.5329112994378,0,0,0.788477197592565,0,0,0,0,0.0511451426783235,0,0,0,0,0.367681236201154,0,0,0,0,0.0966183574879227,0,0,0,0,0,0,0,0,0,0.111691452632699,0,0,0,0.0644122383252818,0,0.927581978142488,0,"wai",0,0,0,0.0485490455698996,0,2.37465876533938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209352978521359,0,0,0,0,0.698269670653817,0.0843881856540084,0,0,0.278291914027637,0,0.149413412896864,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08110300081103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24330900243309,0,0,0,0,0,0,0,0,0.334825920618791,0,0,0,0,0,0,0,0,0,0,0,0,0,106.844444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491642084562439,0,0,0,0,0,0,0,0,0,0,0,0.643605824880985,0,0.203643497133159,0,0,0.16220600162206,0,0,0,0,0,0,0,0.528166807745542,0,0,0,0,37.1615478623132,0,0,0,0,0,0,0,0,0,0,0,0,20.4846290727055,0,0,0,0,0.28130320101123,0,0,0,0,0,0,0,0,0,0,0,0,0.235502628160773,0,0,0,0,0.120772946859903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.139762403913347,0,0.161397654023023,0,0,0,0,0,4.09379976753489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460786873830352,0,0,5.37841939879847,0,0,0,0,0,0,0,0,0,0,0,0,0.08110300081103,1.67995545676598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371860758237947,0,0,0,0,0,0,0,0,0,0,1.06828546947498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3865232691645,0,0,0,0,0,0,0,0,0.120772946859903,0,0,0,0.510988580775599,0,0,0,0,0,0.08110300081103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753346796724034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tuk",0,0,0,0,0.0698812019566737,0,0,0.112233445566779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48379052369077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.429160910673,0,0,0,0,0,0,0,0,5.41452125082976,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0.997506234413965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96609196433377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0522076104702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8366314429753,0,0,0,0,0,0,0,0.359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15827338129496,0,0,19.6289850912288,0,0,0,0,0,0,0,0,0,11.6785374692764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0906725990778,0,0,0,0,0,1.56353720016506,0,0,0,0,0,0,0,0,0,0,0.124688279301746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,1.35721846462979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0.178009883198562,0.412735849056604,0,0,0.236972147349506,0.117924528301887,0,0,0,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0.473944294699012,0,0,0,0,0,0,0,0,0.236972147349506,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0.119047619047619,0.117924528301887,0,0.119047619047619,0,0,0.236972147349506,0,0,0,0,0,0,0,0,0,9.83490566037736,0,0,0.295934411500449,0,0,0,0,0,0,0.0589622641509434,0,0,0,0,0.17688679245283,0,0,0,0,0,0,40.4391284815813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295934411500449,0,0,0,0,0,0.117924528301887,0,0,0,0,0,0,0,8.32547169811321,0,0.53515274034142,0,0,0.0589622641509434,0,0,0,0,0.17688679245283,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0.297057502246181,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0,0,0,0.0589622641509434,0,0.117924528301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6329739442947,0,0,0,0,0.119047619047619,0,0.17688679245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117924528301887,0,0,0,0,0,0,0,0,0.0589622641509434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2577493261456,0,0,0,0,0,0,0,0,0,0,0.473944294699012,0,0,0,0,0,0,0.0589622641509434,0,0,0,0,0.294811320754717,0,5.38578167115903,0,0,0,0,0.475067385444744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0,0.472821203953279,0,0,0,0,0,0,0,0,0.0589622641509434,0,0,0,0,0,0,0,0,0,0,0,0,"ava",0,0,0.119047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589622641509434,0,0,0,0.95125786163522,0,0,0,0,0,0,0,0,0.0589622641509434,0.17688679245283,0,0,0.0589622641509434,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.675675675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20917638950426,0,0,0,0.0910746812386157,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7271205631861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,2.48240043322011,0,0,0,27.6768571850539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675675675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99069561364643,0,0,0,0,0,0.273224043715847,0,0,0,0,0,0,0,0,0,3.77221483778861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1346920691183,0,0,0,0,0,0,0,0.546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675675675675676,0,0,0,0,0,0,0,1.36612021857923,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,14.4919509673608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"plu",0,0,0,0,0,0,0,0,0,0,2.66454979569734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,4.82543286971331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09329170214779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95136720597975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51546977008232,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6050714353297,0,0,0,0,0,0,0,0,0,0,2.34648500331157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68710379411486,0,0,0,0,0,0,0,0,"lot",0,0,0,0,0,0,0,0,0,0,0,0,0,21.3832907559845,0,0,0,0,0,0,0,0,0,0,0,2.59248746333617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,8.55985605782841,0,0,0,0,0,0,0,0,0.393981094535764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.633244387415,0,0,0,0,0,0,0,0,0,0,0,0.0340488796359109,0,0,0,206.333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0363881156414315,0.37146788913372,0,0,0,0,0,0,0,0,0,0,17.6266833819576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60245434446889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26366106369635,0,0,0,0,0,0,0,0,0,0,0.310508252982513,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5408835866427,0,0.757204336220515,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0.146054420045758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52624617627277,0,0,0,0,0.743357219532101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257835790830715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81717514078947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.368692352482,0,0,0,0,9.45489011557528,0,0,0,0,0.49529051884496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fin",0,0,0,0,0,0,0,0,0,0,0,0.259915111724511,0,0,0,0,0,0,0,0,0,0,0,19.8001617637437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0.510204081632653,0,0,0,0,0,0,0,0,7.2004316007889,0,1.6301562803603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70923879393403,0,0,0,0,0,0,0,0,14.5500911627045,0,0,0,0,0,0,0,0,3.62930505930358,0,0,0,0,86.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.286123032904149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79373620100697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742930737486648,0,0,0,0.457424349049965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83297794476678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286123032904149,0,0,0,0,0,0,0,0,0,0,0.143061516452074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170068027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14367816091954,0,0,0,0,0,0,0,0,0,2.59840135551039,0,0,0,0,0,0,0,0,0,0,0,12.118976642011,4.96592598856917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1632587621403,0,1.1444921316166,0,0,0,1.86226629174683,0,0,0,0,0,0,0,0,0,0,0,0,1.05667692561707,0,0,0,0,0,0,0,5.0071530758226,0,0,0,0,0,0,0,0,0,0,0,1.13646316895857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86083567658231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
