"","times","sims","name"
"ngo aro.1",150,0.0552916722092985,"ngo aro"
"ngo aro.2",650,0.250484630848794,"ngo aro"
"ngo aro.3",1150,0.141276075361883,"ngo aro"
"ngo aro.4",1650,0.023833824835344,"ngo aro"
"ngo aro.5",2650,0.0980520479770292,"ngo aro"
"ngo aro.6",3150,0.0561179030876474,"ngo aro"
"ngo aro.7",4650,0.0307690067608419,"ngo aro"
"wai aro.1",150,0.00946699186138689,"wai aro"
"wai aro.2",650,0.00503649689459518,"wai aro"
"wai aro.3",1150,0.0437499999999998,"wai aro"
"wai aro.4",1650,0.00296735905044498,"wai aro"
"wai aro.5",3150,0.0028089887640449,"wai aro"
"wai aro.6",4650,0,"wai aro"
"tuk aro.1",150,0.0180862639414892,"tuk aro"
"tuk aro.2",650,0.00929017487072514,"tuk aro"
"tuk aro.3",1150,0.00444444444444447,"tuk aro"
"tuk aro.4",3150,0.015625,"tuk aro"
"yac aro.1",150,0.202724563089327,"yac aro"
"yac aro.2",650,0.393785478464531,"yac aro"
"yac aro.3",1150,0.346555217929882,"yac aro"
"yac aro.4",1650,0.230217141031358,"yac aro"
"yac aro.5",2650,0.000381679389313105,"yac aro"
"yac aro.6",3150,0.00451807228915668,"yac aro"
"ava aro.1",150,0.0663072776280323,"ava aro"
"ava aro.2",650,0.140168595348047,"ava aro"
"ava aro.3",1150,0.148761352657005,"ava aro"
"ava aro.4",1650,0.0814761234490667,"ava aro"
"ava aro.5",2650,0.075242718446602,"ava aro"
"ava aro.6",3150,0.108295806994699,"ava aro"
"ava aro.7",4650,0.0603771334338526,"ava aro"
"plu aro.1",150,0.0397748655375904,"plu aro"
"plu aro.2",650,0.0894129553466512,"plu aro"
"plu aro.3",1150,0.0886994727246727,"plu aro"
"plu aro.4",1650,0.0209581818777221,"plu aro"
"plu aro.5",2650,0,"plu aro"
"plu aro.6",3150,0.00601275549408309,"plu aro"
"plu aro.7",4650,0.0277777777777777,"plu aro"
"lot aro.1",150,0.360839357401496,"lot aro"
"lot aro.2",650,0.338043144336076,"lot aro"
"lot aro.3",1150,0.0916901248467592,"lot aro"
"lot aro.4",1650,0,"lot aro"
"lot aro.5",2650,0,"lot aro"
"lot aro.6",3150,0,"lot aro"
"lot aro.7",4650,0,"lot aro"
"fin aro.1",150,0.216010201552449,"fin aro"
"fin aro.2",650,0.16086163839619,"fin aro"
"fin aro.3",1150,0.15388218552901,"fin aro"
"fin aro.4",1650,0.12813405426237,"fin aro"
"fin aro.5",2650,0.0912878627241241,"fin aro"
"fin aro.6",3150,0.0176092398725536,"fin aro"
"fin aro.7",4650,0,"fin aro"
"vol aro.1",150,0.272689386593438,"vol aro"
"vol aro.2",650,0.277371790970682,"vol aro"
"vol aro.3",1150,0.269584646464647,"vol aro"
"vol aro.4",2650,0.2421875,"vol aro"
"vol aro.5",3150,0.250246597845708,"vol aro"
"vol aro.6",4650,0.08232179675671,"vol aro"
"bon aro.1",150,0.0174582658106281,"bon aro"
"bon aro.2",650,0.0774313981706178,"bon aro"
"bon aro.3",1150,0.0470760921620607,"bon aro"
"bon aro.4",1650,0.28131945573806,"bon aro"
"bon aro.5",2650,0.292952058363731,"bon aro"
"bon aro.6",3150,0.148002502457771,"bon aro"
"tag aro.1",150,0.0401651266876614,"tag aro"
"tag aro.2",650,0.0126182965299685,"tag aro"
"tag aro.3",1150,0.0269861254650036,"tag aro"
"tag aro.4",1650,0.00981546077354056,"tag aro"
"tag aro.5",2650,0.00435424790263506,"tag aro"
"tag aro.6",3150,0.0240998389121984,"tag aro"
"tag aro.7",4650,0.0140808371375565,"tag aro"
"lou aro.1",650,0.0757457994065412,"lou aro"
"lou aro.2",1150,0.0217298972783836,"lou aro"
"lou aro.3",1650,0.0337826939527061,"lou aro"
"lou aro.4",2650,0.0731171571945981,"lou aro"
"lou aro.5",3150,0.0242627401837927,"lou aro"
"lou aro.6",4650,0.0182066968863603,"lou aro"
"lan aro.1",650,0.025823628392027,"lan aro"
"lan aro.2",1150,0.00710958269310524,"lan aro"
"lan aro.3",1650,0.0116279069767444,"lan aro"
"lan aro.4",2650,0.00159489633173815,"lan aro"
"lan aro.5",3150,0.004201680672269,"lan aro"
"lan aro.6",4650,0.0011312217194569,"lan aro"
"ano aro.1",1650,0.199205876513634,"ano aro"
"ano aro.2",2650,0.112745098039216,"ano aro"
"ano aro.3",3150,0.198237885462555,"ano aro"
"ano aro.4",4650,0.0689655172413793,"ano aro"
"wai ngo.1",150,0,"wai ngo"
"wai ngo.2",650,0.00333333333333341,"wai ngo"
"wai ngo.3",1150,0.00300000000000011,"wai ngo"
"wai ngo.4",1650,0.00249305530586075,"wai ngo"
"wai ngo.5",2150,0.00411257618804783,"wai ngo"
"wai ngo.6",3150,0.0084269662921348,"wai ngo"
"wai ngo.7",4150,0.00936768149882905,"wai ngo"
"wai ngo.8",4650,0.0127659574468086,"wai ngo"
"tuk ngo.1",150,0.374048568647463,"tuk ngo"
"tuk ngo.2",650,0.0420464411405211,"tuk ngo"
"tuk ngo.3",1150,0.0444444444444444,"tuk ngo"
"tuk ngo.4",2150,0.0671390424634239,"tuk ngo"
"tuk ngo.5",3150,0.0461239961015977,"tuk ngo"
"tuk ngo.6",3650,0.0309278350515463,"tuk ngo"
"tuk ngo.7",4150,0.0435005224660396,"tuk ngo"
"yac ngo.1",150,0.163152983135401,"yac ngo"
"yac ngo.2",650,0.278583211764454,"yac ngo"
"yac ngo.3",1150,0.196652636332307,"yac ngo"
"yac ngo.4",1650,0.0279718767593218,"yac ngo"
"yac ngo.5",2150,0.0575436257754953,"yac ngo"
"yac ngo.6",2650,0.0061518729153569,"yac ngo"
"yac ngo.7",3150,0.00746634786462452,"yac ngo"
"yac ngo.8",3650,0.00416644025430646,"yac ngo"
"yac ngo.9",4150,0.00893014881754051,"yac ngo"
"ava ngo.1",150,0.500967729859239,"ava ngo"
"ava ngo.2",650,0.559237910983417,"ava ngo"
"ava ngo.3",1150,0.376533352312329,"ava ngo"
"ava ngo.4",1650,0.292912027576985,"ava ngo"
"ava ngo.5",2150,0.366413131879142,"ava ngo"
