"","St. Louis Lac","Plum Swamp","Anouwe Swamp","Waitetoke","Volivoli","Bonatoa Bog","Lake Tagimaucia","Yacata","Finemui Swamp","Lotofoa Swamp","Ngofe Marsh","Avai’o’vuna Swamp","Lake Lanoto'o","Tukou Marsh","Rano Aroi"
"aro",-8.03471198627257e-06,-1.33567085190639e-05,-3.82589420311235e-05,-3.68041465622442e-06,-3.65558837269663e-05,6.85444397726265e-05,-3.41911110378781e-06,-0.000114157907809831,-4.83488185820831e-05,-8.12736756393532e-05,-2.44830065420259e-05,-9.30691376963446e-06,-4.83814908587333e-06,4.98874836831985e-07,NA
"ngo",-0.000134318525630044,-8.29020608103984e-05,1.88568990447671e-05,2.51683323538273e-06,-3.57685813666917e-05,-8.30718972949092e-06,3.49631131022522e-06,-6.13444744193739e-05,-4.96774075364246e-05,-4.18313266923129e-05,NA,-7.89199708071995e-05,-6.32809129747771e-06,-4.66272034371831e-05,-2.44830065420259e-05
"wai",4.28002587664855e-06,-2.2186943686429e-05,-7.40449975736605e-06,NA,-1.24830501407197e-06,1.07058907107463e-06,2.76566543748884e-07,-1.07667522630849e-06,-1.44557802084646e-06,0,2.51683323538273e-06,-9.2801615303056e-07,3.18096375211558e-07,4.7978720347279e-06,-3.68041465622442e-06
"tuk",8.99355439948694e-06,-3.54539536403266e-05,1.75894867096214e-05,4.7978720347279e-06,-3.26500648115777e-05,7.4043350402041e-06,1.51438065676303e-05,-5.02203381684538e-05,-1.96834230144738e-05,-1.50710143946447e-05,-4.66272034371831e-05,-4.54135409862658e-05,1.1390774848744e-05,NA,4.98874836831985e-07
"yac",-2.10760087056742e-05,-3.32638298692339e-05,-5.17306904761241e-05,-1.07667522630849e-06,-7.17939409519291e-05,-2.37940954874563e-05,-5.65896700477066e-06,NA,-6.39497754705672e-05,-7.09072875579931e-05,-6.13444744193739e-05,-5.64863013622738e-05,-9.42861258242211e-06,-5.02203381684538e-05,-0.000114157907809831
"ava",-5.38119677868342e-05,-7.07329321235144e-05,-4.41491851315997e-05,-9.2801615303056e-07,-2.84046644547979e-05,-2.1312689122033e-05,1.21577507012044e-05,-5.64863013622738e-05,-5.34782432622204e-05,-4.37003562204184e-05,-7.89199708071995e-05,NA,-2.11040574651934e-05,-4.54135409862658e-05,-9.30691376963446e-06
"plu",-0.000102947470226262,NA,2.26902509039105e-05,-2.2186943686429e-05,-1.57892186521747e-05,-5.02481822666697e-06,4.28481275535227e-06,-3.32638298692339e-05,-3.98949159364358e-05,-3.45668667748737e-05,-8.29020608103984e-05,-7.07329321235144e-05,5.25087196693906e-08,-3.54539536403266e-05,-1.33567085190639e-05
"lot",-4.13330989063419e-05,-3.45668667748737e-05,-5.1312701992677e-06,0,-4.916870286726e-05,-1.63500663431546e-05,1.31182157342473e-05,-7.09072875579931e-05,1.51323832557065e-05,NA,-4.18313266923129e-05,-4.37003562204184e-05,7.7206866341497e-06,-1.50710143946447e-05,-8.12736756393532e-05
"fin",-3.95369478530831e-05,-3.98949159364358e-05,-3.55319360407866e-05,-1.44557802084646e-06,-5.5755466777427e-05,-2.29012749772208e-05,-7.29019472464375e-06,-6.39497754705672e-05,NA,1.51323832557065e-05,-4.96774075364246e-05,-5.34782432622204e-05,-1.55908179013477e-05,-1.96834230144738e-05,-4.83488185820831e-05
"vol",-1.97670900124793e-06,-1.57892186521747e-05,-7.42652815513444e-05,-1.24830501407197e-06,NA,2.84253973714087e-06,-5.85659356162463e-07,-7.17939409519291e-05,-5.5755466777427e-05,-4.916870286726e-05,-3.57685813666917e-05,-2.84046644547979e-05,-3.68282478729056e-07,-3.26500648115777e-05,-3.65558837269663e-05
"bon",1.73811393735656e-05,-5.02481822666697e-06,-4.11274240352813e-05,1.07058907107463e-06,2.84253973714087e-06,NA,4.72856057423844e-05,-2.37940954874563e-05,-2.29012749772208e-05,-1.63500663431546e-05,-8.30718972949092e-06,-2.1312689122033e-05,-1.53190971225448e-05,7.4043350402041e-06,6.85444397726265e-05
"tag",4.65414858095334e-05,4.28481275535227e-06,-1.61514856071804e-05,2.76566543748884e-07,-5.85659356162463e-07,4.72856057423844e-05,NA,-5.65896700477066e-06,-7.29019472464375e-06,1.31182157342473e-05,3.49631131022522e-06,1.21577507012044e-05,6.49378196819693e-05,1.51438065676303e-05,-3.41911110378781e-06
"lou",NA,-0.000102947470226262,1.28605501157022e-05,4.28002587664855e-06,-1.97670900124793e-06,1.73811393735656e-05,4.65414858095334e-05,-2.10760087056742e-05,-3.95369478530831e-05,-4.13330989063419e-05,-0.000134318525630044,-5.38119677868342e-05,2.67509763594032e-05,8.99355439948694e-06,-8.03471198627257e-06
"lan",2.67509763594032e-05,5.25087196693906e-08,-1.15110478833654e-05,3.18096375211558e-07,-3.68282478729056e-07,-1.53190971225448e-05,6.49378196819693e-05,-9.42861258242211e-06,-1.55908179013477e-05,7.7206866341497e-06,-6.32809129747771e-06,-2.11040574651934e-05,NA,1.1390774848744e-05,-4.83814908587333e-06
"ano",1.28605501157022e-05,2.26902509039105e-05,NA,-7.40449975736605e-06,-7.42652815513444e-05,-4.11274240352813e-05,-1.61514856071804e-05,-5.17306904761241e-05,-3.55319360407866e-05,-5.1312701992677e-06,1.88568990447671e-05,-4.41491851315997e-05,-1.15110478833654e-05,1.75894867096214e-05,-3.82589420311235e-05
