"","times","sims","name"
"wai plu.1",150,0.0610954829113719,"wai plu"
"wai plu.2",650,0.0619994686683479,"wai plu"
"wai plu.3",1150,0.09210168008134,"wai plu"
"wai plu.4",1650,0.016736130484894,"wai plu"
"wai plu.5",2150,0.0839277896974548,"wai plu"
"yac plu.1",150,0.104433815279652,"yac plu"
"yac plu.2",650,0.0967114312903538,"yac plu"
"yac plu.3",2150,0.0139129375142464,"yac plu"
"ava plu.1",150,0.241026781111455,"ava plu"
"ava plu.2",650,0.373472961412946,"ava plu"
"ava plu.3",1150,0.252296660841578,"ava plu"
"ava plu.4",1650,0.251121315303118,"ava plu"
"ava plu.5",2150,0.138750525973425,"ava plu"
"bon plu.1",150,0.0517457722082686,"bon plu"
"bon plu.2",650,0.134266928104213,"bon plu"
"bon plu.3",1150,0.0600736979106204,"bon plu"
"bon plu.4",1650,0.0392532308231741,"bon plu"
"bon plu.5",2150,0.12455855757152,"bon plu"
"tag plu.1",150,0.0661459399589506,"tag plu"
"tag plu.2",650,0.0506749879008234,"tag plu"
"tag plu.3",1150,0.0676172940703623,"tag plu"
"tag plu.4",1650,0.0554580372644665,"tag plu"
"tag plu.5",2150,0.0472635112947257,"tag plu"
"ngo plu.1",650,0.513064725660494,"ngo plu"
"ngo plu.2",1650,0.316634215366719,"ngo plu"
"ngo plu.3",2150,0.197502220713182,"ngo plu"
"lou plu.1",1150,0.581397265088652,"lou plu"
"lou plu.2",1650,0.421988293970959,"lou plu"
"lou plu.3",2150,0.272945478295847,"lou plu"
"yac wai.1",150,0.000986193293885496,"yac wai"
"yac wai.2",650,0,"yac wai"
"yac wai.3",2150,0,"yac wai"
"yac wai.4",3150,0,"yac wai"
"yac wai.5",4150,0,"yac wai"
"ava wai.1",150,0.0086081782271914,"ava wai"
"ava wai.2",650,0,"ava wai"
"ava wai.3",1150,0.00434782608695639,"ava wai"
"ava wai.4",1650,0.00593471810089019,"ava wai"
"ava wai.5",2150,0.00247524752475248,"ava wai"
"bon wai.1",150,0.00540599636641792,"bon wai"
"bon wai.2",650,0,"bon wai"
"bon wai.3",1150,0.00416666666666676,"bon wai"
"bon wai.4",1650,0.00169190254869578,"bon wai"
"bon wai.5",2150,0.00711295487157582,"bon wai"
"bon wai.6",3150,0.0028089887640449,"bon wai"
"tag wai.1",150,0.0104334982573048,"tag wai"
"tag wai.2",650,0,"tag wai"
"tag wai.3",1150,0.00773200683789754,"tag wai"
"tag wai.4",1650,0.0147087403006907,"tag wai"
"tag wai.5",2150,0.0134426502847554,"tag wai"
"tag wai.6",3150,0.00845511804115329,"tag wai"
"tag wai.7",4150,0.013375881275233,"tag wai"
"ngo wai.1",650,0.0066666666666666,"ngo wai"
"ngo wai.2",1650,0.00284018786494034,"ngo wai"
"ngo wai.3",2150,0.00511886549622398,"ngo wai"
"ngo wai.4",3150,0.00842696629213491,"ngo wai"
"ngo wai.5",4150,0.00702576112412179,"ngo wai"
"lou wai.1",1150,0.00507472772583573,"lou wai"
"lou wai.2",1650,0.0181478735002356,"lou wai"
"lou wai.3",2150,0.0224093114854247,"lou wai"
"lou wai.4",3150,0.0199326969108164,"lou wai"
"lou wai.5",4150,0.00986842105263164,"lou wai"
"vol wai",4150,0,"vol wai"
"ava yac.1",150,0.134352615205024,"ava yac"
"ava yac.2",650,0.229225089794239,"ava yac"
"ava yac.3",2150,0.0578206774668566,"ava yac"
"ava yac.4",2650,0.0129854903728962,"ava yac"
"bon yac.1",150,0.0382094135941651,"bon yac"
"bon yac.2",650,0.0915352597762906,"bon yac"
"bon yac.3",2150,0.0453857720110206,"bon yac"
"bon yac.4",2650,0.00225543546721085,"bon yac"
"bon yac.5",3150,0.00753012048192792,"bon yac"
"tag yac.1",150,0.0172910662824206,"tag yac"
"tag yac.2",650,0.0204518350388549,"tag yac"
"tag yac.3",2150,0.00251226284408035,"tag yac"
"tag yac.4",2650,0.00179095713446853,"tag yac"
"tag yac.5",3150,0.00105621717829807,"tag yac"
"tag yac.6",3650,0.0025188916876574,"tag yac"
"tag yac.7",4150,0.00509847364593841,"tag yac"
"ngo yac.1",650,0.149122023520386,"ngo yac"
"ngo yac.2",2150,0.0449238279885691,"ngo yac"
"ngo yac.3",2650,0.00373649522379338,"ngo yac"
"ngo yac.4",3150,0.00890859934370691,"ngo yac"
"ngo yac.5",3650,0.00608380847991741,"ngo yac"
"ngo yac.6",4150,0.00548221407862026,"ngo yac"
"lou yac.1",2150,0.0636627271382788,"lou yac"
"lou yac.2",2650,0.00865811058798227,"lou yac"
"lou yac.3",3150,0.0275429675692014,"lou yac"
"lou yac.4",3650,0.0166014453640398,"lou yac"
"lou yac.5",4150,0.00716053426502139,"lou yac"
"vol yac.1",3650,0.483497207253777,"vol yac"
"vol yac.2",4150,0.385987575898054,"vol yac"
"bon ava.1",150,0.150314692218091,"bon ava"
"bon ava.2",650,0.267702234378424,"bon ava"
"bon ava.3",1150,0.103357320362405,"bon ava"
"bon ava.4",1650,0.102165560538504,"bon ava"
"bon ava.5",2150,0.259132532777975,"bon ava"
"bon ava.6",2650,0.163109958159842,"bon ava"
"tag ava.1",150,0.126231791041684,"tag ava"
"tag ava.2",650,0.0627111881397987,"tag ava"
"tag ava.3",1150,0.0635502772950176,"tag ava"
"tag ava.4",1650,0.188425953390621,"tag ava"
"tag ava.5",2150,0.239511096858674,"tag ava"
"tag ava.6",2650,0.166153926457716,"tag ava"
"ngo ava.1",650,0.601806153200456,"ngo ava"
"ngo ava.2",1650,0.288074140177907,"ngo ava"
"ngo ava.3",2150,0.46314527679183,"ngo ava"
"ngo ava.4",2650,0.498814630842177,"ngo ava"
"lou ava.1",1150,0.186891024418091,"lou ava"
"lou ava.2",1650,0.261398398683893,"lou ava"
"lou ava.3",2150,0.208816257113161,"lou ava"
"lou ava.4",2650,0.260768065629254,"lou ava"
"tag bon.1",150,0.0808006826039719,"tag bon"
"tag bon.2",650,0.126346782917366,"tag bon"
"tag bon.3",1150,0.094866168481715,"tag bon"
"tag bon.4",1650,0.0473437699773627,"tag bon"
"tag bon.5",2150,0.104077341128158,"tag bon"
"tag bon.6",2650,0.063927611020771,"tag bon"
"tag bon.7",3150,0.163757382178704,"tag bon"
"ngo bon.1",650,0.266209366093952,"ngo bon"
"ngo bon.2",1650,0.0393799707388119,"ngo bon"
"ngo bon.3",2150,0.241433147526186,"ngo bon"
"ngo bon.4",2650,0.187822610290405,"ngo bon"
"ngo bon.5",3150,0.0872303005242236,"ngo bon"
"lou bon.1",1150,0.0294061702704492,"lou bon"
"lou bon.2",1650,0.0500492156379205,"lou bon"
"lou bon.3",2150,0.22584155039679,"lou bon"
"lou bon.4",2650,0.172008297822482,"lou bon"
"lou bon.5",3150,0.0888622879554172,"lou bon"
"ngo tag.1",650,0.0612267788293026,"ngo tag"
"ngo tag.2",1650,0.0448831748815607,"ngo tag"
"ngo tag.3",2150,0.181495283928253,"ngo tag"
"ngo tag.4",2650,0.139882085906092,"ngo tag"
