"","times","sims","name","rank"
"ngo aro.1",150,0.598704990939656,"ngo aro","family"
"ngo aro.2",650,0.821337780066685,"ngo aro","family"
"ngo aro.3",1150,0.775699316092976,"ngo aro","family"
"ngo aro.4",1650,0.406056619043953,"ngo aro","family"
"ngo aro.5",2650,0.467539980626832,"ngo aro","family"
"ngo aro.6",3150,0.257643781340357,"ngo aro","family"
"ngo aro.7",4650,0.135855972288039,"ngo aro","family"
"wai aro.1",150,0.0112714416562306,"wai aro","family"
"wai aro.2",650,0,"wai aro","family"
"wai aro.3",1150,0,"wai aro","family"
"wai aro.4",1650,0.00583745216839704,"wai aro","family"
"wai aro.5",3150,0.00538049223094184,"wai aro","family"
"wai aro.6",4650,0,"wai aro","family"
"tuk aro.1",150,0.568505122870764,"tuk aro","family"
"tuk aro.2",650,0.084898257626831,"tuk aro","family"
"tuk aro.3",1150,0.108835791905966,"tuk aro","family"
"tuk aro.4",3150,0.0808849132181542,"tuk aro","family"
"yac aro.1",150,0.334503775028535,"yac aro","family"
"yac aro.2",650,0.453384933637094,"yac aro","family"
"yac aro.3",1150,0.425633016597039,"yac aro","family"
"yac aro.4",1650,0.239717093735543,"yac aro","family"
"yac aro.5",2650,0.000399072673335499,"yac aro","family"
"yac aro.6",3150,0.00621498200782411,"yac aro","family"
"ava aro.1",150,0.647686156979756,"ava aro","family"
"ava aro.2",650,0.559072462448843,"ava aro","family"
"ava aro.3",1150,0.437086528748505,"ava aro","family"
"ava aro.4",1650,0.455480902242642,"ava aro","family"
"ava aro.5",2650,0.403054238135176,"ava aro","family"
"ava aro.6",3150,0.276442230220254,"ava aro","family"
"ava aro.7",4650,0.122769874021494,"ava aro","family"
"plu aro.1",150,0.369911603313717,"plu aro","family"
"plu aro.2",650,0.594652317181248,"plu aro","family"
"plu aro.3",1150,0.641600931973209,"plu aro","family"
"plu aro.4",1650,0.405741200302095,"plu aro","family"
"plu aro.5",2650,0.0523482108045441,"plu aro","family"
"plu aro.6",3150,0.0781027557879591,"plu aro","family"
"plu aro.7",4650,0.139146418225871,"plu aro","family"
"lot aro.1",150,0.536143225286914,"lot aro","family"
"lot aro.2",650,0.621654385809499,"lot aro","family"
"lot aro.3",1150,0.315542921009168,"lot aro","family"
"lot aro.4",1650,0,"lot aro","family"
"lot aro.5",2650,0,"lot aro","family"
"lot aro.6",3150,0,"lot aro","family"
"lot aro.7",4650,0,"lot aro","family"
"fin aro.1",150,0.444607933742299,"fin aro","family"
"fin aro.2",650,0.4999031660227,"fin aro","family"
"fin aro.3",1150,0.298309341438378,"fin aro","family"
