"","times","sims","name"
"ngo aro.1",150,0.230769230769231,"ngo aro"
"ngo aro.2",650,0.130434782608696,"ngo aro"
"ngo aro.3",1150,0.142857142857143,"ngo aro"
"ngo aro.4",1650,0.176470588235294,"ngo aro"
"ngo aro.5",2650,0.111111111111111,"ngo aro"
"ngo aro.6",3150,0.0909090909090909,"ngo aro"
"ngo aro.7",4650,0.0731707317073171,"ngo aro"
"wai aro.1",150,0.0461538461538461,"wai aro"
"wai aro.2",650,0.0185185185185185,"wai aro"
"wai aro.3",1150,0,"wai aro"
"wai aro.4",1650,0.0294117647058824,"wai aro"
"wai aro.5",3150,0.0238095238095237,"wai aro"
"wai aro.6",4650,0,"wai aro"
"tuk aro.1",150,0.15625,"tuk aro"
"tuk aro.2",650,0.125,"tuk aro"
"tuk aro.3",1150,0.15,"tuk aro"
"tuk aro.4",3150,0.1,"tuk aro"
"yac aro.1",150,0.181818181818182,"yac aro"
"yac aro.2",650,0.2,"yac aro"
"yac aro.3",1150,0.227272727272727,"yac aro"
"yac aro.4",1650,0.210526315789474,"yac aro"
"yac aro.5",2650,0.0588235294117647,"yac aro"
"yac aro.6",3150,0.117647058823529,"yac aro"
"ava aro.1",150,0.127659574468085,"ava aro"
"ava aro.2",650,0.151515151515152,"ava aro"
"ava aro.3",1150,0.161290322580645,"ava aro"
"ava aro.4",1650,0.131578947368421,"ava aro"
"ava aro.5",2650,0.114285714285714,"ava aro"
"ava aro.6",3150,0.25,"ava aro"
"ava aro.7",4650,0.19047619047619,"ava aro"
"plu aro.1",150,0.208333333333333,"plu aro"
"plu aro.2",650,0.119047619047619,"plu aro"
"plu aro.3",1150,0.102564102564103,"plu aro"
"plu aro.4",1650,0.108108108108108,"plu aro"
"plu aro.5",2650,0.0454545454545455,"plu aro"
"plu aro.6",3150,0.121212121212121,"plu aro"
"plu aro.7",4650,0.111111111111111,"plu aro"
"lot aro.1",150,0.133333333333333,"lot aro"
"lot aro.2",650,0.176470588235294,"lot aro"
"lot aro.3",1150,0.266666666666667,"lot aro"
"lot aro.4",1650,0,"lot aro"
"lot aro.5",2650,0,"lot aro"
"lot aro.6",3150,0,"lot aro"
"lot aro.7",4650,0,"lot aro"
"fin aro.1",150,0.115384615384615,"fin aro"
"fin aro.2",650,0.181818181818182,"fin aro"
"fin aro.3",1150,0.227272727272727,"fin aro"
"fin aro.4",1650,0.235294117647059,"fin aro"
"fin aro.5",2650,0.25,"fin aro"
"fin aro.6",3150,0.0909090909090909,"fin aro"
"fin aro.7",4650,0.0666666666666667,"fin aro"
"vol aro.1",150,0.185185185185185,"vol aro"
"vol aro.2",650,0.2,"vol aro"
"vol aro.3",1150,0.25,"vol aro"
"vol aro.4",2650,0.130434782608696,"vol aro"
"vol aro.5",3150,0.166666666666667,"vol aro"
"vol aro.6",4650,0.1,"vol aro"
"bon aro.1",150,0.111111111111111,"bon aro"
"bon aro.2",650,0.0750000000000001,"bon aro"
"bon aro.3",1150,0.0625,"bon aro"
"bon aro.4",1650,0.111111111111111,"bon aro"
"bon aro.5",2650,0.0652173913043478,"bon aro"
"bon aro.6",3150,0.0555555555555556,"bon aro"
"tag aro.1",150,0.103448275862069,"tag aro"
"tag aro.2",650,0.0789473684210525,"tag aro"
"tag aro.3",1150,0.0625,"tag aro"
"tag aro.4",1650,0.0645161290322581,"tag aro"
"tag aro.5",2650,0.0333333333333334,"tag aro"
"tag aro.6",3150,0.0491803278688525,"tag aro"
"tag aro.7",4650,0.0350877192982456,"tag aro"
"lou aro.1",650,0.230769230769231,"lou aro"
"lou aro.2",1150,0.217391304347826,"lou aro"
"lou aro.3",1650,0.2,"lou aro"
"lou aro.4",2650,0.0857142857142857,"lou aro"
"lou aro.5",3150,0.0857142857142857,"lou aro"
"lou aro.6",4650,0.0714285714285714,"lou aro"
"lan aro.1",650,0.137931034482759,"lan aro"
"lan aro.2",1150,0.148148148148148,"lan aro"
"lan aro.3",1650,0.142857142857143,"lan aro"
"lan aro.4",2650,0.0666666666666667,"lan aro"
"lan aro.5",3150,0.0833333333333334,"lan aro"
"lan aro.6",4650,0.0666666666666667,"lan aro"
"ano aro.1",1650,0.09375,"ano aro"
"ano aro.2",2650,0.0689655172413793,"ano aro"
"ano aro.3",3150,0.0909090909090909,"ano aro"
"ano aro.4",4650,0.0588235294117647,"ano aro"
"wai ngo.1",150,0,"wai ngo"
"wai ngo.2",650,0.0151515151515151,"wai ngo"
"wai ngo.3",1150,0.0357142857142857,"wai ngo"
"wai ngo.4",1650,0.048780487804878,"wai ngo"
"wai ngo.5",2150,0.0307692307692308,"wai ngo"
"wai ngo.6",3150,0.0151515151515151,"wai ngo"
"wai ngo.7",4150,0.0317460317460317,"wai ngo"
"wai ngo.8",4650,0.0285714285714286,"wai ngo"
"tuk ngo.1",150,0.0571428571428572,"tuk ngo"
"tuk ngo.2",650,0.116279069767442,"tuk ngo"
"tuk ngo.3",1150,0.03125,"tuk ngo"
"tuk ngo.4",2150,0.113636363636364,"tuk ngo"
"tuk ngo.5",3150,0.0454545454545455,"tuk ngo"
"tuk ngo.6",3650,0.0454545454545455,"tuk ngo"
"tuk ngo.7",4150,0.048780487804878,"tuk ngo"
"yac ngo.1",150,0.130434782608696,"yac ngo"
"yac ngo.2",650,0.161290322580645,"yac ngo"
"yac ngo.3",1150,0.15625,"yac ngo"
"yac ngo.4",1650,0.148148148148148,"yac ngo"
"yac ngo.5",2150,0.0857142857142857,"yac ngo"
"yac ngo.6",2650,0.0857142857142857,"yac ngo"
"yac ngo.7",3150,0.0750000000000001,"yac ngo"
"yac ngo.8",3650,0.0833333333333334,"yac ngo"
"yac ngo.9",4150,0.0512820512820512,"yac ngo"
"ava ngo.1",150,0.152173913043478,"ava ngo"
"ava ngo.2",650,0.25,"ava ngo"
"ava ngo.3",1150,0.314285714285714,"ava ngo"
"ava ngo.4",1650,0.214285714285714,"ava ngo"
"ava ngo.5",2150,0.229166666666667,"ava ngo"
"ava ngo.6",2650,0.204081632653061,"ava ngo"
"ava ngo.7",3150,0.166666666666667,"ava ngo"
"ava ngo.8",4150,0.234042553191489,"ava ngo"
"ava ngo.9",4650,0.204081632653061,"ava ngo"
"plu ngo.1",150,0.16,"plu ngo"
"plu ngo.2",650,0.113207547169811,"plu ngo"
"plu ngo.3",1150,0.104166666666667,"plu ngo"
"plu ngo.4",1650,0.113636363636364,"plu ngo"
"plu ngo.5",2150,0.12962962962963,"plu ngo"
"plu ngo.6",2650,0.102564102564103,"plu ngo"
"plu ngo.7",3150,0.12962962962963,"plu ngo"
"plu ngo.8",3650,0.125,"plu ngo"
"plu ngo.9",4150,0.076923076923077,"plu ngo"
"plu ngo.10",4650,0.125,"plu ngo"
"lot ngo.1",150,0.133333333333333,"lot ngo"
"lot ngo.2",650,0.185185185185185,"lot ngo"
"lot ngo.3",1150,0.0740740740740741,"lot ngo"
"lot ngo.4",1650,0,"lot ngo"
"lot ngo.5",2150,0.103448275862069,"lot ngo"
"lot ngo.6",2650,0.0357142857142857,"lot ngo"
"lot ngo.7",3150,0.0571428571428572,"lot ngo"
"lot ngo.8",3650,0.0833333333333334,"lot ngo"
"lot ngo.9",4150,0,"lot ngo"
"lot ngo.10",4650,0.0681818181818181,"lot ngo"
"fin ngo.1",150,0.16,"fin ngo"
"fin ngo.2",650,0.225806451612903,"fin ngo"
"fin ngo.3",1150,0.275862068965517,"fin ngo"
"fin ngo.4",1650,0.16,"fin ngo"
"fin ngo.5",2150,0.15625,"fin ngo"
"fin ngo.6",2650,0.0714285714285714,"fin ngo"
"fin ngo.7",3150,0,"fin ngo"
"fin ngo.8",3650,0.161290322580645,"fin ngo"
"fin ngo.9",4150,0.0625,"fin ngo"
"fin ngo.10",4650,0.111111111111111,"fin ngo"
"vol ngo.1",150,0.142857142857143,"vol ngo"
"vol ngo.2",650,0.2,"vol ngo"
"vol ngo.3",1150,0.25,"vol ngo"
"vol ngo.4",2150,0.166666666666667,"vol ngo"
"vol ngo.5",2650,0.17948717948718,"vol ngo"
"vol ngo.6",3150,0.153846153846154,"vol ngo"
"vol ngo.7",3650,0.163265306122449,"vol ngo"
"vol ngo.8",4150,0.0925925925925926,"vol ngo"
"vol ngo.9",4650,0.147058823529412,"vol ngo"
"bon ngo.1",150,0.111111111111111,"bon ngo"
"bon ngo.2",650,0.25,"bon ngo"
"bon ngo.3",1150,0.150943396226415,"bon ngo"
"bon ngo.4",1650,0.1875,"bon ngo"
"bon ngo.5",2150,0.181818181818182,"bon ngo"
"bon ngo.6",2650,0.15,"bon ngo"
"bon ngo.7",3150,0.125,"bon ngo"
"bon ngo.8",3650,0.128205128205128,"bon ngo"
"bon ngo.9",4150,0.0845070422535211,"bon ngo"
"tag ngo.1",150,0.0847457627118644,"tag ngo"
"tag ngo.2",650,0.232558139534884,"tag ngo"
"tag ngo.3",1150,0.114285714285714,"tag ngo"
"tag ngo.4",1650,0.088235294117647,"tag ngo"
"tag ngo.5",2150,0.0933333333333333,"tag ngo"
"tag ngo.6",2650,0.123287671232877,"tag ngo"
"tag ngo.7",3150,0.142857142857143,"tag ngo"
"tag ngo.8",3650,0.138888888888889,"tag ngo"
"tag ngo.9",4150,0.105263157894737,"tag ngo"
"tag ngo.10",4650,0.134146341463415,"tag ngo"
"lou ngo.1",650,0.076923076923077,"lou ngo"
"lou ngo.2",1150,0.117647058823529,"lou ngo"
"lou ngo.3",1650,0.103448275862069,"lou ngo"
"lou ngo.4",2150,0.183673469387755,"lou ngo"
"lou ngo.5",2650,0.137254901960784,"lou ngo"
"lou ngo.6",3150,0.127272727272727,"lou ngo"
"lou ngo.7",3650,0.145161290322581,"lou ngo"
"lou ngo.8",4150,0.122448979591837,"lou ngo"
"lou ngo.9",4650,0.161764705882353,"lou ngo"
"lan ngo.1",650,0.216216216216216,"lan ngo"
"lan ngo.2",1150,0.108108108108108,"lan ngo"
"lan ngo.3",1650,0.185185185185185,"lan ngo"
"lan ngo.4",2650,0.155555555555556,"lan ngo"
"lan ngo.5",3150,0.136363636363636,"lan ngo"
"lan ngo.6",3650,0.128205128205128,"lan ngo"
"lan ngo.7",4150,0.125,"lan ngo"
"lan ngo.8",4650,0.2,"lan ngo"
"ano ngo.1",1650,0.162162162162162,"ano ngo"
"ano ngo.2",2150,0.13953488372093,"ano ngo"
"ano ngo.3",2650,0.133333333333333,"ano ngo"
"ano ngo.4",3150,0.111111111111111,"ano ngo"
"ano ngo.5",3650,0.137254901960784,"ano ngo"
"ano ngo.6",4150,0.0625,"ano ngo"
"ano ngo.7",4650,0.0612244897959184,"ano ngo"
"tuk wai.1",150,0.0987654320987654,"tuk wai"
"tuk wai.2",650,0.0845070422535211,"tuk wai"
"tuk wai.3",1150,0.0178571428571428,"tuk wai"
"tuk wai.4",2150,0.0149253731343284,"tuk wai"
"tuk wai.5",3150,0.0192307692307693,"tuk wai"
"tuk wai.6",4150,0.0384615384615385,"tuk wai"
"yac wai.1",150,0.0263157894736842,"yac wai"
"yac wai.2",650,0.0156250000000001,"yac wai"
"yac wai.3",1150,0.0166666666666667,"yac wai"
"yac wai.4",1650,0.0222222222222223,"yac wai"
"yac wai.5",2150,0,"yac wai"
"yac wai.6",3150,0,"yac wai"
"yac wai.7",4150,0,"yac wai"
"ava wai.1",150,0.0396039603960395,"ava wai"
"ava wai.2",650,0.0128205128205128,"ava wai"
"ava wai.3",1150,0,"ava wai"
"ava wai.4",1650,0.03125,"ava wai"
"ava wai.5",2150,0,"ava wai"
"ava wai.6",3150,0.037037037037037,"ava wai"
"ava wai.7",4150,0.0147058823529411,"ava wai"
"ava wai.8",4650,0.0192307692307693,"ava wai"
"plu wai.1",150,0.0384615384615385,"plu wai"
"plu wai.2",650,0.0352941176470588,"plu wai"
"plu wai.3",1150,0.0405405405405406,"plu wai"
"plu wai.4",1650,0.0491803278688525,"plu wai"
"plu wai.5",2150,0.038961038961039,"plu wai"
"plu wai.6",3150,0.0625,"plu wai"
"plu wai.7",4150,0.0392156862745098,"plu wai"
"plu wai.8",4650,0.0434782608695652,"plu wai"
"lot wai.1",150,0.0147058823529411,"lot wai"
"lot wai.2",650,0,"lot wai"
"lot wai.3",1150,0,"lot wai"
"lot wai.4",1650,0,"lot wai"
"lot wai.5",2150,0,"lot wai"
"lot wai.6",3150,0,"lot wai"
"lot wai.7",4150,0,"lot wai"
"lot wai.8",4650,0,"lot wai"
"fin wai.1",150,0.0253164556962026,"fin wai"
"fin wai.2",650,0.0151515151515151,"fin wai"
"fin wai.3",1150,0.0166666666666667,"fin wai"
"fin wai.4",1650,0.0232558139534883,"fin wai"
"fin wai.5",2150,0.0181818181818182,"fin wai"
"fin wai.6",3150,0.0238095238095237,"fin wai"
"fin wai.7",4150,0,"fin wai"
"fin wai.8",4650,0,"fin wai"
"vol wai.1",150,0.037037037037037,"vol wai"
"vol wai.2",650,0.0289855072463769,"vol wai"
"vol wai.3",1150,0.0188679245283019,"vol wai"
"vol wai.4",2150,0,"vol wai"
"vol wai.5",3150,0,"vol wai"
"vol wai.6",4150,0.0144927536231885,"vol wai"
"vol wai.7",4650,0.0140845070422536,"vol wai"
"bon wai.1",150,0.0408163265306122,"bon wai"
"bon wai.2",650,0.024390243902439,"bon wai"
"bon wai.3",1150,0.0240963855421688,"bon wai"
"bon wai.4",1650,0.0392156862745098,"bon wai"
"bon wai.5",2150,0.0543478260869564,"bon wai"
"bon wai.6",3150,0.0352941176470588,"bon wai"
"bon wai.7",4150,0.0602409638554217,"bon wai"
"tag wai.1",150,0.0450450450450449,"tag wai"
"tag wai.2",650,0.0123456790123457,"tag wai"
"tag wai.3",1150,0.0408163265306122,"tag wai"
"tag wai.4",1650,0.072289156626506,"tag wai"
"tag wai.5",2150,0.0412371134020618,"tag wai"
"tag wai.6",3150,0.021505376344086,"tag wai"
"tag wai.7",4150,0.0795454545454546,"tag wai"
"tag wai.8",4650,0.0481927710843374,"tag wai"
"lou wai.1",650,0.0178571428571428,"lou wai"
"lou wai.2",1150,0.0163934426229508,"lou wai"
"lou wai.3",1650,0.0681818181818181,"lou wai"
"lou wai.4",2150,0.0405405405405406,"lou wai"
"lou wai.5",3150,0.0298507462686567,"lou wai"
"lou wai.6",4150,0.0476190476190477,"lou wai"
"lou wai.7",4650,0.0579710144927537,"lou wai"
"lan wai.1",650,0.0136986301369862,"lan wai"
"lan wai.2",1150,0.0156250000000001,"lan wai"
"lan wai.3",1650,0.0681818181818181,"lan wai"
"lan wai.4",3150,0.0178571428571428,"lan wai"
"lan wai.5",4150,0.0483870967741935,"lan wai"
"lan wai.6",4650,0.0344827586206896,"lan wai"
"ano wai.1",1650,0.0740740740740741,"ano wai"
"ano wai.2",2150,0.0461538461538461,"ano wai"
"ano wai.3",3150,0.046875,"ano wai"
"ano wai.4",4150,0.0465116279069767,"ano wai"
"ano wai.5",4650,0.0222222222222223,"ano wai"
"yac tuk.1",150,0.175,"yac tuk"
"yac tuk.2",650,0.17948717948718,"yac tuk"
"yac tuk.3",1150,0.125,"yac tuk"
"yac tuk.4",2150,0.0833333333333334,"yac tuk"
"yac tuk.5",3150,0.0357142857142857,"yac tuk"
"yac tuk.6",3650,0.0333333333333334,"yac tuk"
"yac tuk.7",4150,0.0714285714285714,"yac tuk"
"ava tuk.1",150,0.104477611940299,"ava tuk"
"ava tuk.2",650,0.0909090909090909,"ava tuk"
"ava tuk.3",1150,0.0465116279069767,"ava tuk"
"ava tuk.4",2150,0.111111111111111,"ava tuk"
"ava tuk.5",3150,0.0606060606060607,"ava tuk"
"ava tuk.6",4150,0.0681818181818181,"ava tuk"
"plu tuk.1",150,0.0869565217391304,"plu tuk"
"plu tuk.2",650,0.112903225806452,"plu tuk"
"plu tuk.3",1150,0.0612244897959184,"plu tuk"
"plu tuk.4",2150,0.0689655172413793,"plu tuk"
"plu tuk.5",3150,0.0681818181818181,"plu tuk"
"plu tuk.6",3650,0.0571428571428572,"plu tuk"
"plu tuk.7",4150,0.107142857142857,"plu tuk"
"lot tuk.1",150,0.0555555555555556,"lot tuk"
"lot tuk.2",650,0.076923076923077,"lot tuk"
"lot tuk.3",1150,0.12,"lot tuk"
"lot tuk.4",2150,0.03125,"lot tuk"
"lot tuk.5",3150,0,"lot tuk"
"lot tuk.6",3650,0.0333333333333334,"lot tuk"
"lot tuk.7",4150,0,"lot tuk"
"fin tuk.1",150,0.0638297872340425,"fin tuk"
"fin tuk.2",650,0.0666666666666667,"fin tuk"
"fin tuk.3",1150,0.0909090909090909,"fin tuk"
"fin tuk.4",2150,0.0555555555555556,"fin tuk"
"fin tuk.5",3150,0,"fin tuk"
"fin tuk.6",3650,0,"fin tuk"
"fin tuk.7",4150,0,"fin tuk"
"vol tuk.1",150,0.177777777777778,"vol tuk"
"vol tuk.2",650,0.181818181818182,"vol tuk"
"vol tuk.3",1150,0.115384615384615,"vol tuk"
"vol tuk.4",2150,0.131578947368421,"vol tuk"
"vol tuk.5",3150,0.0689655172413793,"vol tuk"
"vol tuk.6",3650,0.0888888888888889,"vol tuk"
"vol tuk.7",4150,0.0909090909090909,"vol tuk"
"bon tuk.1",150,0.0757575757575758,"bon tuk"
"bon tuk.2",650,0.101694915254237,"bon tuk"
"bon tuk.3",1150,0.0344827586206896,"bon tuk"
"bon tuk.4",2150,0.0675675675675675,"bon tuk"
"bon tuk.5",3150,0.0983606557377048,"bon tuk"
"bon tuk.6",3650,0.0666666666666667,"bon tuk"
"bon tuk.7",4150,0.0645161290322581,"bon tuk"
"tag tuk.1",150,0.0759493670886077,"tag tuk"
"tag tuk.2",650,0.0862068965517242,"tag tuk"
"tag tuk.3",1150,0.0547945205479452,"tag tuk"
"tag tuk.4",2150,0.0921052631578948,"tag tuk"
"tag tuk.5",3150,0.088235294117647,"tag tuk"
"tag tuk.6",3650,0.0571428571428572,"tag tuk"
"tag tuk.7",4150,0.0735294117647058,"tag tuk"
"lou tuk.1",650,0.0555555555555556,"lou tuk"
"lou tuk.2",1150,0.121212121212121,"lou tuk"
"lou tuk.3",2150,0.0925925925925926,"lou tuk"
"lou tuk.4",3150,0.0666666666666667,"lou tuk"
"lou tuk.5",3650,0.0677966101694916,"lou tuk"
"lou tuk.6",4150,0.0731707317073171,"lou tuk"
