"","times","sims","name"
"ngo aro.1",150,0.315486899610224,"ngo aro"
"ngo aro.2",650,0.450874436338074,"ngo aro"
"ngo aro.3",1150,0.450274612749361,"ngo aro"
"ngo aro.4",1650,0.265643909446868,"ngo aro"
"ngo aro.5",2650,0.123708190335277,"ngo aro"
"ngo aro.6",3150,0.0618770001643889,"ngo aro"
"ngo aro.7",4650,0.032809032461426,"ngo aro"
"wai aro.1",150,0.00946699186138655,"wai aro"
"wai aro.2",650,0.0112562588227809,"wai aro"
"wai aro.3",1150,0,"wai aro"
"wai aro.4",1650,0.0029673590504451,"wai aro"
"wai aro.5",3150,0.0028089887640449,"wai aro"
"wai aro.6",4650,0,"wai aro"
"tuk aro.1",150,0.0287821601682038,"tuk aro"
"tuk aro.2",650,0.00962864843105604,"tuk aro"
"tuk aro.3",1150,0.013953488372093,"tuk aro"
"tuk aro.4",3150,0.016304347826087,"tuk aro"
"yac aro.1",150,0.232129654273064,"yac aro"
"yac aro.2",650,0.529290095127938,"yac aro"
"yac aro.3",1150,0.531420863532317,"yac aro"
"yac aro.4",1650,0.231436834493776,"yac aro"
"yac aro.5",2650,0.000381679389313105,"yac aro"
"yac aro.6",3150,0.00456621004566216,"yac aro"
"ava aro.1",150,0.113306808968001,"ava aro"
"ava aro.2",650,0.225174780982025,"ava aro"
"ava aro.3",1150,0.171428571428571,"ava aro"
"ava aro.4",1650,0.105168860663666,"ava aro"
"ava aro.5",2650,0.0919881305637983,"ava aro"
"ava aro.6",3150,0.14940910056608,"ava aro"
"ava aro.7",4650,0.0627094672689856,"ava aro"
"plu aro.1",150,0.0710867809309917,"plu aro"
"plu aro.2",650,0.161792962603779,"plu aro"
"plu aro.3",1150,0.163522773994321,"plu aro"
"plu aro.4",1650,0.0299683227742581,"plu aro"
"plu aro.5",2650,0,"plu aro"
"plu aro.6",3150,0.00640751380314986,"plu aro"
"plu aro.7",4650,0.0305343511450381,"plu aro"
"lot aro.1",150,0.484909456740442,"lot aro"
"lot aro.2",650,0.381708773339058,"lot aro"
"lot aro.3",1150,0.135426946565202,"lot aro"
"lot aro.4",1650,0,"lot aro"
"lot aro.5",2650,0,"lot aro"
"lot aro.6",3150,0,"lot aro"
"lot aro.7",4650,0,"lot aro"
"fin aro.1",150,0.270356030249981,"fin aro"
"fin aro.2",650,0.20309743127165,"fin aro"
"fin aro.3",1150,0.182085172203604,"fin aro"
"fin aro.4",1650,0.137653179965578,"fin aro"
"fin aro.5",2650,0.112170064390552,"fin aro"
"fin aro.6",3150,0.0186941290166707,"fin aro"
"fin aro.7",4650,0,"fin aro"
"vol aro.1",150,0.374740964082558,"vol aro"
"vol aro.2",650,0.332897020320511,"vol aro"
"vol aro.3",1150,0.321788260445917,"vol aro"
"vol aro.4",2650,0.252654976537417,"vol aro"
"vol aro.5",3150,0.291845493562231,"vol aro"
