"","times","sims","name"
"ngo aro.1",150,0.795204212999475,"ngo aro"
"ngo aro.2",650,0.59669391114822,"ngo aro"
"ngo aro.3",1150,0.834629024615294,"ngo aro"
"ngo aro.4",1650,0.795430349130071,"ngo aro"
"ngo aro.5",2650,0.236872258061242,"ngo aro"
"ngo aro.6",3150,0.102843596332325,"ngo aro"
"ngo aro.7",4650,0.077332678810875,"ngo aro"
"wai aro.1",150,0.00946699186138678,"wai aro"
"wai aro.2",650,0.00773529427424335,"wai aro"
"wai aro.3",1150,0,"wai aro"
"wai aro.4",1650,0.00296735905044498,"wai aro"
"wai aro.5",3150,0.0028089887640449,"wai aro"
"wai aro.6",4650,0,"wai aro"
"tuk aro.1",150,0.389701742564621,"tuk aro"
"tuk aro.2",650,0.0444429341343507,"tuk aro"
"tuk aro.3",1150,0.0577777777777777,"tuk aro"
"tuk aro.4",3150,0.0572916666666667,"tuk aro"
"yac aro.1",150,0.19094398881815,"yac aro"
"yac aro.2",650,0.111692527572343,"yac aro"
"yac aro.3",1150,0.131920449664133,"yac aro"
"yac aro.4",1650,0.011861858054069,"yac aro"
"yac aro.5",2650,0,"yac aro"
"yac aro.6",3150,0.00152671755725198,"yac aro"
"ava aro.1",150,0.441815192683201,"ava aro"
"ava aro.2",650,0.381043263155229,"ava aro"
"ava aro.3",1150,0.219979940806602,"ava aro"
"ava aro.4",1650,0.256225966580437,"ava aro"
"ava aro.5",2650,0.207253886010362,"ava aro"
"ava aro.6",3150,0.199466894832614,"ava aro"
"ava aro.7",4650,0.0865384615384615,"ava aro"
"plu aro.1",150,0.323089839706799,"plu aro"
"plu aro.2",650,0.487660998857018,"plu aro"
"plu aro.3",1150,0.511636168725959,"plu aro"
"plu aro.4",1650,0.307138795523628,"plu aro"
"plu aro.5",2650,0.0324074074074073,"plu aro"
"plu aro.6",3150,0.0491430911111544,"plu aro"
"plu aro.7",4650,0.0928571428571429,"plu aro"
"lot aro.1",150,0.109410332231692,"lot aro"
"lot aro.2",650,0.187281341248115,"lot aro"
"lot aro.3",1150,0.180157162466083,"lot aro"
"lot aro.4",1650,0,"lot aro"
"lot aro.5",2650,0,"lot aro"
"lot aro.6",3150,0,"lot aro"
"lot aro.7",4650,0,"lot aro"
"fin aro.1",150,0.168540769892267,"fin aro"
"fin aro.2",650,0.233192225279521,"fin aro"
"fin aro.3",1150,0.0889330174627918,"fin aro"
"fin aro.4",1650,0.0554540693966671,"fin aro"
"fin aro.5",2650,0.0483560677260444,"fin aro"
"fin aro.6",3150,0.0186941290166709,"fin aro"
"fin aro.7",4650,0.00476943049048939,"fin aro"
"vol aro.1",150,0.246533044412389,"vol aro"
"vol aro.2",650,0.184254277748505,"vol aro"
"vol aro.3",1150,0.0698786403515189,"vol aro"
"vol aro.4",2650,0.132702780166237,"vol aro"
"vol aro.5",3150,0.103260869565217,"vol aro"
"vol aro.6",4650,0.105016290188401,"vol aro"
"bon aro.1",150,0.0310115307084706,"bon aro"
"bon aro.2",650,0.0544039069462596,"bon aro"
"bon aro.3",1150,0.0130478689027429,"bon aro"
"bon aro.4",1650,0.0407024505169179,"bon aro"
"bon aro.5",2650,0.162903031034899,"bon aro"
"bon aro.6",3150,0.0652018269349461,"bon aro"
"tag aro.1",150,0.0373880761598151,"tag aro"
"tag aro.2",650,0.0761904761904765,"tag aro"
"tag aro.3",1150,0.443502614634717,"tag aro"
"tag aro.4",1650,0.12873864507173,"tag aro"
"tag aro.5",2650,0.0089625428335105,"tag aro"
"tag aro.6",3150,0.0241631481418807,"tag aro"
"tag aro.7",4650,0.056640146878825,"tag aro"
"lou aro.1",650,0.692865953699509,"lou aro"
"lou aro.2",1150,0.875049950479759,"lou aro"
"lou aro.3",1650,0.793495150745976,"lou aro"
"lou aro.4",2650,0.386718767877252,"lou aro"
"lou aro.5",3150,0.233679319222952,"lou aro"
"lou aro.6",4650,0.0533018617234072,"lou aro"
"lan aro.1",650,0.0205319403895223,"lan aro"
"lan aro.2",1150,0.0350244522564828,"lan aro"
"lan aro.3",1650,0.0184049079754601,"lan aro"
"lan aro.4",2650,0.00486223662884921,"lan aro"
"lan aro.5",3150,0.00213675213675202,"lan aro"
"lan aro.6",4650,0.00341361059785161,"lan aro"
"ano aro.1",1650,0.119193698218096,"ano aro"
"ano aro.2",2650,0.0268817204301075,"ano aro"
"ano aro.3",3150,0.0520833333333333,"ano aro"
"ano aro.4",4650,0,"ano aro"
"wai ngo.1",150,0,"wai ngo"
"wai ngo.2",650,0.00440570612469615,"wai ngo"
"wai ngo.3",1150,0.00321689245903334,"wai ngo"
"wai ngo.4",1650,0.00253915087482581,"wai ngo"
"wai ngo.5",2150,0.0041414099004079,"wai ngo"
"wai ngo.6",3150,0.0084269662921348,"wai ngo"
"wai ngo.7",4150,0.00936768149882894,"wai ngo"
"wai ngo.8",4650,0.0127659574468086,"wai ngo"
"tuk ngo.1",150,0.374048568647463,"tuk ngo"
"tuk ngo.2",650,0.0441739180469536,"tuk ngo"
"tuk ngo.3",1150,0.0444444444444446,"tuk ngo"
"tuk ngo.4",2150,0.0671773179105035,"tuk ngo"
"tuk ngo.5",3150,0.0463668081045264,"tuk ngo"
"tuk ngo.6",3650,0.0309278350515463,"tuk ngo"
"tuk ngo.7",4150,0.0439749942165409,"tuk ngo"
"yac ngo.1",150,0.132673767011243,"yac ngo"
