original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
340 Type,remove,uncertain type,remove,uncertain type
3cp 25-30um Araliaceae?,Araliaceae,removed notation,remove,uncertainty greater than family level
3cp zonorate,remove,no taxa found,remove,no taxa found
Acacia,Acacia,,Acacia,
Acalypha,Acalypha,,Acalypha,
Acalypha comp.,Acalypha,removed notation,Euphorbiaceae,aggregated up
ACANTHACEAE,Acanthaceae,,Acanthaceae,
Acronychia comp.,Acronychia,removed notation,Rutaceae,aggregated up
Acrostichum,Acrostichum,,Acrostichum,
Acryanthes,Achyranthes,spelling,Achyranthes,spelling
Agathis,Agathis,,Agathis,
Agathis australis,Agathis australis,,Agathis australis,
Albizzia,Albizia,spelling,Albizia,spelling
Aleurites,Aleurites,,Aleurites,
ALNUS (exotic marker),remove,exotic spike,remove,exotic spike
Alphitonia,Alphitonia,,Alphitonia,
Alternanthera,Alternanthera,,Alternanthera,
Altingia sp.,Liquidambar,synonym and removed notation,Liquidambar,synonym and aggregated up
Alyxia sp.,Alyxia,removed notation,Alyxia,aggregated up
Alyxia Type,Alyxia,removed notation,Apocynaceae,aggregated up
AMARANTHACEAE,Amaranthaceae,,Amaranthaceae,
Amaranthaceae,Amaranthaceae,,Amaranthaceae,
Ambrosia-type,Ambrosia,removed notation,Asteraceae,aggregated up
Anacardiaceae,Anacardiaceae,,Anacardiaceae,
Anacolosa,Anacolosa,,Anacolosa,
Annonaceae,Annonaceae,,Annonaceae,
Anthoceros,Anthoceros,,Anthoceros,
Antidesma sp.,Antidesma,removed notation,Antidesma,removed notation
Antidesma Type,Antidesma,removed notation,Phyllanthaceae,aggregated up
Antirhea,Antirhea,,Antirhea,
Apiacaeae,Apiaceae,spelling,Apiaceae,spelling
Apiaceae,Apiaceae,,Apiaceae,
Apiaceae undif.,Apiaceae,removed notation,Apiaceae,removed notation
Apium prostratum,Apium prostratum,,Apium prostratum,
APOCYNACEAE,Apocynaceae,,Apocynaceae,
Apocynaceae,Apocynaceae,,Apocynaceae,
Apocynaceae undif.,Apocynaceae,removed notation,Apocynaceae,removed notation
Apodytes clussifiolia,Apodytes clusiifolia,spelling,Apodytes clusiifolia,spelling
Araceae,Araceae,,Araceae,
Araceae undif.,Araceae,removed notation,Araceae,removed notation
ARALIACEAE,Araliaceae,,Araliaceae,
Araliaceae,Araliaceae,,Araliaceae,
Araliaceae undif.,Araliaceae,removed notation,Araliaceae,removed notation
Araliaceae undiff.,Araliaceae,removed notation,Araliaceae,removed notation
Araucaria,Araucaria,,Araucaria,
Ardisia,Ardisia,,Ardisia,
Arecaceae,Arecaceae,,Arecaceae,
Arecaceae incertae sedis,Arecaceae,removed notation,Arecaceae,removed notation
Arecaceae undiff.,Arecaceae,removed notation,Arecaceae,removed notation
Argophyllum Type,Argophyllum,removed notation,Argophyllaceae,aggregated up
Aristotelia,Aristotelia,,Aristotelia,
Arytera,Arytera,,Arytera,
Arytera </i>Type,Arytera,removed notation,Sapindaceae,aggregated up
Arytera Type,Arytera,removed notation,Sapindaceae,aggregated up
Ascarina,Ascarina,,Ascarina,
Ascarina lanceolata,Ascarina lucida,synonym,Ascarina lucida,synonym
Ascarina lucida,Ascarina lucida,,Ascarina lucida,
Aspleniaceae,Aspleniaceae,,Aspleniaceae,
Astelia,Astelia,,Astelia,
ASTERACEAE,Asteraceae,,Asteraceae,
Asteraceae,Asteraceae,,Asteraceae,
Asteraceae Type A,Asteraceae,removed notation,Asteraceae,removed notation
Asteraceae Type B,Asteraceae,removed notation,Asteraceae,removed notation
Asteraceae undif.,Asteraceae,removed notation,Asteraceae,removed notation
Asteroideae,Asteraceae,aggregated up,Asteraceae,aggregated up
Asteroideae undiff.,Asteraceae,aggregated up and removed notation,Asteraceae,removed notation
Austrobuxus </i>Type,Austrobuxus,removed notation,Picrodendraceae,aggregated up
Austrobuxus buxoides Type,Longetia buxoides,synonym and removed notation,Longetia,synonym and aggregated up
Austrobuxus Other,Austrobuxus,removed notation,Austrobuxus,removed notation
Avicennia marina,Avicennia marina,,Avicennia marina,
Baccaurea,Baccaurea,,Baccaurea,
Balanops,Balanops,,Balanops,
Barringtonia,Barringtonia,,Barringtonia,
