"","St. Louis Lac","Plum Swamp","Anouwe Swamp","Waitetoke","Volivoli","Bonatoa Bog","Lake Tagimaucia","Yacata","Finemui Swamp","Lotofoa Swamp","Ngofe Marsh","Avai’o’vuna Swamp","Lake Lanoto'o","Tukou Marsh","Rano Aroi"
"aro",3.75856787621962e-06,-1.68843425051197e-06,0,-9.15967427655737e-07,0,0,-2.2553027158365e-06,0,-4.74337644090366e-05,-7.95443451034372e-05,0,-1.91346475497316e-07,-1.35641008434979e-06,-3.32363938512693e-07,NA
"ngo",-0.000143354751829462,-8.23425524251204e-05,4.03717816067173e-05,1.96369598417629e-06,-3.56086333231868e-05,-1.07512930667833e-05,2.32245134877127e-06,-5.6792399207956e-05,-3.03141574005968e-05,-1.57289160196874e-05,NA,-8.34782490553418e-05,0,-4.27901376887542e-05,0
"wai",-1.80270122086795e-06,-2.47207035004535e-05,4.48958125646453e-06,NA,-2.40929251105929e-07,9.30289390126049e-07,2.61648957309898e-08,-6.06382172364189e-08,-1.36718525325027e-06,0,1.96369598417629e-06,-6.12122433210629e-07,1.56999673440691e-07,5.11464883790143e-06,-9.15967427655737e-07
"tuk",2.74963066234466e-06,-3.68167303425087e-05,2.05357210361136e-05,5.11464883790143e-06,-2.13227095903778e-05,2.42235623624424e-06,6.64009808911551e-06,-4.80513130790606e-05,-2.12754092946167e-05,-1.47374149412385e-05,-4.27901376887542e-05,-4.76057792052546e-05,-1.53863051484937e-06,NA,-3.32363938512693e-07
"yac",-2.31983299609733e-05,-3.33986786846858e-05,-1.5660049871949e-05,-6.06382172364189e-08,-5.29531571357315e-05,-2.22960449282867e-05,-3.61478012701856e-06,NA,-1.82672883552049e-05,-1.27332572507853e-05,-5.6792399207956e-05,-4.4303902514836e-05,0,-4.80513130790606e-05,0
"ava",-6.14805454583725e-05,-7.38181087180184e-05,-9.74293537759059e-06,-6.12122433210629e-07,-2.15249906330131e-05,-2.36804919227291e-05,9.45286425402978e-06,-4.4303902514836e-05,-3.09090817031245e-05,-1.38554700178773e-05,-8.34782490553418e-05,NA,0,-4.76057792052546e-05,-1.91346475497316e-07
"plu",-9.71941174927868e-05,NA,2.46745651899429e-05,-2.47207035004535e-05,-1.72004868615752e-05,-5.78963633448671e-06,4.38356160164052e-06,-3.33986786846858e-05,-2.6939191731306e-05,-2.15512737722537e-05,-8.23425524251204e-05,-7.38181087180184e-05,-6.81650958621927e-08,-3.68167303425087e-05,-1.68843425051197e-06
"lot",-2.89318720753598e-05,-2.15512737722537e-05,2.36518448438996e-07,0,-2.82791564030991e-06,-6.31265838008635e-06,1.36853886375625e-05,-1.27332572507853e-05,1.71069860093004e-05,NA,-1.57289160196874e-05,-1.38554700178773e-05,0,-1.47374149412385e-05,-7.95443451034372e-05
"fin",-2.66991937666286e-05,-2.6939191731306e-05,-1.8191220220034e-06,-1.36718525325027e-06,-1.36965964150688e-05,-1.24682886513316e-05,-2.88390366029099e-06,-1.82672883552049e-05,NA,1.71069860093004e-05,-3.03141574005968e-05,-3.09090817031245e-05,0,-2.12754092946167e-05,-4.74337644090366e-05
"vol",-9.0713054415058e-06,-1.72004868615752e-05,-1.178267206577e-05,-2.40929251105929e-07,NA,-2.33472232867178e-07,2.30767564114886e-06,-5.29531571357315e-05,-1.36965964150688e-05,-2.82791564030991e-06,-3.56086333231868e-05,-2.15249906330131e-05,0,-2.13227095903778e-05,0
"bon",9.67012859747296e-06,-5.78963633448671e-06,5.66819347949221e-06,9.30289390126049e-07,-2.33472232867178e-07,NA,4.79589173638816e-05,-2.22960449282867e-05,-1.24682886513316e-05,-6.31265838008635e-06,-1.07512930667833e-05,-2.36804919227291e-05,3.69141594138316e-07,2.42235623624424e-06,0
"tag",3.49726688735805e-05,4.38356160164052e-06,-2.45179098708334e-06,2.61648957309898e-08,2.30767564114886e-06,4.79589173638816e-05,NA,-3.61478012701856e-06,-2.88390366029099e-06,1.36853886375625e-05,2.32245134877127e-06,9.45286425402978e-06,8.68646649499987e-08,6.64009808911551e-06,-2.2553027158365e-06
"lou",NA,-9.71941174927868e-05,1.99807788859043e-05,-1.80270122086795e-06,-9.0713054415058e-06,9.67012859747296e-06,3.49726688735805e-05,-2.31983299609733e-05,-2.66991937666286e-05,-2.89318720753598e-05,-0.000143354751829462,-6.14805454583725e-05,3.68933827596055e-07,2.74963066234466e-06,3.75856787621962e-06
"lan",3.68933827596055e-07,-6.81650958621927e-08,0,1.56999673440691e-07,0,3.69141594138316e-07,8.68646649499987e-08,0,0,0,0,0,NA,-1.53863051484937e-06,-1.35641008434979e-06
"ano",1.99807788859043e-05,2.46745651899429e-05,NA,4.48958125646453e-06,-1.178267206577e-05,5.66819347949221e-06,-2.45179098708334e-06,-1.5660049871949e-05,-1.8191220220034e-06,2.36518448438996e-07,4.03717816067173e-05,-9.74293537759059e-06,0,2.05357210361136e-05,0
