"","Acacia","Acalypha","Acanthaceae","Achyranthes","Acrostichum","Agathis","Agathis australis","Albizia","Aleurites","Alphitonia","Alternanthera","Alyxia","Amaranthaceae","Amaranthus","Anacardiaceae","Anacolosa","Annonaceae","Anthoceros","Antidesma","Antirhea","Apiaceae","Apium prostratum","Apocynaceae","Apodytes clusiifolia","Araceae","Araliaceae","Araucaria","Ardisia","Arecaceae","Argophyllaceae","Aristotelia","Arytera","Ascarina","Ascarina lucida","Asparagaceae","Aspleniaceae","Asplenium","Astelia","Asteraceae","Austrobuxus","Avicennia marina","Baccaurea","Balanops","Barringtonia","Bignoniaceae","Bischofia","Blechnum","Boraginaceae","Brassicaceae","Burseraceae","Cal_yrs_BP","Callitriche","Callitris","Calophyllaceae","Calophyllum","Calycosia","Calystegia","Canarium","Canavalia","Cannabaceae","Caprifoliaceae","Cardiopteridaceae","Cardiospermum","Carex","Caryophyllaceae","Casuarina","Casuarinaceae","Celastraceae","Celtis","Cerberiopsis","Chrysobalanaceae","Claoxylon","Clematis","Clethraceae","Clusiaceae","Cocos","Cocos nucifera","Codia","Colocasia","Colocasia esculenta","Combretaceae","Combretum","Commelina","Commersonia","Convolvulaceae","Coprosma","Cordyline","Coriaria","Corynocarpus","Cucurbitaceae","Cunoniaceae","Cupaniopsis","Cuphea","Cyathea","Cyatheaceae","Cycadaceae","Cyclophyllum barbatum","Cyperaceae","Cyperus","Cyrtandra","Dacrycarpus","Dacrycarpus dacrydioides","Dacrydium","Dacrydium cupressinum","Decaisnina forsteriana","Decaspermum","Dennstaedtiaceae","Desmodium","Dianella","Dicksonia","Dicranopteris","Dicranopteris linearis","Dillenia","Dilleniaceae","Diospyros","Dodonaea","Dodonaea viscosa","Dolicholobium","Dracaena","Dysoxylum","Ebenaceae","Elaeocarpaceae","Elaeocarpus","Elattostachys","Eleocharis","Embelia","Endospermum","Ericaceae","Erythrina","Erythrina variegata","Escalloniaceae","Euodia","Euphorbia","Euphorbiaceae","Excoecaria","Exocarpos","Fabaceae","Fagraea","Ficus","Fimbristylis","Flagellaria","Flagellariaceae","Freycinetia","Garcinia","Gardenia","Garuga","Geniostoma","Geranium","Gesneriaceae","Glochidion","Goodeniaceae","Grewia","Group.1","Guettarda","Guioa","Gunneraceae","Gymnosporia","Gymnostoma","Haloragaceae","Haloragis","Hedycarya","Hemionitis","Heritiera","Hernandia","Hibbertia","Hibiscus","Histiopteris incisa","Homalanthus","Homalium","Huperzia varia","Hydrocharitaceae","Hymenophyllaceae","Hymenophyllum","Hypolepis","Ilex","Ipomoea","Ixora","Jasminum","Joinvillea","Juncus","Knightia","Lamiaceae","Lauraceae","Laurelia","Lecythidaceae","Leea","Lepidosperma","Leptospermum","Libocedrus","Liliaceae","Lindsaeaceae","Liquidambar","Loganiaceae","Longetia","Loranthaceae","Ludwigia","Lumnitzera","Lycopodiaceae","Lycopodiella","Lycopodiella cernua","Lycopodiella lateralis","Lycopodium","Lycopodium scariosum","Lycopodium volubile","Lygodium","Lythraceae","Lythrum","Macaranga","Macrolearia colensoi","Maesa","Mallotus","Malpighiaceae","Malvaceae","Marattiaceae","Maytenus","Melaleuca","Melastoma","Melastomataceae","Meliaceae","Melicope","Melicytus","Melochia","Menyanthaceae","Meryta","Metrosideros","Metroxylon","Metroxylon vitiense","Microsorum","Monimiaceae","Moraceae","Muehlenbeckia","Mussaenda","Myoporum","Myoporum rapense","Myriophyllum","Myristica","Myrsine","Myrtaceae","Neonauclea","Neopanax arboreus","Nepenthes","Nestegis","Neuburgia","Nothofagus","Nyctaginaceae","Nymphoides","Nymphoides indica","Olacaceae","Oleaceae","Onagraceae","Ophioglossum","Ophiorrhiza","Orchidaceae","Oxalis","Paesia","Palaquium","Pandanaceae","Pandanus","Pandanus tectorius","Paracryphiaceae","Parinari","Parsonsia","Pectinopitys ferruginea","Phaleria","Phormium","Phyllanthaceae","Phyllanthus","Phyllocladus","Phytolaccaceae","Picrodendraceae","Pinaceae","Pinus","Piper","Piperaceae","Pisonia","Pittosporaceae","Pittosporum","Planchonella","Plantaginaceae","Plantago","Plerandra","Poaceae","Podocarpaceae","Podocarpus","Polygala","Polygonaceae","Polygonum","Polypodiaceae","Polypodium","Polyscias","Portulacaceae","Potamogetonaceae","Primulaceae","Proteaceae","Prumnopitys taxifolia","Psidium guajava","Psilotum","Psychotria","Pteridaceae","Pteridium","Pteridium esculentum","Pteris","Pteris berteroana","Pteris tremula","Pyrrosia","Quintinia","Randia","Ranunculaceae","Ranunculus","Rauvolfia","Rhamnaceae","Rhizophora","Rhizophoraceae","Rhopalostylis sapida","Rhus","Rhynchospora","Rosaceae","Rubiaceae","Rumex","Rutaceae","Salacia","Salicaceae","Sapindaceae","Sapotaceae","Saurauia","Scaevola","Scaevola taccada","Schefflera","Schizaea","Schoenus","Selaginella","Selaginella kraussiana","Sigesbeckia orientalis","Simaroubaceae","Site","Sloanea","Smilacaceae","Solanaceae","Solanum","Sonchus","Sophora","Sophora tomentosa","Stachytarpheta","Stemonuraceae","Stenochlaena","Stenochlaena palustris","Streblus","Symplocos","Syzygium","Tapeinosperma","Terminalia","Thelypteris","Thymelaeaceae","Timonius","Trema","Trifolium","Triumfetta","Turrillia","Typha","Typha latifolia","Typha orientalis","Typhaceae","Ulex europaeus","Ulmaceae","Urena","Urticaceae","Verbenaceae","Veronica","Vigna","Vitaceae","Vitex lucens","Weinmannia","Xanthomyrtus"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767262459025081,0,0,0,0,0,0,0,0,0,7.19473927725884,0,0,0,0,0,0,0,0,0,0,0,252.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511382132285587,0,0,0,0,0,0,0,0,0,0,0,50.4573233936019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75302919491609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5831055529622,0,0,0,0,3.23232780276288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500830187187444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1269841269841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,2.38095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ngo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0.0421940928270042,0,0,0,0,9.17787158521412,0,0,0,0.150156306052375,0,0,0,0.049212775528565,0,0,0,0,0,0,0,0.0125786163522013,0,0.185629108609529,0,0,0.554047148749697,0,0,0,0,0,0,0,0,0,0.548491074463524,0,181.293333333333,0.896365425791536,0,0,0,0,0.123165752746033,0,0,0,0,0,0,11.6424916396146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975077519142482,0.314541123670652,1.54036368166091,0,0,0,0,0,5.79945519975307,0,0,0,0,0,0,0,0.039569169658544,0,1.14577119107496,0,0,0,0,0,0,0,0,0,0,0,0.0931666334261008,0,0,0,0,0,0,0,0,1.09365305403639,0,0,0,0,0,0,0,0.0421940928270042,0,0,0,0.3089380881912,0,0,0,0,0,0,0,0,0,0,0.281250158682776,0,0,0,0,"(-100,400]",0,0,0,0,0,0,1.3634890463662,0,0.0222222222222222,0,0,0,0,0.164236872399898,0,0,0,0,0.0276625172890733,0,0,0,0,0,0,0,0.126582278481013,0,0,0,0,0,0,0,0.159450855358175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874704423394947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25592844366387,0,0,0.278219162076069,0,0,0.0125786163522013,0,0,0,0.0322061191626409,0,0,0,0,0.0276625172890733,0,0,0,0.126334312797782,0,0,0,0,0,0,0.189648510706203,0,0,0.0127469725940089,0.393103028628068,0,0,0,0,0,0,0,0.180252225404192,0,0.0438784552496927,0,0,0.0596427131697719,0,0,0,3.63252030749062,0,0,0,0,0,0,0,0,0,0,0.55997299617241,0,0,0,0.29514428547473,0,0,0,0,0,0,0,0,0,0.0269905533063428,0,0,0,51.5329112994378,0,0,0.788477197592565,0,0,0,0,0.0511451426783235,0,0,0,0,0.367681236201154,0,0,0,0,0.0966183574879227,0,0,0,0,0,0,0,0,0,0.111691452632699,0,0,0.0644122383252818,0.927581978142488,0,"wai",0,0,0,0.0485490455698996,2.37465876533938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209352978521359,0,0,0,0,0.698269670653817,0,0.0843881856540084,0,0,0.278291914027637,0,0.149413412896864,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0.08110300081103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24330900243309,0,0,0,0,0,0,0,0,0,0.334825920618791,0,0,0,0,0,0,0,0,0,0,0,106.844444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491642084562439,0,0,0,0,0,0,0,0,0,0,0.643605824880985,0,0,0.203643497133159,0,0,0.16220600162206,0,0,0,0,0,0,0,0.528166807745542,0,0,0,37.1615478623132,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4846290727055,0,0,0,0,0.28130320101123,0,0,0,0,0,0,0,0,0,0,0,0,0.235502628160773,0,0,0,0.120772946859903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.139762403913347,0.161397654023023,0,0,0,0,0,4.09379976753489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460786873830352,0,0,0,5.37841939879847,0,0,0,0,0,0,0,0,0,0,0,0,0.08110300081103,1.67995545676598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371860758237947,0,0,0,0,0,0,0,0,0,1.06828546947498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3865232691645,0,0,0,0,0,0,0,0.120772946859903,0,0,0,0,0.510988580775599,0,0,0,0,0,0,0,0.08110300081103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753346796724034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tuk",0,0,0,0,0.0698812019566737,0,0.112233445566779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,6.48379052369077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.429160910673,0,0,0,0,0,0,0,0,0,5.41452125082976,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997506234413965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96609196433377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0522076104702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8366314429753,0,0,0,0,0,0.359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15827338129496,0,0,19.6289850912288,0,0,0,0,0,0,0,0,11.6785374692764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0906725990778,0,0,0,0,0,1.56353720016506,0,0,0,0,0,0,0,0,0,0.124688279301746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,1.35721846462979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0.178009883198562,0.412735849056604,0,0,0.236972147349506,0.294811320754717,0,0,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0.473944294699012,0,0,0,0,0,0.0589622641509434,0,0,0,0.354896675651393,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0.119047619047619,0.117924528301887,0,0,0,0.119047619047619,0,0,0.236972147349506,0,0,0,0,0,0,0,0,0,9.83490566037736,0,0,0.295934411500449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4391284815813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295934411500449,0,0,0,0,0.117924528301887,0,0,0,0,0,8.32547169811321,0,0.53515274034142,0,0,0.0589622641509434,0,0,0,0,0.17688679245283,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0.297057502246181,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0.0589622641509434,0,0.117924528301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6329739442947,0,0,0,0,0.119047619047619,0,0.17688679245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117924528301887,0,0,0,0,0,0,0,0.0589622641509434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2577493261456,0,0,0,0,0,0,0,0,0.473944294699012,0,0,0,0,0,0,0,0.0589622641509434,0,0,0,0,0,0,5.38578167115903,0,0,0,0,0.475067385444744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0,0.472821203953279,0,0,0,0,0,0,0,0.17688679245283,0.0589622641509434,0,0,0,0,0,0,0,0,0,0,"ava",0,0,0.119047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0.0589622641509434,0,0,0,0.95125786163522,0,0,0,0,0,0,0,0,0,0.0589622641509434,0.17688679245283,0,0,0.0589622641509434,0,0,0,0
"7",0,0,0,0,0,0.684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23694388302518,0,0,0,0.0910746812386157,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8659580307907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,2.51016792674102,0,0,27.9175087955685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69231728921825,0,0,0,0,0,0,0,0,0,0,3.00920727599371,0,0,0,0,0,0.273224043715847,0,0,0,0,0,0,0,3.78147066896225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14394790029194,0,0,0,0,0,0.546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36612021857923,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,14.6493000973127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,4.82543286971331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68710379411486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09329170214779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95136720597975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51546977008232,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34648500331157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59248746333617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6050714353297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lot",0,0,0,0,0,0,0,0,0,0,21.3832907559845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,8.59303449816162,0,0,0,0,0,0,0,0.400300797456374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64015091989253,0,0,0,0,0,0,0,0,0,0,0,0,0,206.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363881156414315,0.377426466173153,0,0,0,0,0,0,0,0,0,0,17.7147078154946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64258445801477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2717412552877,0,0,0,0,0,0,0,0,0,0,0,0.310508252982513,0,0,0,0,0,0,0,0,0,0,3.5408835866427,0,0.757204336220515,0,0,0,0,0,"(-100,400]",0,0,0,0.148397224199899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340488796359109,0,0,0,0,0.743357219532101,0,0,0,0,0,0.257835790830715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82976940589555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5334560357693,0,0,0,0,9.49068671854702,0,0,0,0,0.503235288230871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fin",0,0,0,0,0,0,0,0.259915111724511,0,0,0,0,0,0,0,0,0,0,0,19.9143678236661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0.510204081632653,0,0,0,0,0,0,7.2004316007889,0,1.6301562803603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70923879393403,0,0,0,0,0,0,0,0,0,14.5500911627045,0,0,0,0,0,0,0,3.62930505930358,0,0,0,86.3333333333333,0,0,0,0,0,0,0,0,0,0.143061516452074,0,0,0,0,0.286123032904149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79373620100697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742930737486648,0,0,0.457424349049965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83297794476678,0,0,0,0,0,0,0,0,0,0,0.286123032904149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170068027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14367816091954,0,0,0,0,0,0,0,0,2.59840135551039,0,0,0,0,0,0,0,0,0,0,17.0849026305801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1632587621403,0,1.1444921316166,0,0,0,1.86226629174683,0,0,0,0,0,0,0,0,0,0,0,1.05667692561707,0,0,0,0,0,0,0,5.0071530758226,0,0,0,0,0,0,0,0,0,0,0,1.13646316895857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86083567658231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
