,aro,ngo,wai,tuk,yac,ava,plu,lot,fin,vol,bon,tag,lou,lan,ano
aro,NA,-0.00014381,-1.40E-06,-7.06E-05,-0.00014152,-7.79E-05,-0.00010486,-0.000107325,-7.92E-05,-4.60E-05,7.19E-05,-3.67E-05,-0.000145886,-9.08E-06,-3.74E-05
ngo,-0.00014381,NA,2.52E-06,-4.68E-05,-6.17E-05,-7.89E-05,-8.24E-05,-5.12E-05,-5.99E-05,-4.92E-05,-7.42E-06,-3.32E-05,-0.000133341,-4.92E-06,1.96E-05
wai,-1.40E-06,2.52E-06,NA,5.58E-06,-1.08E-06,-7.38E-07,-2.13E-05,-5.42E-08,-1.49E-06,-8.89E-07,2.81E-06,2.06E-06,4.21E-06,7.48E-07,-6.39E-06
tuk,-7.06E-05,-4.68E-05,5.58E-06,NA,-5.02E-05,-4.59E-05,-3.56E-05,-1.65E-05,-2.11E-05,-1.94E-05,6.39E-06,1.11E-05,9.34E-06,1.13E-05,1.91E-05
yac,-0.00014152,-6.17E-05,-1.08E-06,-5.02E-05,NA,-5.70E-05,-3.29E-05,2.85E-05,-6.23E-05,-5.15E-05,-2.37E-05,-1.24E-05,-2.32E-05,-1.01E-05,-5.14E-05
ava,-7.79E-05,-7.89E-05,-7.38E-07,-4.59E-05,-5.70E-05,NA,-4.94E-05,-3.54E-05,-5.43E-05,-6.93E-05,-2.14E-05,-4.78E-06,-5.19E-05,-1.15E-05,-4.41E-05
plu,-0.00010486,-8.24E-05,-2.13E-05,-3.56E-05,-3.29E-05,-4.94E-05,NA,-2.09E-05,-3.51E-05,-7.11E-07,-2.84E-06,5.08E-05,-0.000103237,3.66E-05,1.96E-05
lot,-0.000107325,-5.12E-05,-5.42E-08,-1.65E-05,2.85E-05,-3.54E-05,-2.09E-05,NA,1.44E-05,8.74E-06,-1.60E-05,-3.56E-06,-3.95E-05,4.84E-06,1.25E-05
fin,-7.92E-05,-5.99E-05,-1.49E-06,-2.11E-05,-6.23E-05,-5.43E-05,-3.51E-05,1.44E-05,NA,-5.64E-05,-2.27E-05,-1.52E-05,-3.71E-05,-1.75E-05,-1.56E-05
vol,-4.60E-05,-4.92E-05,-8.89E-07,-1.94E-05,-5.15E-05,-6.93E-05,-7.11E-07,8.74E-06,-5.64E-05,NA,-3.54E-05,7.05E-06,-9.76E-07,-4.53E-05,-7.91E-05
bon,7.19E-05,-7.42E-06,2.81E-06,6.39E-06,-2.37E-05,-2.14E-05,-2.84E-06,-1.60E-05,-2.27E-05,-3.54E-05,NA,4.11E-05,1.85E-05,-1.28E-05,-4.12E-05
tag,-3.67E-05,-3.32E-05,2.06E-06,1.11E-05,-1.24E-05,-4.78E-06,5.08E-05,-3.56E-06,-1.52E-05,7.05E-06,4.11E-05,NA,-7.43E-06,6.26E-05,-1.43E-05
lou,-0.000145886,-0.000133341,4.21E-06,9.34E-06,-2.32E-05,-5.19E-05,-0.000103237,-3.95E-05,-3.71E-05,-9.76E-07,1.85E-05,-7.43E-06,NA,2.87E-05,1.46E-05
lan,-9.08E-06,-4.92E-06,7.48E-07,1.13E-05,-1.01E-05,-1.15E-05,3.66E-05,4.84E-06,-1.75E-05,-4.53E-05,-1.28E-05,6.26E-05,2.87E-05,NA,-1.17E-05
ano,-3.74E-05,1.96E-05,-6.39E-06,1.91E-05,-5.14E-05,-4.41E-05,1.96E-05,1.25E-05,-1.56E-05,-7.91E-05,-4.12E-05,-1.43E-05,1.46E-05,-1.17E-05,NA
