"","times","sims","name"
"ngo aro.1",150,0,"ngo aro"
"ngo aro.2",650,0,"ngo aro"
"ngo aro.3",1150,0,"ngo aro"
"ngo aro.4",1650,0,"ngo aro"
"ngo aro.5",2650,0,"ngo aro"
"ngo aro.6",3150,0,"ngo aro"
"ngo aro.7",4650,0,"ngo aro"
"wai aro.1",150,0.00392652037388985,"wai aro"
"wai aro.2",650,0.00503649689459518,"wai aro"
"wai aro.3",1150,0,"wai aro"
"wai aro.4",1650,0,"wai aro"
"wai aro.5",3150,0,"wai aro"
"wai aro.6",4650,0,"wai aro"
"tuk aro.1",150,0.00153256704980853,"tuk aro"
"tuk aro.2",650,0,"tuk aro"
"tuk aro.3",1150,0,"tuk aro"
"tuk aro.4",3150,0,"tuk aro"
"yac aro.1",150,0,"yac aro"
"yac aro.2",650,0,"yac aro"
"yac aro.3",1150,0,"yac aro"
"yac aro.4",1650,0,"yac aro"
"yac aro.5",2650,0,"yac aro"
"yac aro.6",3150,0,"yac aro"
"ava aro.1",150,0.00475067385444727,"ava aro"
"ava aro.2",650,0.00503649689459518,"ava aro"
"ava aro.3",1150,0.0150133333333333,"ava aro"
"ava aro.4",1650,0.00119904076738608,"ava aro"
"ava aro.5",2650,0.00970873786407767,"ava aro"
"ava aro.6",3150,0.0173867160856079,"ava aro"
"ava aro.7",4650,0,"ava aro"
"plu aro.1",150,0.00767262459025075,"plu aro"
"plu aro.2",650,0.00717849853582597,"plu aro"
"plu aro.3",1150,0.00218579234972682,"plu aro"
"plu aro.4",1650,0.00200002741245864,"plu aro"
"plu aro.5",2650,0,"plu aro"
"plu aro.6",3150,0.00130718954248366,"plu aro"
"plu aro.7",4650,0,"plu aro"
"lot aro.1",150,0.355831055529622,"lot aro"
"lot aro.2",650,0.326259205912263,"lot aro"
"lot aro.3",1150,0.0912242854509804,"lot aro"
"lot aro.4",1650,0,"lot aro"
"lot aro.5",2650,0,"lot aro"
"lot aro.6",3150,0,"lot aro"
"lot aro.7",4650,0,"lot aro"
"fin aro.1",150,0.214179898891125,"fin aro"
"fin aro.2",650,0.156804935386507,"fin aro"
"fin aro.3",1150,0.133444568794808,"fin aro"
"fin aro.4",1650,0.102097802901466,"fin aro"
"fin aro.5",2650,0.0881746651642552,"fin aro"
"fin aro.6",3150,0,"fin aro"
"fin aro.7",4650,0,"fin aro"
"vol aro.1",150,0,"vol aro"
"vol aro.2",650,0,"vol aro"
"vol aro.3",1150,0,"vol aro"
"vol aro.4",2650,0,"vol aro"
"vol aro.5",3150,0,"vol aro"
"vol aro.6",4650,0,"vol aro"
"bon aro.1",150,0,"bon aro"
"bon aro.2",650,0,"bon aro"
"bon aro.3",1150,0,"bon aro"
"bon aro.4",1650,0,"bon aro"
"bon aro.5",2650,0,"bon aro"
"bon aro.6",3150,0,"bon aro"
"tag aro.1",150,0.018042421726692,"tag aro"
"tag aro.2",650,0,"tag aro"
"tag aro.3",1150,0,"tag aro"
"tag aro.4",1650,0,"tag aro"
"tag aro.5",2650,0,"tag aro"
"tag aro.6",3150,0,"tag aro"
"tag aro.7",4650,0,"tag aro"
"lou aro.1",650,0,"lou aro"
"lou aro.2",1150,0.00240192153722973,"lou aro"
"lou aro.3",1650,0.00120192307692324,"lou aro"
"lou aro.4",2650,0.011736189593785,"lou aro"
"lou aro.5",3150,0.00906479118184311,"lou aro"
"lou aro.6",4650,0.0140808371375565,"lou aro"
