"","Var1","Var2"
"2","ngo","aro"
"3","wai","aro"
"4","tuk","aro"
"5","yac","aro"
"6","ava","aro"
"7","plu","aro"
"8","lot","aro"
"9","fin","aro"
"10","vol","aro"
"11","bon","aro"
"12","tag","aro"
"13","lou","aro"
"14","lan","aro"
"15","ano","aro"
"18","wai","ngo"
"19","tuk","ngo"
"20","yac","ngo"
"21","ava","ngo"
"22","plu","ngo"
"23","lot","ngo"
"24","fin","ngo"
"25","vol","ngo"
"26","bon","ngo"
"27","tag","ngo"
"28","lou","ngo"
"29","lan","ngo"
"30","ano","ngo"
"34","tuk","wai"
"35","yac","wai"
"36","ava","wai"
"37","plu","wai"
"38","lot","wai"
"39","fin","wai"
"40","vol","wai"
"41","bon","wai"
"42","tag","wai"
"43","lou","wai"
"44","lan","wai"
"45","ano","wai"
"50","yac","tuk"
"51","ava","tuk"
"52","plu","tuk"
"53","lot","tuk"
"54","fin","tuk"
"55","vol","tuk"
"56","bon","tuk"
"57","tag","tuk"
"58","lou","tuk"
"59","lan","tuk"
"60","ano","tuk"
"66","ava","yac"
"67","plu","yac"
"68","lot","yac"
"69","fin","yac"
"70","vol","yac"
"71","bon","yac"
"72","tag","yac"
"73","lou","yac"
"74","lan","yac"
"75","ano","yac"
"82","plu","ava"
"83","lot","ava"
"84","fin","ava"
"85","vol","ava"
"86","bon","ava"
"87","tag","ava"
"88","lou","ava"
"89","lan","ava"
"90","ano","ava"
"98","lot","plu"
"99","fin","plu"
"100","vol","plu"
"101","bon","plu"
"102","tag","plu"
"103","lou","plu"
"104","lan","plu"
"105","ano","plu"
"114","fin","lot"
"115","vol","lot"
"116","bon","lot"
"117","tag","lot"
"118","lou","lot"
"119","lan","lot"
"120","ano","lot"
"130","vol","fin"
"131","bon","fin"
"132","tag","fin"
"133","lou","fin"
"134","lan","fin"
"135","ano","fin"
"146","bon","vol"
"147","tag","vol"
"148","lou","vol"
"149","lan","vol"
"150","ano","vol"
"162","tag","bon"
"163","lou","bon"
"164","lan","bon"
"165","ano","bon"
"178","lou","tag"
"179","lan","tag"
"180","ano","tag"
"194","lan","lou"
"195","ano","lou"
"210","ano","lan"
