"","Group.1","Rarefied_diversity","Cal_yrs_BP","Site"
"1","ano",6.19498544567156,6248,NA
"2","ava",18.0025386102551,2211.5,NA
"3","bon",27.4051347486623,1963.42857142857,NA
"4","lan",21.6082408421123,3927.6875,NA
"5","lou",16.1701897093686,3419.85294117647,NA
"6","ngo",10.6457125267098,4013.29508196721,NA
"7","plu",7.12223824996041,7166.38636363636,NA
"8","tag",37.2466138559892,7392.16393442623,NA
"9","tuk",18.3749249753527,2159.63333333333,NA
"10","vol",17.7063318475906,4044.68292682927,NA
"11","wai",24.8035399745428,1151.17142857143,NA
"12","yac",8.81486424385664,2769.41935483871,NA
