site,mean_interval_age,n()
anou,1650,2
anou,2150,1
anou,2650,1
anou,3150,1
anou,3650,2
anou,4150,1
anou,4650,1
aroi,150,2
aroi,650,2
aroi,1150,1
aroi,1650,2
aroi,2650,2
aroi,3150,1
aroi,4650,1
avai,150,2
avai,650,1
avai,1150,1
avai,1650,2
avai,2150,1
avai,2650,1
avai,3150,1
avai,4150,2
avai,4650,1
bona,150,3
bona,650,2
bona,1150,3
bona,1650,2
bona,2150,3
bona,2650,2
bona,3150,2
bona,3650,3
bona,4150,1
fine,150,3
fine,650,3
fine,1150,3
fine,1650,3
fine,2150,2
fine,2650,1
fine,3150,2
fine,3650,2
fine,4150,2
fine,4650,2
lano,650,6
lano,1150,2
lano,1650,1
lano,2650,3
lano,3150,2
lano,3650,1
lano,4150,5
lano,4650,4
loto,150,1
loto,650,2
loto,1150,2
loto,1650,1
loto,2150,2
loto,2650,1
loto,3150,1
loto,3650,3
loto,4150,1
loto,4650,2
loui,650,1
loui,1150,2
loui,1650,2
loui,2150,4
loui,2650,4
loui,3150,3
loui,3650,6
loui,4150,3
loui,4650,4
ngof,150,1
ngof,650,4
ngof,1150,4
ngof,1650,4
ngof,2150,5
ngof,2650,3
ngof,3150,4
ngof,3650,4
ngof,4150,4
ngof,4650,4
plum,150,2
plum,650,4
plum,1150,3
plum,1650,2
plum,2150,3
plum,2650,1
plum,3150,3
plum,3650,2
plum,4150,2
plum,4650,2
tagi,150,3
tagi,650,1
tagi,1150,3
tagi,1650,3
tagi,2150,2
tagi,2650,2
tagi,3150,3
tagi,3650,2
tagi,4150,3
tagi,4650,2
tuko,150,9
tuko,650,8
tuko,1150,1
tuko,2150,3
tuko,3150,1
tuko,3650,1
tuko,4150,1
voli,150,3
voli,650,2
voli,1150,1
voli,2150,1
voli,2650,2
voli,3150,1
voli,3650,3
voli,4150,3
voli,4650,7
wait,150,15
wait,650,5
wait,1150,1
wait,1650,1
wait,2150,1
wait,3150,1
wait,4150,1
wait,4650,1
yaca,150,2
yaca,650,3
yaca,1150,4
yaca,1650,3
yaca,2150,4
yaca,2650,4
yaca,3150,2
yaca,3650,1
yaca,4150,2
