,times,sims,name,group,type,order
7,4650,0.030769007,ngo aro,neither,Standardisation 1,neither (Stand. 1)
13,4650,0,wai aro,neither,Standardisation 1,neither (Stand. 1)
30,4650,0.060377133,ava aro,neither,Standardisation 1,neither (Stand. 1)
37,4650,0.027777778,plu aro,neither,Standardisation 1,neither (Stand. 1)
44,4650,0,lot aro,neither,Standardisation 1,neither (Stand. 1)
51,4650,0,fin aro,neither,Standardisation 1,neither (Stand. 1)
57,4650,0.082321797,vol aro,neither,Standardisation 1,neither (Stand. 1)
70,4650,0.014080837,tag aro,neither,Standardisation 1,neither (Stand. 1)
76,4650,0.018206697,lou aro,neither,Standardisation 1,neither (Stand. 1)
82,4650,0.001131222,lan aro,neither,Standardisation 1,neither (Stand. 1)
86,4650,0.068965517,ano aro,neither,Standardisation 1,neither (Stand. 1)
93,4150,0.009367681,wai ngo,neither,Standardisation 1,neither (Stand. 1)
94,4650,0.012765957,wai ngo,neither,Standardisation 1,neither (Stand. 1)
100,3650,0.030927835,tuk ngo,neither,Standardisation 1,neither (Stand. 1)
101,4150,0.043500522,tuk ngo,neither,Standardisation 1,neither (Stand. 1)
109,3650,0.00416644,yac ngo,neither,Standardisation 1,neither (Stand. 1)
110,4150,0.008930149,yac ngo,neither,Standardisation 1,neither (Stand. 1)
118,4150,0.210156639,ava ngo,neither,Standardisation 1,neither (Stand. 1)
119,4650,0.165436337,ava ngo,neither,Standardisation 1,neither (Stand. 1)
127,3650,0.175226372,plu ngo,neither,Standardisation 1,neither (Stand. 1)
128,4150,0.063071818,plu ngo,neither,Standardisation 1,neither (Stand. 1)
129,4650,0.152954308,plu ngo,neither,Standardisation 1,neither (Stand. 1)
137,3650,0.006872219,lot ngo,neither,Standardisation 1,neither (Stand. 1)
138,4150,0.003333333,lot ngo,neither,Standardisation 1,neither (Stand. 1)
139,4650,0.099727488,lot ngo,neither,Standardisation 1,neither (Stand. 1)
147,3650,0.076096998,fin ngo,neither,Standardisation 1,neither (Stand. 1)
148,4150,0.028992,fin ngo,neither,Standardisation 1,neither (Stand. 1)
149,4650,0.158014491,fin ngo,neither,Standardisation 1,neither (Stand. 1)
156,3650,0.046989593,vol ngo,neither,Standardisation 1,neither (Stand. 1)
157,4150,0.035302868,vol ngo,neither,Standardisation 1,neither (Stand. 1)
158,4650,0.090446042,vol ngo,neither,Standardisation 1,neither (Stand. 1)
166,3650,0.07528354,bon ngo,neither,Standardisation 1,neither (Stand. 1)
167,4150,0.055076105,bon ngo,neither,Standardisation 1,neither (Stand. 1)
175,3650,0.035122463,tag ngo,neither,Standardisation 1,neither (Stand. 1)
176,4150,0.056613747,tag ngo,neither,Standardisation 1,neither (Stand. 1)
177,4650,0.107088653,tag ngo,neither,Standardisation 1,neither (Stand. 1)
184,3650,0.208642652,lou ngo,neither,Standardisation 1,neither (Stand. 1)
185,4150,0.22167366,lou ngo,neither,Standardisation 1,neither (Stand. 1)
186,4650,0.27778358,lou ngo,neither,Standardisation 1,neither (Stand. 1)
192,3650,0.112742611,lan ngo,neither,Standardisation 1,neither (Stand. 1)
193,4150,0.116473855,lan ngo,neither,Standardisation 1,neither (Stand. 1)
194,4650,0.098524124,lan ngo,neither,Standardisation 1,neither (Stand. 1)
199,3650,0.159385042,ano ngo,neither,Standardisation 1,neither (Stand. 1)
200,4150,0.258782217,ano ngo,neither,Standardisation 1,neither (Stand. 1)
201,4650,0.095569797,ano ngo,neither,Standardisation 1,neither (Stand. 1)
207,4150,0.014051522,tuk wai,neither,Standardisation 1,neither (Stand. 1)
214,4150,0,yac wai,neither,Standardisation 1,neither (Stand. 1)
221,4150,0.004098361,ava wai,neither,Standardisation 1,neither (Stand. 1)
222,4650,0.004255319,ava wai,neither,Standardisation 1,neither (Stand. 1)
229,4150,0.011709602,plu wai,neither,Standardisation 1,neither (Stand. 1)
230,4650,0.021276596,plu wai,neither,Standardisation 1,neither (Stand. 1)
237,4150,0,lot wai,neither,Standardisation 1,neither (Stand. 1)
238,4650,0,lot wai,neither,Standardisation 1,neither (Stand. 1)
245,4150,0,fin wai,neither,Standardisation 1,neither (Stand. 1)
246,4650,0,fin wai,neither,Standardisation 1,neither (Stand. 1)
252,4150,0,vol wai,neither,Standardisation 1,neither (Stand. 1)
253,4650,0.000481,vol wai,neither,Standardisation 1,neither (Stand. 1)
260,4150,0.011709602,bon wai,neither,Standardisation 1,neither (Stand. 1)
267,4150,0.013375881,tag wai,neither,Standardisation 1,neither (Stand. 1)
268,4650,0.007024597,tag wai,neither,Standardisation 1,neither (Stand. 1)
274,4150,0.014051522,lou wai,neither,Standardisation 1,neither (Stand. 1)
275,4650,0.031957034,lou wai,neither,Standardisation 1,neither (Stand. 1)
280,4150,0.008267997,lan wai,neither,Standardisation 1,neither (Stand. 1)
281,4650,0.002262443,lan wai,neither,Standardisation 1,neither (Stand. 1)
285,4150,0.016393443,ano wai,neither,Standardisation 1,neither (Stand. 1)
286,4650,0.127659574,ano wai,neither,Standardisation 1,neither (Stand. 1)
292,3650,0.005154639,yac tuk,neither,Standardisation 1,neither (Stand. 1)
293,4150,0.005868545,yac tuk,neither,Standardisation 1,neither (Stand. 1)
299,4150,0.056910932,ava tuk,neither,Standardisation 1,neither (Stand. 1)
305,3650,0.020136815,plu tuk,neither,Standardisation 1,neither (Stand. 1)
306,4150,0.040540541,plu tuk,neither,Standardisation 1,neither (Stand. 1)
312,3650,0,lot tuk,neither,Standardisation 1,neither (Stand. 1)
313,4150,0,lot tuk,neither,Standardisation 1,neither (Stand. 1)
319,3650,0,fin tuk,neither,Standardisation 1,neither (Stand. 1)
320,4150,0,fin tuk,neither,Standardisation 1,neither (Stand. 1)
326,3650,0.068842282,vol tuk,neither,Standardisation 1,neither (Stand. 1)
327,4150,0.026960735,vol tuk,neither,Standardisation 1,neither (Stand. 1)
333,3650,0.058927305,bon tuk,neither,Standardisation 1,neither (Stand. 1)
334,4150,0.045802194,bon tuk,neither,Standardisation 1,neither (Stand. 1)
340,3650,0.03637363,tag tuk,neither,Standardisation 1,neither (Stand. 1)
341,4150,0.06939993,tag tuk,neither,Standardisation 1,neither (Stand. 1)
346,3650,0.056701031,lou tuk,neither,Standardisation 1,neither (Stand. 1)
347,4150,0.075736862,lou tuk,neither,Standardisation 1,neither (Stand. 1)
351,3650,0.025773196,lan tuk,neither,Standardisation 1,neither (Stand. 1)
352,4150,0.038586962,lan tuk,neither,Standardisation 1,neither (Stand. 1)
355,3650,0.112034246,ano tuk,neither,Standardisation 1,neither (Stand. 1)
356,4150,0.1,ano tuk,neither,Standardisation 1,neither (Stand. 1)
364,4150,0.007042254,ava yac,neither,Standardisation 1,neither (Stand. 1)
372,3650,0.037418489,plu yac,neither,Standardisation 1,neither (Stand. 1)
373,4150,0,plu yac,neither,Standardisation 1,neither (Stand. 1)
381,3650,0,lot yac,neither,Standardisation 1,neither (Stand. 1)
382,4150,0,lot yac,neither,Standardisation 1,neither (Stand. 1)
390,3650,0.005037783,fin yac,neither,Standardisation 1,neither (Stand. 1)
391,4150,0.008925647,fin yac,neither,Standardisation 1,neither (Stand. 1)
398,3650,0.387810545,vol yac,neither,Standardisation 1,neither (Stand. 1)
399,4150,0.338779216,vol yac,neither,Standardisation 1,neither (Stand. 1)
407,3650,0.012765008,bon yac,neither,Standardisation 1,neither (Stand. 1)
408,4150,0.004813116,bon yac,neither,Standardisation 1,neither (Stand. 1)
416,3650,0.002518892,tag yac,neither,Standardisation 1,neither (Stand. 1)
417,4150,0.005098474,tag yac,neither,Standardisation 1,neither (Stand. 1)
424,3650,0.015505286,lou yac,neither,Standardisation 1,neither (Stand. 1)
425,4150,0.01687261,lou yac,neither,Standardisation 1,neither (Stand. 1)
431,3650,0.012396694,lan yac,neither,Standardisation 1,neither (Stand. 1)
432,4150,0.029623866,lan yac,neither,Standardisation 1,neither (Stand. 1)
437,3650,0.019084576,ano yac,neither,Standardisation 1,neither (Stand. 1)
438,4150,0.002347418,ano yac,neither,Standardisation 1,neither (Stand. 1)
446,4150,0.035223748,plu ava,neither,Standardisation 1,neither (Stand. 1)
447,4650,0.064814815,plu ava,neither,Standardisation 1,neither (Stand. 1)
455,4150,0.13783434,lot ava,neither,Standardisation 1,neither (Stand. 1)
456,4650,0.055584239,lot ava,neither,Standardisation 1,neither (Stand. 1)
464,4150,0.033408692,fin ava,neither,Standardisation 1,neither (Stand. 1)
465,4650,0.088605373,fin ava,neither,Standardisation 1,neither (Stand. 1)
472,4150,0.095087827,vol ava,neither,Standardisation 1,neither (Stand. 1)
473,4650,0.092270653,vol ava,neither,Standardisation 1,neither (Stand. 1)
481,4150,0.081615909,bon ava,neither,Standardisation 1,neither (Stand. 1)
489,4150,0.123776297,tag ava,neither,Standardisation 1,neither (Stand. 1)
490,4650,0.17705925,tag ava,neither,Standardisation 1,neither (Stand. 1)
497,4150,0.139601202,lou ava,neither,Standardisation 1,neither (Stand. 1)
498,4650,0.05991414,lou ava,neither,Standardisation 1,neither (Stand. 1)
504,4150,0.115409069,lan ava,neither,Standardisation 1,neither (Stand. 1)
505,4650,0.157093889,lan ava,neither,Standardisation 1,neither (Stand. 1)
510,4150,0.049467932,ano ava,neither,Standardisation 1,neither (Stand. 1)
511,4650,0.037037037,ano ava,neither,Standardisation 1,neither (Stand. 1)
519,3650,0,lot plu,neither,Standardisation 1,neither (Stand. 1)
520,4150,0,lot plu,neither,Standardisation 1,neither (Stand. 1)
521,4650,0,lot plu,neither,Standardisation 1,neither (Stand. 1)
529,3650,0.034974805,fin plu,neither,Standardisation 1,neither (Stand. 1)
530,4150,0,fin plu,neither,Standardisation 1,neither (Stand. 1)
531,4650,0.00476943,fin plu,neither,Standardisation 1,neither (Stand. 1)
538,3650,0.064055867,vol plu,neither,Standardisation 1,neither (Stand. 1)
539,4150,0.021802723,vol plu,neither,Standardisation 1,neither (Stand. 1)
540,4650,0.124960253,vol plu,neither,Standardisation 1,neither (Stand. 1)
548,3650,0.057708773,bon plu,neither,Standardisation 1,neither (Stand. 1)
549,4150,0.076456685,bon plu,neither,Standardisation 1,neither (Stand. 1)
557,3650,0.015626608,tag plu,neither,Standardisation 1,neither (Stand. 1)
558,4150,0.048252525,tag plu,neither,Standardisation 1,neither (Stand. 1)
559,4650,0.130676555,tag plu,neither,Standardisation 1,neither (Stand. 1)
566,3650,0.21679588,lou plu,neither,Standardisation 1,neither (Stand. 1)
567,4150,0.198928552,lou plu,neither,Standardisation 1,neither (Stand. 1)
568,4650,0.325428613,lou plu,neither,Standardisation 1,neither (Stand. 1)
574,3650,0.012396694,lan plu,neither,Standardisation 1,neither (Stand. 1)
575,4150,0.023364843,lan plu,neither,Standardisation 1,neither (Stand. 1)
576,4650,0.10004739,lan plu,neither,Standardisation 1,neither (Stand. 1)
581,3650,0.157564252,ano plu,neither,Standardisation 1,neither (Stand. 1)
582,4150,0.040540541,ano plu,neither,Standardisation 1,neither (Stand. 1)
583,4650,0.111111111,ano plu,neither,Standardisation 1,neither (Stand. 1)
591,3650,0.158268734,fin lot,neither,Standardisation 1,neither (Stand. 1)
592,4150,0.549938481,fin lot,neither,Standardisation 1,neither (Stand. 1)
593,4650,0.582770303,fin lot,neither,Standardisation 1,neither (Stand. 1)
