"","times","sims","name"
"wai plu.1",150,0.0610954829113717,"wai plu"
"wai plu.2",650,0.0616898362208818,"wai plu"
"wai plu.3",1150,0.0785482769808282,"wai plu"
"wai plu.4",1650,0.0167433729452665,"wai plu"
"wai plu.5",2150,0.08318368084496,"wai plu"
"yac plu.1",150,0.104433815279652,"yac plu"
"yac plu.2",650,0.0957179899656881,"yac plu"
"yac plu.3",2150,0.0134354784036591,"yac plu"
"ava plu.1",150,0.242848274736227,"ava plu"
"ava plu.2",650,0.374333294209153,"ava plu"
"ava plu.3",1150,0.258033769666364,"ava plu"
"ava plu.4",1650,0.255184925582829,"ava plu"
"ava plu.5",2150,0.182067758549511,"ava plu"
"bon plu.1",150,0.0535672658330411,"bon plu"
"bon plu.2",650,0.134073765310104,"bon plu"
"bon plu.3",1150,0.0643502442575289,"bon plu"
"bon plu.4",1650,0.041894150293477,"bon plu"
"bon plu.5",2150,0.146019673860223,"bon plu"
"tag plu.1",150,0.0708492779641263,"tag plu"
"tag plu.2",650,0.115989521688428,"tag plu"
"tag plu.3",1150,0.49625250870479,"tag plu"
"tag plu.4",1650,0.18140890635514,"tag plu"
"tag plu.5",2150,0.092038838259325,"tag plu"
"ngo plu.1",650,0.513380856862908,"ngo plu"
"ngo plu.2",1650,0.321317056008272,"ngo plu"
"ngo plu.3",2150,0.240825814157208,"ngo plu"
"lou plu.1",1150,0.584286268281619,"lou plu"
"lou plu.2",1650,0.423203857713072,"lou plu"
"lou plu.3",2150,0.273706615574461,"lou plu"
"yac wai.1",150,0.000986193293885496,"yac wai"
"yac wai.2",650,0,"yac wai"
"yac wai.3",2150,0,"yac wai"
"yac wai.4",3150,0,"yac wai"
"yac wai.5",4150,0,"yac wai"
"ava wai.1",150,0.00801855558568176,"ava wai"
"ava wai.2",650,0,"ava wai"
"ava wai.3",1150,0,"ava wai"
"ava wai.4",1650,0.00593471810089019,"ava wai"
"ava wai.5",2150,0,"ava wai"
"bon wai.1",150,0.00627601733077843,"bon wai"
"bon wai.2",650,0.0459770114942529,"bon wai"
"bon wai.3",1150,0.0395833333333335,"bon wai"
"bon wai.4",1650,0.00465926159914087,"bon wai"
"bon wai.5",2150,0.0418619896206103,"bon wai"
"bon wai.6",3150,0.0140449438202246,"bon wai"
"tag wai.1",150,0.00983003041785979,"tag wai"
