,taxa,accepted,
1,Acacia,TRUE,
2,Acalypha,TRUE,
3,Euphorbiaceae,TRUE,
4,Acanthaceae,TRUE,
5,Rutaceae,TRUE,
6,Acrostichum,TRUE,
7,Achyranthes,TRUE,
8,Agathis,TRUE,
9,Agathis australis,TRUE,
10,Albizzia,FALSE,Albizia
11,Aleurites,TRUE,
12,Alphitonia,TRUE,
13,Alternanthera,TRUE,
14,Liquidambar,TRUE,
15,Alyxia,TRUE,
16,Apocynaceae,TRUE,
17,Amaranthaceae,TRUE,
18,Asteraceae,TRUE,
19,Anacardiaceae,TRUE,
20,Anacolosa,TRUE,
21,Annonaceae,TRUE,
22,Antidesma,TRUE,
23,Phyllanthaceae,TRUE,
24,Antirhea,TRUE,
25,Apiaceae,TRUE,
26,Apium prostratum,TRUE,
27,Apodytes clusiifolia,TRUE,
28,Araceae,TRUE,
29,Araliaceae,TRUE,
30,Araucaria,TRUE,
31,Ardisia,TRUE,
32,Arecaceae,TRUE,
33,Argophyllaceae,TRUE,
34,Aristotelia,TRUE,
35,Arytera,TRUE,
36,Sapindaceae,TRUE,
37,Ascarina,TRUE,
38,Ascarina lucida,TRUE,
39,Aspleniaceae,TRUE,
40,Astelia,TRUE,
41,Picrodendraceae,TRUE,
42,Longetia,TRUE,
43,Austrobuxus,TRUE,
44,Avicennia marina,TRUE,
45,Baccaurea,TRUE,
46,Balanops,TRUE,
47,Barringtonia,TRUE,
48,Lecythidaceae,TRUE,
49,Proteaceae,TRUE,
50,Bignoniaceae,TRUE,
51,Bischofia,TRUE,
52,Blechnum,TRUE,
53,Hydrocharitaceae,TRUE,
54,Bombacaceae,FALSE,Malvaceae
55,Brassicaceae,TRUE,
56,Rhizophoraceae,TRUE,
57,Burseraceae,TRUE,
58,Callitriche,TRUE,
59,Calophyllum,TRUE,
60,Calophyllaceae,TRUE,
61,Calycosia,TRUE,
62,Calystegia,TRUE,
63,Canarium,TRUE,
64,Canavalia,TRUE,
65,Fabaceae,TRUE,
66,Cardiospermum,TRUE,
67,Carex,TRUE,
68,Myrtaceae,TRUE,
69,Caryophyllaceae,TRUE,
70,Casuarina,TRUE,
71,Casuarinaceae,TRUE,
72,Celtis,TRUE,
73,Cerberiopsis,TRUE,
74,Simaroubaceae,TRUE,
75,Rubiaceae,TRUE,
76,Cannabaceae,TRUE,
77,Lamiaceae,TRUE,
78,Clethraceae,TRUE,
79,Asparagaceae,TRUE,
80,Cycadaceae,TRUE,
81,Ebenaceae,TRUE,
82,Monimiaceae,TRUE,
83,Primulaceae,TRUE,
84,Celastraceae,TRUE,
85,Malvaceae,TRUE,
86,Lythraceae,TRUE,
87,Dennstaedtiaceae,TRUE,
88,Paracryphiaceae,TRUE,
89,Rosaceae,TRUE,
90,Moraceae,TRUE,
91,Amaranthus,TRUE,
92,Cardiopteridaceae,TRUE,
93,Claoxylon,TRUE,
94,Rhynchospora,TRUE,
95,Clematis,TRUE,
96,Cocos,TRUE,
97,Cocos nucifera,TRUE,
98,Codia,TRUE,
99,Colocasia,TRUE,
100,Colocasia esculenta,TRUE,
101,Commelina,TRUE,
102,Commersonia,TRUE,
103,Convolvulaceae,TRUE,
104,Coprosma,TRUE,
105,Cordyline,TRUE,
106,Coriaria,TRUE,
107,Corynocarpus,TRUE,
108,Cucurbitaceae,TRUE,
109,Cunoniaceae,TRUE,
110,Cupaniopsis,TRUE,
111,Cuphea,TRUE,
112,Cyatheaceae,TRUE,
113,Cyathea,TRUE,
114,Cyclophyllum barbatum,TRUE,
115,Cyperaceae,TRUE,
116,Cyperus,TRUE,
117,Cyrtandra,TRUE,
118,Dacrycarpus,TRUE,
119,Dacrycarpus dacrydioides,TRUE,
120,Dacrydium,TRUE,
121,Dacrydium cupressinum,TRUE,
122,Decaspermum,TRUE,
123,Desmodium,TRUE,
124,Dianella,TRUE,
125,Dicksonia,TRUE,
126,Dicranopteris,TRUE,
127,Dicranopteris linearis,TRUE,
128,Dillenia,TRUE,
129,Dilleniaceae,TRUE,
130,Diospyros,TRUE,
131,Dodonaea,TRUE,
132,Dodonaea viscosa,TRUE,
133,Dolicholobium,TRUE,
134,Dracaena,TRUE,
135,Dysoxylum,TRUE,
136,Elaeocarpaceae,TRUE,
137,Elaeocarpus,TRUE,
138,Elattostachys,TRUE,
139,Eleocharis,TRUE,
140,Embelia,TRUE,
141,Endospermum,TRUE,
142,Ericaceae,TRUE,
143,Erythrina,TRUE,
144,Erythrina variegata,TRUE,
145,Escalloniaceae,TRUE,
146,Euodia,TRUE,
147,Euphorbia,TRUE,
148,Excoecaria,TRUE,
149,Exocarpos,TRUE,
150,Fagraea,TRUE,
151,Ficus,TRUE,
152,Asplenium,TRUE,
153,Polypodiaceae,TRUE,
154,Stenochlaena palustris,TRUE,
155,Fimbristylis,TRUE,
156,Salicaceae,TRUE,
157,Flagellaria,TRUE,
158,Flagellariaceae,TRUE,
159,Freycinetia,TRUE,
160,Pandanaceae,TRUE,
161,Nothofagus,TRUE,
162,Garcinia,TRUE,
163,Gardenia,TRUE,
164,Garuga,TRUE,
165,Geniostoma,TRUE,
166,Loganiaceae,TRUE,
167,Geranium,TRUE,
