"","taxa","accepted"
"1","Acacia","TRUE"
"2","Acalypha","TRUE"
"3","Euphorbiaceae","TRUE"
"4","Acanthaceae","TRUE"
"5","Rutaceae","TRUE"
"6","Acrostichum","TRUE"
"7","Achyranthes","TRUE"
"8","Agathis","TRUE"
"9","Agathis australis","TRUE"
"10","Albizia","TRUE"
"11","Aleurites","TRUE"
"12","Alphitonia","TRUE"
"13","Alternanthera","TRUE"
"14","Liquidambar","TRUE"
"15","Alyxia","TRUE"
"16","Apocynaceae","TRUE"
"17","Amaranthaceae","TRUE"
"18","Asteraceae","TRUE"
"19","Anacardiaceae","TRUE"
"20","Anacolosa","TRUE"
"21","Annonaceae","TRUE"
"22","Antidesma","TRUE"
"23","Phyllanthaceae","TRUE"
"24","Antirhea","TRUE"
"25","Apiaceae","TRUE"
"26","Apium prostratum","TRUE"
"27","Apodytes clusiifolia","TRUE"
"28","Araceae","TRUE"
"29","Araliaceae","TRUE"
"30","Araucaria","TRUE"
"31","Ardisia","TRUE"
"32","Arecaceae","TRUE"
"33","Argophyllaceae","TRUE"
"34","Aristotelia","TRUE"
"35","Arytera","TRUE"
"36","Sapindaceae","TRUE"
"37","Ascarina","TRUE"
"38","Ascarina lucida","TRUE"
"39","Aspleniaceae","TRUE"
"40","Astelia","TRUE"
"41","Picrodendraceae","TRUE"
"42","Longetia","TRUE"
"43","Austrobuxus","TRUE"
"44","Avicennia marina","TRUE"
"45","Baccaurea","TRUE"
"46","Balanops","TRUE"
"47","Barringtonia","TRUE"
"48","Lecythidaceae","TRUE"
"49","Proteaceae","TRUE"
"50","Bignoniaceae","TRUE"
"51","Bischofia","TRUE"
"52","Blechnum","TRUE"
"53","Hydrocharitaceae","TRUE"
"54","Malvaceae","TRUE"
"55","Brassicaceae","TRUE"
"56","Rhizophoraceae","TRUE"
"57","Burseraceae","TRUE"
"58","Callitriche","TRUE"
"59","Calophyllum","TRUE"
"60","Calophyllaceae","TRUE"
"61","Calycosia","TRUE"
"62","Calystegia","TRUE"
"63","Canarium","TRUE"
"64","Canavalia","TRUE"
"65","Fabaceae","TRUE"
"66","Cardiospermum","TRUE"
"67","Carex","TRUE"
"68","Myrtaceae","TRUE"
"69","Caryophyllaceae","TRUE"
"70","Casuarina","TRUE"
"71","Casuarinaceae","TRUE"
"72","Celtis","TRUE"
"73","Cerberiopsis","TRUE"
"74","Simaroubaceae","TRUE"
"75","Rubiaceae","TRUE"
"76","Cannabaceae","TRUE"
"77","Lamiaceae","TRUE"
"78","Clethraceae","TRUE"
"79","Asparagaceae","TRUE"
"80","Cycadaceae","TRUE"
"81","Ebenaceae","TRUE"
"82","Monimiaceae","TRUE"
"83","Primulaceae","TRUE"
"84","Celastraceae","TRUE"
"85","Lythraceae","TRUE"
"86","Dennstaedtiaceae","TRUE"
"87","Paracryphiaceae","TRUE"
"88","Rosaceae","TRUE"
"89","Moraceae","TRUE"
"90","Amaranthus","TRUE"
"91","Cardiopteridaceae","TRUE"
"92","Claoxylon","TRUE"
"93","Syzygium","TRUE"
"94","Clematis","TRUE"
"95","Cocos","TRUE"
"96","Cocos nucifera","TRUE"
"97","Codia","TRUE"
"98","Colocasia","TRUE"
"99","Colocasia esculenta","TRUE"
"100","Commelina","TRUE"
"101","Commersonia","TRUE"
"102","Convolvulaceae","TRUE"
"103","Coprosma","TRUE"
"104","Cordyline","TRUE"
"105","Coriaria","TRUE"
"106","Corynocarpus","TRUE"
"107","Cucurbitaceae","TRUE"
"108","Cunoniaceae","TRUE"
"109","Cupaniopsis","TRUE"
"110","Cuphea","TRUE"
"111","Cyatheaceae","TRUE"
"112","Cyathea","TRUE"
"113","Cyclophyllum barbatum","TRUE"
"114","Cyperaceae","TRUE"
"115","Cyperus","TRUE"
"116","Cyrtandra","TRUE"
"117","Dacrycarpus","TRUE"
"118","Dacrycarpus dacrydioides","TRUE"
"119","Dacrydium","TRUE"
"120","Dacrydium cupressinum","TRUE"
"121","Decaspermum","TRUE"
"122","Desmodium","TRUE"
"123","Dianella","TRUE"
"124","Dicksonia","TRUE"
"125","Dicranopteris","TRUE"
"126","Dicranopteris linearis","TRUE"
"127","Dillenia","TRUE"
"128","Dilleniaceae","TRUE"
"129","Diospyros","TRUE"
"130","Dodonaea","TRUE"
"131","Dodonaea viscosa","TRUE"
"132","Dolicholobium","TRUE"
"133","Dracaena","TRUE"
"134","Dysoxylum","TRUE"
"135","Elaeocarpaceae","TRUE"
"136","Elaeocarpus","TRUE"
"137","Elattostachys","TRUE"
"138","Eleocharis","TRUE"
"139","Embelia","TRUE"
"140","Endospermum","TRUE"
"141","Ericaceae","TRUE"
"142","Erythrina","TRUE"
"143","Erythrina variegata","TRUE"
"144","Escalloniaceae","TRUE"
"145","Euodia","TRUE"
"146","Euphorbia","TRUE"
"147","Excoecaria","TRUE"
"148","Exocarpos","TRUE"
"149","Fagraea","TRUE"
"150","Ficus","TRUE"
"151","Asplenium","TRUE"
"152","Polypodiaceae","TRUE"
"153","Stenochlaena palustris","TRUE"
"154","Fimbristylis","TRUE"
"155","Salicaceae","TRUE"
"156","Flagellaria","TRUE"
"157","Flagellariaceae","TRUE"
