"","Cal_yrs_BP","Trema","Fabaceae","Rhamnaceae undiff.","Exocarpos","Casuarinaceae","Alphitonia","Homalium","Ophiorrhiza","Lygodium","Sphaerostephanos","Asteraceae","Bischofia","Dillenia","Plerandra","Myrtaceae","Melastomataceae","Poaceae","Homalanthus","Macaranga","Lycopodiaceae","cf. Blechnum","Arecaceae undiff.","Dicranopteris","Urticaceae","cf. Celtis","Polypodium","Cyatheaceae","Cyperaceae","Spermatophyta undiff. (aquatics)","Pandanus","Unknown (monolete, type A)","cf. Pteridium","Rosaceae","Solanaceae","Calophyllum","Cupaniopsis","Embelia","Acalypha","Podocarpus","Schefflera","Maesa","Psychotria","Antirhea","Turrillia","cf. Rubus","Piper","Euphorbiaceae undiff.","Palaquium","Unknown (monolete, type B)","Dysoxylum","Elattostachys","Geniostoma","cf. Streblus","Baccaurea","cf. Melochia","Endospermum","Guioa","Scaevola","Annonaceae","Dacrydium","Rapanea","Dolicholobium","Neonauclea","Symplocos","cf. Canthium","Myristica","Glochidion","Fagraea","Tapeinosperma","Malvaceae","Elaeocarpus","Agathis","Calycosia","Euodia","Apocynaceae","Metroxylon vitiense","Polyscias","Pittosporum","Melicope","Arytera","Heritiera","cf. Pemphis","Mallotus","Freycinetia","Hymenophyllum","cf. Quintinia","Commersonia","Leea","Parinari","Rutaceae","Pisonia","Rubiaceae undiff.","Liliaceae","Limnanthemum","ageolder","ageyounger"
"1",-34,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,6,6,6,8,8,12,12,14,14,14,38,44,48,110,210,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,-37
"2",158,8,1,0,0,0,0,0,0,1,1,2,2,0,1,1,2,6,2,6,4,4,6,6,8,14,14,20,18,20,128,204,948,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,35
"3",356,1,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,18,6,8,6,18,4,6,16,6,12,18,18,18,124,276,864,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,177
"4",552,2,1,0,0,0,0,1,0,0,4,0,1,1,0,0,0,34,1,1,6,39,6,2,8,1,2,18,42,42,132,180,242,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,339
"5",750,4,0,0,0,1,0,0,1,0,10,0,2,0,0,0,2,34,2,1,6,84,6,2,8,6,4,20,1,3,118,1136,164,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,517
"6",944,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,49,2,4,20,288,6,6,10,12,14,66,18,18,110,1224,260,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,706
"7",1140,8,1,0,0,1,1,2,2,0,180,0,8,1,0,0,0,94,8,2,629,1612,12,4,6,24,14,82,0,0,14,1404,54,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,912
"8",1339,2,0,1,0,6,0,1,0,1,60,0,14,0,0,0,0,78,14,4,120,2132,10,6,6,26,6,46,6,6,6,1450,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,1,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1138
"9",1534,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,170,2,0,5,334,9,2,1,5,0,3,4,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,1335
"10",1729,2,0,0,0,0,0,1,0,1,9,0,4,0,0,0,0,140,1,1,6,396,12,0,4,5,0,4,11,11,4,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,1507
