"","Cal_yrs_BP","min","max","Agathis","Araucaria","Dacrydium","Neocallitropsis","Podocarpus","OTHER PODOCARPACEAE","ACANTHACEAE","Alyxia Type","AMARANTHACEAE","Antidesma Type","APOCYNACEAE","ARALIACEAE","Argophyllum Type","Ascarina","ASTERACEAE","Austrobuxus buxoides Type","Austrobuxus Other","Barringtonia","Beauprea ?","CASUARINACEAE","Celtis","Cerberiopsis","Citronella Type","Codia","Corynocarpus","CUNONIACEAE/ELAEOCARPACEAE","Cupaniopsis Type","Desmodium Type ?","DILLENIACEAE","Dodonaea Type","EPACRIDACEAE","ESCALLIONACEAE","Euroshinus Type","Ficus","FLACOURTICEAE","Garcinia","Geniostoma Type","GESNERIACEAE","Glochidion Type","GOODENIACEAE","Grevillea Type","GUTTIFERAE","Hedycarya Type","Hibbertia Type","Homalanthus Type","Ilex","Kermadecia/Stenocarpus","Labiateae Type","LORANTHACEAE ?","Macaranga","MALPIGHIACEAE","Melaleuca","Carpolepis Type","OTHER MYRTACEAE","Melastoma","Meliaceae","Meryta","Myriophyllum","Nepenthes","Nothofagus","Phyllanthus","PIPERACEAE Type","Pittosporum ?","Planchonella Type","PROTEACEAE","Psidium guava","Psychotira","Rauvolfia","Rhizophora","RUBIACEAE","RUTACEAE ?","SAPINDACEAE","SAPINDACEAE Sync. Type","SAPOTACEAE","Sloanea","Smilax?","SOLANACEAE","Soulamia Type","Spathodea Type","STERCULICEAE","Tapeinosperma Type","Trema ?","URTICACEAE","VERBENACEAE","VIOLACEAE?","Colocasia Type","CYPERACEAE","Flagellaria","Joinvillea","Palmae","Pandanus krauelianis Type","Other PANDANACEAE","POACEAE","Typha?","Lycopodium","Selaginella","Monolete Psilate Small","Monolete Psilate Medium","Monolete Psilate Large","POLYPODIACEAE","Round Hairy Spore","340 Type","Type A Mono","Type B Mono","Type C Mono","Other Monolete Ferns","Pteridium esculentum","Cyathaceae","Trilete Psilate","Sphenomeris Type","NC-SS-32 Type","Type A Tri","Other Trilete Ferns","Type 4","Type 10","Type 19","Type 29","Type 49","Type 63","Type 65","Type 66","Type 77","Type 84","Type 89","Type 150","Type 151","Type 152","Type 153","Type 157","Type 158","Type 159","Type 160","Type 161","Type 164","Type 165","Type 166","Type 167","Type 168","Type 171","Total","Concentration","ALNUS (exotic marker)","Dam/deg","Indet","Debarya Type","Zygnema Type"
"1",161,48,328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,2,0,6,5,10,0,0,0,0,0,0,0,17,3,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,9970,233,2,1,0,0
"2",305,138,466,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,281,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,34,0,27,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,2,1,0,15,0,18,0,3,15,33,1,0,0,0,0,0,11,33,5,11,7,243,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,885,76811,265,20,5,0,0
"3",442,214,708,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,98,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,1,0,0,20,0,11,0,13,0,25,1,0,0,0,0,0,3,7,6,1,2,90,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,21103,594,8,6,0,0
"4",579,296,915,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,56,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,0,12,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,27,0,17,0,15,0,34,0,0,0,20,0,0,4,8,7,0,6,90,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,557,27374,468,3,5,0,0
"5",715,386,1090,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,0,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,13,1,0,65,0,74,0,46,6,126,2,0,5,116,11,0,12,57,17,6,66,141,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1069,46743,526,19,13,32,56
"6",849,476,1265,0,3,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,59,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,52,1,18,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,389,0,0,3,0,0,44,0,10,0,69,0,251,0,0,0,145,37,0,8,80,6,8,32,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1277,31446,934,15,8,1,69
"7",984,565,1451,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35,17,21,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,296,0,0,0,1,0,69,0,26,0,14,1,48,1,0,2,333,81,174,3,61,0,3,14,35,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1310,59194,509,15,5,0,0
"8",1122,662,1608,0,2,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,85,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,13,9,9,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,2,0,67,0,41,0,34,6,105,2,1,0,655,152,155,3,100,8,5,21,67,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1919,77843,567,15,6,0,0
"9",1256,749,1776,3,2,5,0,0,0,0,0,0,0,4,0,0,3,1,1,0,2,0,59,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,258,0,0,4,5,0,25,0,28,0,31,9,138,2,0,1,41,48,0,1,110,4,10,58,145,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1054,36236,669,15,15,0,0
"10",1445,913,1966,1,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,1,0,0,60,2,0,0,0,0,6,0,0,0,5,1,0,0,0,0,0,3,0,0,1,1,0,0,2,1,0,0,0,0,1,0,1,0,20,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,370,0,0,1,6,0,26,0,26,1,6,0,190,2,0,0,0,28,76,0,322,4,4,172,130,1,16,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,70630,494,16,10,0,0
"11",1702,1181,2193,0,0,2,1,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,123,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,3,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,320,0,0,4,3,0,16,0,6,2,31,7,155,0,0,20,23,6,8,4,545,6,0,225,53,0,27,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,113967,334,26,5,0,0
"12",1964,1457,2387,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,8,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,31,0,0,1,2,0,11,0,15,2,20,4,260,1,0,0,0,0,0,2,693,4,0,430,113,3,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1684,52697,735,13,23,0,0
"13",2230,1798,2570,0,8,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,110,1,0,4,26,0,1,0,2,0,21,0,66,2,0,4,3,0,0,2,246,5,0,31,10,0,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,591,24896,546,14,12,0,0
"14",2357,1980,2651,0,0,2,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,22,0,0,0,0,0,13,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,4,0,10,0,0,0,0,0,6,0,0,1,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,188,0,0,0,51,0,6,0,9,2,332,7,80,4,0,0,0,0,0,4,307,13,0,28,27,0,12,0,1,0,0,0,0,0,0,0,0,0,6,4,0,2,2,0,0,0,0,0,0,0,0,0,0,1186,36419,749,19,15,0,0
"15",2725,2418,3038,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,0,2,0,22,0,0,0,0,6,4,0,7,0,0,1,0,0,9,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,7,0,0,0,99,0,0,0,0,0,7,0,4,2,171,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,456,85268,123,15,9,0,0
