"","Cal_yrs_BP","min","max","Acrostichum","Alphitonia","Amaranthaceae","Anacardiaceae","Apiaceae","Araceae","Arecaceae","Asteraceae","Bischofia","Burseraceae","Calophyllum","Casuarina","cf. Ailanthus","cf. Araliaceae","cf. Calamus","cf. Celtis","cf. Clerodendrum","cf. Clethra","cf. Cycas","cf. Desmodium","cf. Diospyros","cf. Entada","cf. Geraniaceae","cf. Maesa","cf. Maniltoa","cf. Maytenus","cf. Neonauclea","cf. Onagraceae","cf. Rosaceae","cf. Senna","cf. Sterculia","Cocos","Combretaceae/Melastromataceae","Cyperaceae","Dracaena","Dysoxylum","Elaeocarpus","Elattostachys","Euphorbiaceae","Excoecaria","Fabaceae","Ficus","Freycinetia","Glochidion","Grewia","Hedycarya","Homalanthus","Homalium","Ixora","Loranthaceae","Macaranga","Malpighiaceae","Malvaceae","Melastromataceae/Sapotaceae","Microsorum","Monolete echinate","Monolete spores","Moraceae/Urticaceae","Oleaceae","Pandanus","Phyllanthaceae","Poaceae","Polygonaceae","Polypodium","Rhamnaceae","Rhizophoraceae","Rhus","Rubiaceae","Sapotaceae","Stenochlaena","Syzygium","Trema","Trilete spores","Vitaceae"
"1",353,167,554,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0
"2",476,279,674,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,4,0,57,0,0,0,0,0,0,0,0,0,10,0,0
"3",610,407,812,0,0,0,0,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,267,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,3,0,0,86,0,41,0,0,0,1,0,0,0,1,0,22,1,0
"4",701,500,885,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,3,0,14,0,0,0,0,0,0,0,0,0,6,0,0
"5",792,601,967,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,36,0,58,0,0,0,0,1,0,0,2,0,23,1,0
"6",1034,941,1167,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0
"7",1104,991,1249,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,7,0,0
"8",1172,1039,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
"9",1230,1087,1400,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,30,0,0,0,1,0,2,0,0,10,0,8,0,0,0,4,0,0,0,2,2,18,0,0
"10",1534,1364,1720,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,12,0,8,0,0,0,1,0,0,0,1,0,5,0,0
