,times,sims,name,group
ano aro.4,4650,0.068965517,ano aro,neither
ano ava.6,4650,0.041666667,ano ava,neither
ano fin.7,4650,0,ano fin,neither
ano lan.6,4650,0.001157407,ano lan,neither
ano lot.7,4650,0,ano lot,neither
ano lou.7,4650,0.06576898,ano lou,neither
ano ngo.7,4650,0.097323211,ano ngo,neither
ano plu.7,4650,0.111111111,ano plu,neither
ano tag.7,4650,0.055045794,ano tag,neither
ano vol.4,4650,0.023406841,ano vol,neither
ano wai.5,4650,0.128205128,ano wai,neither
ano yac.7,4650,0.00866162,ano yac,neither
aro ava.7,4650,0.055747504,aro ava,neither
aro fin.7,4650,0,aro fin,neither
aro ngo.7,4650,0.031141462,aro ngo,neither
aro plu.7,4650,0.027777778,aro plu,neither
aro tag.7,4650,0.014080837,aro tag,neither
aro vol.5,4650,0.032246247,aro vol,neither
aro wai.6,4650,0,aro wai,neither
aro yac.7,4650,0.00866162,aro yac,neither
ava ngo.9,4650,0.178020202,ava ngo,neither
ava plu.9,4650,0.163194444,ava plu,neither
ava tag.9,4650,0.193262954,ava tag,neither
fin ava.9,4650,0.088605373,fin ava,neither
fin ngo.10,4650,0.158287064,fin ngo,neither
fin plu.10,4650,0.035970782,fin plu,neither
fin tag.10,4650,0.039646884,fin tag,neither
fin wai.8,4650,0,fin wai,neither
lan aro.6,4650,0.001157407,lan aro,neither
lan ava.7,4650,0.207732106,lan ava,neither
lan fin.8,4650,0.096379736,lan fin,neither
lan lot.8,4650,0.036940595,lan lot,neither
lan ngo.8,4650,0.099350021,lan ngo,neither
lan plu.8,4650,0.210630682,lan plu,neither
lan tag.8,4650,0.306890952,lan tag,neither
lan vol.6,4650,0.085679283,lan vol,neither
lan wai.6,4650,0.002314815,lan wai,neither
lan yac.8,4650,0.029651257,lan yac,neither
lot aro.7,4650,0,lot aro,neither
lot ava.9,4650,0.059056461,lot ava,neither
lot fin.10,4650,0.582770303,lot fin,neither
lot ngo.10,4650,0.100000061,lot ngo,neither
lot plu.10,4650,0.027806461,lot plu,neither
lot tag.10,4650,0.036251994,lot tag,neither
lot vol.7,4650,0.092512738,lot vol,neither
lot wai.8,4650,0,lot wai,neither
lot yac.10,4650,0.047710442,lot yac,neither
lou aro.6,4650,0.053417261,lou aro,neither
lou ava.8,4650,0.092681469,lou ava,neither
lou fin.9,4650,0.013436974,lou fin,neither
lou lan.8,4650,0.078223423,lou lan,neither
lou lot.9,4650,0.061218469,lou lot,neither
lou ngo.9,4650,0.126757544,lou ngo,neither
lou plu.9,4650,0.288039497,lou plu,neither
lou tag.9,4650,0.116331693,lou tag,neither
lou vol.6,4650,0.175097581,lou vol,neither
lou wai.7,4650,0.017094017,lou wai,neither
lou yac.9,4650,0.073530111,lou yac,neither
ngo plu.10,4650,0.161549199,ngo plu,neither
ngo tag.10,4650,0.108329661,ngo tag,neither
