"","times","sims","name","rank"
"plu tag.1",150,0.0825886462907813,"plu tag","family"
"plu tag.2",650,0.0601180805020421,"plu tag","family"
"plu tag.3",1150,0.0524015101090559,"plu tag","family"
"plu tag.4",1650,0.0723342623131182,"plu tag","family"
"plu tag.5",2150,0.0812659132404083,"plu tag","family"
"plu tag.6",2650,0.326485848061754,"plu tag","family"
"plu tag.7",3150,0.223274116457369,"plu tag","family"
"plu tag.8",3650,0,"plu tag","family"
"plu tag.9",4150,0.101669015906003,"plu tag","family"
"plu tag.10",4650,0.23468441242123,"plu tag","family"
"bon tag.1",150,0.325903905373484,"bon tag","family"
"bon tag.2",650,0.202896946063921,"bon tag","family"
"bon tag.3",1150,0.179025205092662,"bon tag","family"
"bon tag.4",1650,0.0711375659567137,"bon tag","family"
"bon tag.5",2150,0.112513903108714,"bon tag","family"
"bon tag.6",2650,0.124912310825531,"bon tag","family"
"bon tag.7",3150,0.302716775897234,"bon tag","family"
"bon tag.8",3650,0.566902300870807,"bon tag","family"
"bon tag.9",4150,0.588360363075717,"bon tag","family"
"ngo tag.1",150,0.0231603115588381,"ngo tag","family"
"ngo tag.2",650,0.0301918672262578,"ngo tag","family"
"ngo tag.3",1150,0.026382849565721,"ngo tag","family"
"ngo tag.4",1650,0.0157891729680291,"ngo tag","family"
"ngo tag.5",2150,0.0169807399474348,"ngo tag","family"
"ngo tag.6",2650,0.0158779110974534,"ngo tag","family"
"ngo tag.7",3150,0.0369802402631353,"ngo tag","family"
"ngo tag.8",3650,0.0514972098198913,"ngo tag","family"
"ngo tag.9",4150,0.0345361951568832,"ngo tag","family"
"ngo tag.10",4650,0.129834351992865,"ngo tag","family"
"ava tag.1",150,0.0568222079262938,"ava tag","family"
"ava tag.2",650,0.0359753739245114,"ava tag","family"
"ava tag.3",1150,0.0629575690752713,"ava tag","family"
"ava tag.4",1650,0.112636754960825,"ava tag","family"
"ava tag.5",2150,0.120960614272196,"ava tag","family"
"ava tag.6",2650,0.0289643672913131,"ava tag","family"
"ava tag.7",3150,0.102585192033625,"ava tag","family"
"ava tag.8",4150,0.0933644094516289,"ava tag","family"
"ava tag.9",4650,0.220570717397102,"ava tag","family"
"wai tag.1",150,0.0512036054412367,"wai tag","family"
"wai tag.2",650,0.0498276499923673,"wai tag","family"
"wai tag.3",1150,0.0443134679307527,"wai tag","family"
"wai tag.4",1650,0,"wai tag","family"
"wai tag.5",2150,0.0308161649707479,"wai tag","family"
"wai tag.6",3150,0.026022487940194,"wai tag","family"
"wai tag.7",4150,0.0653539636556867,"wai tag","family"
"wai tag.8",4650,0.0528084803826515,"wai tag","family"
"fin tag.1",150,0.0266878014121712,"fin tag","family"
"fin tag.2",650,0.0234301723449007,"fin tag","family"
"fin tag.3",1150,0.0297697664637905,"fin tag","family"
"fin tag.4",1650,0.0312566993217103,"fin tag","family"
"fin tag.5",2150,0,"fin tag","family"
"fin tag.6",2650,0,"fin tag","family"
"fin tag.7",3150,0,"fin tag","family"
"fin tag.8",3650,0,"fin tag","family"
"fin tag.9",4150,0,"fin tag","family"
"fin tag.10",4650,0,"fin tag","family"
"yac tag.1",150,0.0313949479135597,"yac tag","family"
"yac tag.2",650,0.0282147182899498,"yac tag","family"
"yac tag.3",1150,0.0272636578987456,"yac tag","family"
"yac tag.4",1650,0.00945743880983163,"yac tag","family"
"yac tag.5",2150,0.0189714844213922,"yac tag","family"
"yac tag.6",2650,0,"yac tag","family"
"yac tag.7",3150,0,"yac tag","family"
"yac tag.8",3650,0.00658821668381182,"yac tag","family"
"yac tag.9",4150,0.0058455102568169,"yac tag","family"
"yac tag.10",4650,0.0124720645756641,"yac tag","family"
"vol tag.1",150,0.0493284384025106,"vol tag","family"
"vol tag.2",650,0.0435560282897273,"vol tag","family"
"vol tag.3",1150,0.0526859562722943,"vol tag","family"
"vol tag.4",2650,0.0675562998408588,"vol tag","family"
"vol tag.5",3650,0.0483501241825933,"vol tag","family"
"vol tag.6",4150,0.0939130931261818,"vol tag","family"
"vol tag.7",4650,0.0450398073911017,"vol tag","family"
"tuk tag.1",150,0.0315613501327578,"tuk tag","family"
"tuk tag.2",650,0.0519085566262043,"tuk tag","family"
"tuk tag.3",1150,0.084861357988842,"tuk tag","family"
"tuk tag.4",2150,0.322680656101631,"tuk tag","family"
"tuk tag.5",3150,0.271321924271242,"tuk tag","family"
"tuk tag.6",3650,0.16119827856583,"tuk tag","family"
"tuk tag.7",4150,0.198952709035146,"tuk tag","family"
"aro tag.1",150,0.0479967595673432,"aro tag","family"
"aro tag.2",650,0.029917603063165,"aro tag","family"
"aro tag.3",1150,0.0521720708405649,"aro tag","family"
"aro tag.4",1650,0.0233044334854025,"aro tag","family"
"aro tag.5",2650,0.0119640284298056,"aro tag","family"
"aro tag.6",3150,0.108994010969054,"aro tag","family"
"aro tag.7",4650,0.0252936058313885,"aro tag","family"
"lot tag.1",150,0.0205022015874409,"lot tag","family"
"lot tag.2",650,0.0210757462729561,"lot tag","family"
"lot tag.3",1150,0.0119451109032135,"lot tag","family"
"lot tag.4",1650,0.137571940883338,"lot tag","family"
"lot tag.5",2150,0,"lot tag","family"
"lot tag.6",3150,0,"lot tag","family"
"lot tag.7",3650,0,"lot tag","family"
"lan tag.1",650,0.0937422050139674,"lan tag","family"
"lan tag.2",1150,0.161077849314329,"lan tag","family"
"lan tag.3",1650,0.166272916741293,"lan tag","family"
"lan tag.4",2650,0.270718974874958,"lan tag","family"
"lan tag.5",3150,0.244789668690108,"lan tag","family"
"lan tag.6",3650,0.485321666653834,"lan tag","family"
"lan tag.7",4150,0.434447304935913,"lan tag","family"
"lan tag.8",4650,0.3822229263196,"lan tag","family"
"lou tag.1",650,0.0152050284346005,"lou tag","family"
"lou tag.2",1150,0.0190160579183717,"lou tag","family"
"lou tag.3",1650,0.0158806215385799,"lou tag","family"
"lou tag.4",2150,0.154507208650467,"lou tag","family"
"lou tag.5",2650,0.201446279934029,"lou tag","family"
"lou tag.6",3150,0.231436807872442,"lou tag","family"
"lou tag.7",3650,0.203992760705703,"lou tag","family"
"lou tag.8",4150,0.147529590340669,"lou tag","family"
"lou tag.9",4650,0.161773275184845,"lou tag","family"
"ano tag.1",1650,0.0641447357639817,"ano tag","family"
"ano tag.2",2150,0.0691610159602745,"ano tag","family"
"ano tag.3",2650,0.0195297825676933,"ano tag","family"
"ano tag.4",3150,0.0938711613770949,"ano tag","family"
"ano tag.5",3650,0.0836835464086961,"ano tag","family"
"ano tag.6",4150,0,"ano tag","family"
"ano tag.7",4650,0.00866273011462315,"ano tag","family"
"bon plu.1",150,0.297384480009146,"bon plu","family"
"bon plu.2",650,0.315161832624468,"bon plu","family"
"bon plu.3",1150,0.173541831143055,"bon plu","family"
"bon plu.4",1650,0.0821901722636087,"bon plu","family"
"bon plu.5",2150,0.313543547311619,"bon plu","family"
"bon plu.6",2650,0.0742378184666144,"bon plu","family"
"bon plu.7",3150,0.119275821527326,"bon plu","family"
"bon plu.8",3650,0.0553517870141511,"bon plu","family"
"bon plu.9",4150,0.184529828109201,"bon plu","family"
"ngo plu.1",150,0.367596499121385,"ngo plu","family"
"ngo plu.2",650,0.703906010383873,"ngo plu","family"
"ngo plu.3",1150,0.682291267236294,"ngo plu","family"
"ngo plu.4",1650,0.416319245361299,"ngo plu","family"
"ngo plu.5",2150,0.358572806507732,"ngo plu","family"
"ngo plu.6",2650,0.106780665254539,"ngo plu","family"
