name,rank,groupid
Acanthaceae,family,5
Amaranthaceae,family,5
Anacardiaceae,family,5
Annonaceae,family,5
Apiaceae,family,5
Apocynaceae,family,5
Araceae,family,5
Araliaceae,family,5
Arecaceae,family,5
Argophyllaceae,family,5
Aspleniaceae,family,5
Asteraceae,family,5
Bignoniaceae,family,5
Brassicaceae,family,5
Burseraceae,family,5
Caprifoliaceae,family,5
Caryophyllaceae,family,5
Casuarinaceae,family,5
Clusiaceae,family,5
Combretaceae,family,5
Convolvulaceae,family,5
Cunoniaceae,family,5
Cyatheaceae,family,5
Cyperaceae,family,5
Dilleniaceae,family,5
Elaeocarpaceae,family,5
Ericaceae,family,5
Euphorbiaceae,family,5
Fabaceae,family,5
Flagellariaceae,family,5
Goodeniaceae,family,5
Gunneraceae,family,5
Haloragaceae,family,5
Hymenophyllaceae,family,5
Lauraceae,family,5
Lecythidaceae,family,5
Liliaceae,family,5
Lindsaeaceae,family,5
Loganiaceae,family,5
Loranthaceae,family,5
Lycopodiaceae,family,5
Malvaceae,family,5
Marattiaceae,family,5
Melastomataceae,family,5
Meliaceae,family,5
Monimiaceae,family,5
Moraceae,family,5
Myrtaceae,family,5
Oleaceae,family,5
Onagraceae,family,5
Orchidaceae,family,5
Pandanaceae,family,5
Phyllanthaceae,family,5
Pinaceae,family,5
Poaceae,family,5
Podocarpaceae,family,5
Polygonaceae,family,5
Polypodiaceae,family,5
Portulacaceae,family,5
Proteaceae,family,5
Pteridaceae,family,5
Ranunculaceae,family,5
Restionaceae,family,5
Rhamnaceae,family,5
Rhizophoraceae,family,5
Rosaceae,family,5
Rubiaceae,family,5
Rutaceae,family,5
Salicaceae,family,5
Santalaceae,family,5
Sapindaceae,family,5
Sapotaceae,family,5
Simaroubaceae,family,5
Solanaceae,family,5
Symplocaceae,family,5
Thymelaeaceae,family,5
Ulmaceae,family,5
Urticaceae,family,5
Verbenaceae,family,5
Vitaceae,family,5
Acacia,genus,2
Acalypha,genus,2
Achyranthes,genus,2
Acronychia,genus,2
Acrostichum,genus,2
Agathis,genus,2
Aleurites,genus,2
Alphitonia,genus,2
Alternanthera,genus,2
Alyxia,genus,2
Amaranthus,genus,2
Anacolosa,genus,2
Anthoceros,genus,2
Antidesma,genus,2
Antirhea,genus,2
Araucaria,genus,2
Ardisia,genus,2
Aristotelia,genus,2
Arytera,genus,2
Ascarina,genus,2
Asplenium,genus,2
Astelia,genus,2
Avicennia,genus,2
Baccaurea,genus,2
Balanops,genus,2
Barringtonia,genus,2
Bischofia,genus,2
Blechnum,genus,2
Blyxa,genus,2
Callitriche,genus,2
Callitris,genus,2
Calophyllum,genus,2
Calycosia,genus,2
Calystegia,genus,2
Canarium,genus,2
Canavalia,genus,2
Cardiospermum,genus,2
Carex,genus,2
Casuarina,genus,2
Celtis,genus,2
Cerberiopsis,genus,2
Claoxylon,genus,2
Clematis,genus,2
Cocos,genus,2
Codia,genus,2
Colocasia,genus,2
Commelina,genus,2
Commersonia,genus,2
Coprosma,genus,2
Cordyline,genus,2
Coriaria,genus,2
Corynocarpus,genus,2
Cupaniopsis,genus,2
Cuphea,genus,2
Cyathea,genus,2
Cyathula,genus,2
Cyperus,genus,2
