"","Var1","Var2"
"2","plu","tag"
"3","bon","tag"
"4","ngo","tag"
"5","ava","tag"
"6","wai","tag"
"7","fin","tag"
"8","yac","tag"
"9","vol","tag"
"10","tuk","tag"
"11","aro","tag"
"12","lot","tag"
"13","lan","tag"
"14","lou","tag"
"15","ano","tag"
"18","bon","plu"
"19","ngo","plu"
"20","ava","plu"
"21","wai","plu"
"22","fin","plu"
"23","yac","plu"
"24","vol","plu"
"25","tuk","plu"
"26","aro","plu"
"27","lot","plu"
"28","lan","plu"
"29","lou","plu"
"30","ano","plu"
"34","ngo","bon"
"35","ava","bon"
"36","wai","bon"
"37","fin","bon"
"38","yac","bon"
"39","vol","bon"
"40","tuk","bon"
"41","aro","bon"
"42","lot","bon"
"43","lan","bon"
"44","lou","bon"
"45","ano","bon"
"50","ava","ngo"
"51","wai","ngo"
"52","fin","ngo"
"53","yac","ngo"
"54","vol","ngo"
"55","tuk","ngo"
"56","aro","ngo"
"57","lot","ngo"
"58","lan","ngo"
"59","lou","ngo"
"60","ano","ngo"
"66","wai","ava"
"67","fin","ava"
"68","yac","ava"
"69","vol","ava"
"70","tuk","ava"
"71","aro","ava"
"72","lot","ava"
"73","lan","ava"
"74","lou","ava"
"75","ano","ava"
"82","fin","wai"
"83","yac","wai"
"84","vol","wai"
"85","tuk","wai"
"86","aro","wai"
"87","lot","wai"
"88","lan","wai"
"89","lou","wai"
"90","ano","wai"
"98","yac","fin"
"99","vol","fin"
"100","tuk","fin"
"101","aro","fin"
"102","lot","fin"
"103","lan","fin"
"104","lou","fin"
"105","ano","fin"
"114","vol","yac"
"115","tuk","yac"
"116","aro","yac"
"117","lot","yac"
"118","lan","yac"
"119","lou","yac"
"120","ano","yac"
"130","tuk","vol"
"131","aro","vol"
"132","lot","vol"
"133","lan","vol"
"134","lou","vol"
"135","ano","vol"
"146","aro","tuk"
"147","lot","tuk"
"148","lan","tuk"
"149","lou","tuk"
"150","ano","tuk"
"162","lot","aro"
"163","lan","aro"
"164","lou","aro"
"165","ano","aro"
"178","lan","lot"
"179","lou","lot"
"180","ano","lot"
"194","lou","lan"
"195","ano","lan"
"210","ano","lou"
