"","mean_interval_age","Cal_yrs_BP","Site","Agathis.australis","Apium.prostratum","Ascarina.lucida","Bryosporis.problematicus","Cocos.nucifera","Colocasia.esculenta","Cyclophyllum.barbatum","Dacrycarpus.dacrydioides","Dacrydium.cupressinum","Decaisnina.forsteriana","Dicranopteris.linearis","Dodonaea.viscosa","Erythrina.variegata","Histiopteris.incisa","Huperzia.varia","Lycopodiella.cernua","Lycopodiella.lateralis","Lycopodium.scariosum","Metroxylon.vitiense","Myoporum.rapense","Neopanax.arboreus","Nymphoides.indica","Olearia.colensoi","Pandanus.tectorius","Pectinopitys.ferruginea","Plantago.lanceolata","Prumnopitys.taxifolia","Psidium.guajava","Pteridium.esculentum","Pteris.berteroana","Pteris.tremula","Rhopalostylis.sapida","Selaginella.kraussiana","Sigesbeckia.orientalis","Sophora.tomentosa","Stenochlaena.palustris","Typha.orientalis","Ulex.europaeus","Vitex.lucens"
"2",150,209.9,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6493000973127,0,0,0,0,0,0,0,0,0,0
"6",150,181.293333333333,"wai",0,0.0994866573331636,0.0125786163522013,0.0865545432538897,0,0,0,0.0331547480394441,1.06255173508571,0,0,0,0,0.155118956640863,0,0,0,0.0693738522685891,0,0,0.0234741784037559,0,0,0,0.157871020631534,0,0,0,47.5503877131639,0,0.715070447000077,0.339894217023674,0.0366300366300366,0.847360930302772,0,0,0.654023260158759,0.0343642611683849,0
"7",150,206.333333333333,"fin",0,0,0,0,17.6266833819576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",150,187,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44927526705524,0,7.7895491369803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",150,138.666666666667,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20677223863276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",150,106.844444444444,"tuk",0,0,0,0,0,0.478419470016351,0,0,0,0,14.7493676987892,0.215765133306363,0.141285321330333,0.115141047783535,0,3.69280291258898,0,0,0,0,0,0,0,16.8847335161401,0,0,0,0,0,0.525304146008475,0,0,0,0,0.040551500405515,0,0,0,0
"12",150,166,"lot",0,0,0,0,6.09329170214779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3832907559845,0,0,0
"13",650,488.52,"wai",0,0.212014134275618,0.240802675585284,0.296493361710753,0,0,0,0,2.27536574222389,0,0,0,0,0.40351677308199,0,0,0.112994350282486,0.0668896321070234,0,0,0,0,0,0,0,0,0.212014134275618,0,33.8509181122525,0,0.620617105023312,1.49462301809248,0,0.0564971751412429,0,0,16.1025722422042,0,0
"15",650,659.666666666667,"lan",0,0,0.501811121508549,0,0,0,0,0,0,0.111856823266219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",650,627.8,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664893617021277,6.18488150708561,0,0,0,0,0,0,0,0,0,0
"18",650,609.475,"tuk",0,0,0,0,0,0.924975540846286,0.099601593625498,0,0,0,0.0960970931090453,0,0.049800796812749,0.245159069603937,0,0.189052806129742,0,0,0,0,0,0,0,72.0151694649032,0,0,0,0,0,0.340351026539767,0,0,0,0,0.0459558823529412,0,0,0,0
"21",650,696.666666666667,"fin",0,0,0,0,16.510741503449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",650,605,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67421119194385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",650,622.5,"lot",0,0,0,0,4.7763253419964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8298050470186,0,0,0
"25",650,696,"aro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389796106651905,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",650,759,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36871504719726,0,7.85696692910797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1150,1107.1,"wai",0.831600831600832,0.207900207900208,0.207900207900208,0,0,0,0,0.415800415800416,13.3056133056133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207900207900208,0,0.207900207900208,0,7.27650727650728,0,0.207900207900208,2.07900207900208,0,0,0,0,4.15800415800416,0,0.415800415800416
"29",1150,1370,"tuk",0,0,0,0,0,0,0,0,0,0,0.884955752212389,0,0,0,0,0.884955752212389,0,0,0,0,0,0,0,44.6902654867257,0,0,0,0,0,0,0,0,0,0,35.3982300884956,0,0,0,0
"30",1150,1117,"lan",0,0,0.431034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1150,1100.93333333333,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1364909839145,0,0,0,0,0,0,0,0,0,0
"35",1150,1192,"fin",0,0,0,0,5.63667205082667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1150,1090,"lot",0,0,0,0,9.80800095107888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6060155739167,0,0,0
"38",1150,1137,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65519871615649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1150,1207.25,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837958390610582,0,1.50995181225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",1650,1603.4,"wai",0,0,0.593471810089021,0,0,0,0,0,20.4747774480712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18694362017804,0,0.593471810089021,0,1.48367952522255,0,0.29673590504451,2.37388724035608,0,0,0,0,3.85756676557863,0,0
"43",1650,1827,"lan",0,0,0.609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1650,1556,"lot",0,0,0,0,14.0771807151042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01980198019802,0,0,0
"46",1650,1563.85,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.293377023907,0,0,0,0,0,0,0,0,0,0
"49",1650,1710.33333333333,"fin",0,0,0,0,2.82002889455383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2150,2099.5,"wai",0.384615384615385,0,0,0,0,0,0,0,23.2692307692308,0,0,0,0,0,0.192307692307692,0,0,0.192307692307692,0,0,0.384615384615385,0,0.192307692307692,0,0.576923076923077,0,0.576923076923077,0,7.69230769230769,0,0.769230769230769,2.5,0,0,0,0,2.5,0,0.384615384615385
"56",2150,2183.26666666667,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4888217246563,0,0,0,0,0,0,0,0,0,0
"57",2150,2177,"fin",0,0,0,0,2.51103752759382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",2150,2245.3,"tuk",0,0,0,0,0,0,0,0,0,0,0.177304964539007,0,0,0.32905401024444,0,0.177304964539007,0,0,0,0.531914893617021,0,0,0,57.3763486696437,0,0,0,0,0,0.171821305841924,0,0,0,0,0.669075337883046,0,0,0,0
"59",2150,2174,"lot",0,0,0,0,12.3602766046981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2150,2134.8,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408580101667604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2150,2118,"bon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73476049914021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",2650,2706.9,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,0,0,0,0,0,0,0,0,0,0
"69",2650,2698,"lan",0,0,0.223713646532438,0,0,0,0,0,0,0.161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",2650,2473.5,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5338799649465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",2650,2618.5,"bon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0465788628333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",3150,3245,"lot",0,0,0,0,8.56699163143819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",3150,3090,"fin",0,0,0,0,4.52321347291762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",3150,3150.93333333333,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148809523809524,1.90145502645503,0,0,0,0,0,0,0,0,0,0
"85",3150,3092.2,"wai",1.11111111111111,0,0.833333333333333,0,0,0,0,0.277777777777778,14.7222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0,1.38888888888889,0,1.11111111111111,4.16666666666667,0,0,0,0,0,0,0.277777777777778
"87",3150,2990.1,"tuk",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0.5,0,0,0,0,3.5,0,0,0,0
"90",3150,3059.5,"bon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0386597938144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",3650,3757,"lot",0,0,0,0,9.33019198386593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",3650,3657.2,"tuk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515463917525773,0,0,0,0,0,0,0,57.7319587628866,0,0,0,0,0,2.57731958762887,0,0,0,0,0.515463917525773,0,0,0,0
"96",3650,3480,"lan",0,0,0.413223140495868,0,0,0,0,0,0,0.413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",3650,3659.66666666667,"bon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2702397569812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",3650,3613.3,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084601339014,0,0,0,0,0,0,0,0,0,0
"104",3650,3806,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09674338985999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",4150,4069,"fin",0,0,0,0,1.39616542191506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",4150,4084.5,"wai",0.700934579439252,0.233644859813084,0.233644859813084,0,0,0,0,0,10.2803738317757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700934579439252,0,0,0,0.233644859813084,0,0,1.4018691588785,0,0,0,0,0,0,0.233644859813084
"111",4150,4240.8,"lan",0,0,0,0,0,0,0,0,0,0.099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",4150,4075,"bon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5196850393701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",4150,4324.1,"tuk",0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0,0
"118",4150,4201.64285714286,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92876017657485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",4650,4700.5,"fin",0,0,0,0,1.38451856513531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",4650,4686.3,"wai",0.854700854700855,0,1.70940170940171,0,0,0,0,0.427350427350427,15.8119658119658,0,0,0,0,0,0,0,0,0.427350427350427,0,0,0,0,0,0,1.70940170940171,0,0,0,0.427350427350427,0,1.70940170940171,7.69230769230769,0,0,0,0,0,0,0
"123",4650,4609.25,"lan",0,0,0.115740740740741,0,0,0,0,0,0,0.116822429906542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",4650,4570.25,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625782256297374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",4650,4610,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5913759981298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",4650,4584.5,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0
