"","Araucaria","Codia","Lycopodium","Polypodiales","Pteridium","Indeterminable","Casuarina","Poaceae","Myrtaceae","Unknown","Melaleuca","Cyperaceae","Araliaceae","Proteaceae","Trema","Sterculioideae-type","Cunoniaceae/Elaeocarpaceae","Avicennia","Arecaceae","Sapotaceae","Freycinetia","Wikstroemia-type","Ascarina","Asteraceae","Sapindaceae","Restionaceae","Nothofagus","Apocynaceae","Polypodiaceae","Podocarpus","Acanthaceae","Epacrideae","Pandanus","Exocarpos-type","Dacrydium","Moraceae","Hibbertia","Macaranga","Agathis","Plicosepalus","Euphorbiaceae","Mallotus","Malvaceae","Rubiaceae","Quintinia","Vitaceae","Symplocos-type","Melastoma","Goodeniaceae","Rutaceae","Terminalia","Meliaceae","Celtis","Rhizophoraceae"
"1",1,1,1,1,2,7,16,17,22,23,33,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,15,5,14,120,32,7,1373,11,1052,1,1,2,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,14,21,137,22,3,867,20,2070,0,0,0,0,1,0,1,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,3,2,2,129,27,1,1552,3,1133,1,0,0,1,0,2,0,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,30,7,158,33,1,713,0,600,0,0,0,0,1,1,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,24,3,9,121,19,7,650,5,200,0,0,1,1,0,2,3,0,0,0,1,3,0,0,2,0,5,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,1,1,14,13,103,30,29,572,8,116,0,0,0,0,6,10,1,0,0,0,1,7,2,0,1,0,11,0,0,0,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,25,9,0,214,46,16,1200,14,315,1,0,5,3,1,16,11,0,0,0,2,1,0,0,5,0,7,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2,0,0,21,3,0,78,31,28,518,26,144,1,0,2,0,8,1,6,0,0,0,1,1,0,0,0,0,14,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,0,6,0,22,59,21,25,514,33,84,0,0,0,0,6,2,10,0,0,0,7,1,1,1,6,0,6,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",3,0,0,38,7,16,41,39,59,691,60,225,0,0,0,0,7,9,4,0,0,0,0,1,2,0,5,0,8,0,0,1,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,1,10,8,20,31,15,55,392,29,100,0,1,0,0,17,6,1,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,17,3,14,23,20,35,425,45,135,1,0,2,0,7,3,2,0,0,0,0,1,0,0,9,2,13,4,0,3,0,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"14",2,0,0,0,5,12,29,5,28,480,73,94,0,0,2,0,17,8,2,0,0,0,0,0,0,2,3,0,7,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"15",4,0,0,3,0,24,13,5,8,375,19,34,6,1,0,1,5,0,6,0,0,0,4,0,2,0,3,0,5,1,0,7,0,13,0,1,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"16",5,0,1,3,2,19,18,4,17,290,15,73,0,0,0,0,9,0,2,2,0,0,1,0,5,0,5,0,11,1,0,3,1,11,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"17",6,0,0,8,0,24,29,6,10,298,8,105,3,1,0,0,4,3,4,0,0,0,1,0,0,0,2,0,3,0,0,5,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"18",10,0,0,4,1,44,10,1,16,271,7,32,1,5,0,1,6,2,8,0,0,0,2,0,0,0,7,0,11,0,0,5,0,8,1,0,1,10,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"19",5,0,0,18,4,17,49,10,11,594,9,240,1,0,0,0,3,4,0,0,0,0,1,0,1,0,3,0,7,0,0,4,0,6,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
"20",5,0,0,6,1,0,27,6,3,326,10,0,1,1,3,1,3,0,8,0,0,0,2,0,1,0,7,0,5,1,0,2,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"21",10,0,1,1,1,18,10,1,4,167,0,44,0,0,0,0,2,0,8,3,0,0,1,0,0,0,2,2,7,2,0,6,1,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"22",4,1,0,1,1,15,16,10,19,220,4,110,0,0,0,0,5,1,1,1,0,0,4,2,0,0,7,0,3,0,0,3,0,2,0,0,0,7,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"23",10,0,0,11,0,23,27,8,12,274,12,157,2,0,0,0,5,3,7,0,0,0,0,1,0,0,3,0,11,0,0,4,0,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"24",0,0,0,0,1,5,4,1,4,55,0,15,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,5,0,2,2,33,4,1,15,81,3,11,1,0,0,0,20,0,3,1,0,0,1,0,0,0,3,1,9,0,0,1,0,0,0,0,0,14,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"26",6,0,0,9,0,26,0,0,9,101,6,4,2,2,0,0,8,0,3,0,0,0,1,0,0,0,0,0,2,0,0,3,0,2,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27",0,3,0,3,0,15,7,0,13,53,2,0,0,0,0,0,23,0,3,1,0,0,0,0,5,0,5,0,3,2,0,0,1,2,1,0,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",5,1,0,1,0,44,23,3,46,133,3,12,1,1,1,0,32,0,12,3,0,0,1,0,7,0,0,0,27,0,0,0,2,0,1,0,1,14,0,2,2,1,0,1,2,0,0,0,0,1,0,1,1,1
"29",12,0,0,6,1,25,7,1,8,86,8,0,4,3,0,1,20,0,4,0,0,0,0,0,1,0,5,1,6,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,82,0,0,0,0,4,0,0,0,0
