"","Group.1","Rarefied_diversity","Cal_yrs_BP","Site"
"1","Anouwe Swamp",7.02451705297732,3065.66666666667,NA
"2","Avai'o'vuna Swamp",14.3188884014695,2212.75,NA
"3","Bonatoa Bog",25.664191317001,1963.42857142857,NA
"4","Lake Lanoto'o",16.8287351715593,2732.75,NA
"5","Lake Tagimaucia",35.5741154862499,2423.25,NA
"6","Ngofe Marsh",7.75231272605538,2576.37837837838,NA
"7","Plum Swamp",2.33470524223955,2311.636,NA
"8","St. Louis Lac",8.56989885422258,2902.375,NA
"9","Tukou Marsh",11.6479296360438,1196.22,NA
"10","Waitetoke",23.3200306595504,839.807692307692,NA
