Site_code,Site_name,Site_code,Latitude,Longitude,Island_name,Country,Human_settlement_years,Site_elevation_masl,Maximum_island_elevation_m,Island_area_ha,Island_isolation_km,Median_BC_similarity,Type,Mean_rarefied_richness,Mean_pollen_sum,Comment,Reference
9,Finemui Swamp,fin,-19.9489,-174.712,Ha'afeva,Tonga,2765,7,14,135.45,3340.86,-4.63074E-05,Wetland,NA,NA,,Flenley et al. (1999)
8,Yacata,yac,-17.258464,-179.510585,Yacata,Fiji,2900,2,256,943.95,2922.1,-4.63026E-05,Lake,NA,NA,,Hope et al. (2009)
6,Bonatoa Bog,bon,-18.0667,178.5333,Viti Levu,Fiji,2900,4,1323,1182706,2706.89,-4.44933E-05,Wetland,25.66419132,83,,Hope et al. (2009)
11,Ngofe Marsh,ngo,-18.6647,-174.044,Uta Vava'u,Tonga,2780,4,88,12719.52,3468.1,-4.42198E-05,Wetland,7.752312726,43,,Strandberg et al. (2023)
12,Avai’o’vuna Swamp,ava,-18.697111,-173.988747,Uta Vava'u/ Pangaimotu,Tonga,2780,0,8,12719.52,3468.1,-4.16326E-05,Wetland,14.3188884,67,,Fall (2005)
10,Lotofoa Swamp,lot,-19.7467,-174.308,Foa,Tonga,2765,3,24,1571.78,3385.72,-4.01309E-05,Wetland,NA,NA,,Flenley et al. (1999)
5,Volivoli,vol,-17.31,178.17,Viti Levu,Fiji,2900,2,1323,1182706,2706.89,-3.85299E-05,Lagoon,NA,NA,,Hope et al. (2009)
14,Tukou Marsh,tuk,-27.604,-144.352,Rapa,French Polynesia,700,3,650,5413.68,6009.78,-3.59596E-05,Wetland,11.64792964,42,,Prebble et al. (2019)
2,Plum Swamp,plu,-22.261461,166.626675,La Grande Terre,New Caledonia,3000,10,647,1891479.34,1353.55,-2.46463E-05,Wetland,2.334705242,66,,Stevenson et al. (2001)
15,Rano Aroi,aro,-27.1865,-109.435,Rapa Nui/ Easter Island,Chile,700,430,507, 21350.09,3523.41,-2.15883E-05,Wetland,NA,NA,,Flenley et al. (1991)
3,Anouwe Swamp,ano,-20.23932,169.82227,Aneityum,Vanuatu,3000,4,852,17928.56,1816.91,-1.39535E-05,Wetland,7.024517053,43,,Hope and Spriggs (1982)
4,Waitetoke,wai,-36.61015,175.78865,Great Mercury,New Zealand,700,1,819,1872,6,-8.98662E-06,Wetland,23.32003066,94,,"Holdaway et al. (2019), Prebble et al. (2019)"
13,Lake Lanoto'o,lan,-13.9093,-171.828,Upolu,Samoa,2800,760,1100,121546.4,3887.14,-4.9898E-06,Lake,16.82873517,31,,Gosling et al. (2020)
1,St. Louis Lac,lou,-22.23278,166.55,Grande Terre,New Caledonia,3000,5,450,1891479.34,1353.55,3.99923E-06,Wetland,8.569898854,48,,Stevenson and Dodson (1995)
7,Lake Tagimaucia,tag,-16.8217,-179.939,Taveuni,Fiji,2900,680,1241,52728.56,2829.38,1.28734E-05,Lake,35.57411549,110,,Hope et al. (2009)
