"","Acacia","Acalypha","Acanthaceae","Achyranthes","Acronychia","Acrostichum","Agathis","Agathis.australis","Aleurites","Alphitonia","Alternanthera","Alyxia","Amaranthaceae","Amaranthus","Anacardiaceae","Anacolosa","Annonaceae","Anthoceros","Antidesma","Antirhea","Apiaceae","Apium","Apium.prostratum","Apocynaceae","Araceae","Araliaceae","Araucaria","Ardisia","Arecaceae","Argophyllaceae","Aristotelia","Arytera","Ascarina","Ascarina.lucida","Aspleniaceae","Asplenium","Astelia","Asteraceae","Asteroideae","Avicennia","Baccaurea","Balanops","Barringtonia","Bignoniaceae","Bischofia","Blechnum","Blyxa","Brassicaceae","Bryosporis.problematicus","Burseraceae","Cal_yrs_BP","Callitriche","Callitris","Calophyllum","Calycosia","Calystegia","Canarium","Canavalia","Caprifoliaceae","Cardiopteridaceae","Cardiospermum","Carex","Caryophyllaceae","Casuarina","Casuarinaceae","Celtis","Cerberiopsis","Cichorioideae","Claoxylon","Clematis","Clusiaceae","Cocos","Cocos.nucifera","Codia","Colocasia","Colocasia.esculenta","Combretaceae","Commelina","Commersonia","Convolvulaceae","Coprosma","Cordyline","Coriaria","Corynocarpus","Cunoniaceae","Cupaniopsis","Cuphea","Cyathea","Cyatheaceae","Cyathula","Cyclophyllum.barbatum","Cyperaceae","Cyperus","Cyrtandra","Dacrycarpus","Dacrycarpus.dacrydioides","Dacrydium","Dacrydium.cupressinum","Decaisnina.forsteriana","Decaspermum","Desmodium","Dianella","Dicksonia","Dicranopteris","Dicranopteris.linearis","Dillenia","Dilleniaceae","Diospyros","Dodonaea","Dodonaea.viscosa","Dolicholobium","Dracaena","Dysoxylum","Elaeocarpaceae","Elaeocarpus","Elattostachys","Eleocharis","Embelia","Endospermum","Epacrideae","Ericaceae","Erythrina","Erythrina.variegata","Escalloniaceae","Euodia","Euphorbia","Euphorbiaceae","Excoecaria","Exocarpos","Fabaceae","Fagraea","Ficus","Fimbristylis","Flagellaria","Flagellariaceae","Freycinetia","Garcinia","Gardenia","Garuga","Geniostoma","Geranium","Gesneriaceae","Glochidion","Gonocarpus","Goodeniaceae","Grewia","Group.1","Guettarda","Guioa","Gunneraceae","Gymnosporia","Gymnostoma","Haloragaceae","Haloragis","Hedycarya","Hemionitis","Heritiera","Hernandia","Hibbertia","Hibiscus","Histiopteris.incisa","Homalanthus","Homalium","Huperzia.varia","Hymenophyllaceae","Hymenophyllum","Hypolepis","Ilex","Ipomoea","Ixora","Jasminum","Joinvillea","Juncus","Knightia","Lamiaceae","Lauraceae","Laurelia","Lecythidaceae","Leea","Lepironia","Lepisorus","Leptospermum","Leucas","Libocedrus","Liliaceae","Lindsaeaceae","Loganiaceae","Longetia","Loranthaceae","Ludwigia","Lycopodiaceae","Lycopodiella","Lycopodiella.cernua","Lycopodiella.lateralis","Lycopodium","Lycopodium.scariosum","Lygodium","Macaranga","Machaerina","Maesa","Mallotus","Malpighiaceae","Malvaceae","Marattiaceae","Maytenus","Medinilla","Melaleuca","Melastoma","Melastomataceae","Meliaceae","Melicope","Melicytus","Melochia","Meryta","Metrosideros","Metroxylon","Metroxylon.vitiense","Microsorum","Momordica","Monimiaceae","Moraceae","Morinda","Muehlenbeckia","Mussaenda","Myoporum","Myoporum.rapense","Myriophyllum","Myristica","Myrsine","Myrtaceae","Neonauclea","Neopanax.arboreus","Nepenthes","Nestegis","Neuburgia","Nothofagus","Nymphoides","Nymphoides.indica","Olacaceae","Oleaceae","Olearia.colensoi","Onagraceae","Ophioglossum","Ophiorrhiza","Orchidaceae","Oxalis","Paesia","Palaquium","Pandanaceae","Pandanus","Pandanus.tectorius","Parinari","Parsonsia","Pectinopitys.ferruginea","Pemphis","Phaleria","Phormium","Phyllanthaceae","Phyllanthus","Phyllocladus","Phytolaccaceae","Pinaceae","Pinus","Piper","Pisonia","Pittosporum","Planchonella","Plantago","Plantago.lanceolata","Plerandra","Plicosepalus","Poaceae","Podocarpaceae","Podocarpus","Polygala","Polygonaceae","Polygonum","Polypodiaceae","Polypodium","Polyscias","Portulacaceae","Potamogeton","Premna","Primulaceae","Proteaceae","Prumnopitys.taxifolia","Psidium.guajava","Psilotum","Psychotria","Pteridaceae","Pteridium","Pteridium.esculentum","Pteris","Pteris.berteroana","Pteris.tremula","Pyrrosia","Quintinia","Randia","Ranunculaceae","Ranunculus","Rauvolfia","Restionaceae","Rhamnaceae","Rhizophora","Rhizophoraceae","Rhopalostylis.sapida","Rhus","Rosaceae","Rubiaceae","Rubus","Rumex","Rutaceae","Salacia","Salicaceae","Santalaceae","Sapindaceae","Sapotaceae","Saurauia","Scaevola","Scaevola.taccada","Schefflera","Schizaea","Schoenus","Scirpus","Selaginella","Selaginella.kraussiana","Sigesbeckia.orientalis","Simaroubaceae","Site","Sloanea","Solanaceae","Solanum","Sonchus","Sophora","Sophora.tomentosa","Stachytarpheta","Stenochlaena","Stenochlaena.palustris","Streblus","Symplocaceae","Symplocos","Syzygium","Tapeinosperma","Terminalia","Thelypteris","Thymelaeaceae","Timonius","Tournefortia","Trema","Trifolium","Triumfetta","Turrillia","Typha","Typha.angustifolia","Typha.latifolia","Typha.orientalis","Ulex.europaeus","Ulmaceae","Urena","Urticaceae","Verbenaceae","Veronica","Vigna","Vitaceae","Vitex.lucens","Weinmannia","Xanthomyrtus"
"1",0,2.90318690940556,0,0,0.0960614793467819,0,0.23754876724025,0,0.2460024600246,0.229095074455899,0,0,0,0,0,0,0,0,0,0,0.192122958693564,0,0,0,0,0,0,0,0.589645071708449,0,0,0.0960614793467819,4.25414792191239,0,0,0,0,0.192122958693564,0,0,0.11454753722795,0,0,0,1.58202211868519,2.92649547013014,0,0,0,0,202.333333333333,0,0,0.219062709359082,0,0,0,0,0,0,0,0,0,0,0.448157783814981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973890989095577,0,0,0,5.94422991676365,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76020375640935,10.7128008800513,0,0,0,0,0,0,0,0,0.525733205280596,0,0.60655245727715,0,0.0960614793467819,0.0960614793467819,0.588066399395982,0,0,0,0,0,0,0,0,0,0,0.5980987644928,0,0,0,0,0,0.192122958693564,0,0,0,0.192122958693564,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0.1230012300123,0,0,0,0,0,0,0,0.834068859420583,0.0960614793467819,0,0,0.333610246587032,0,0.342063939371382,0,0,0,0,0,0,0,0,0,0,0,0.589645071708449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32116479072037,0,0.11454753722795,7.74420991781147,0,0.11454753722795,0.342063939371382,0,0.2460024600246,0,0,0.342063939371382,0,0,0,0,0,0,0.1230012300123,0,1.53659631013851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411185668052646,0.429671725933814,0.219062709359082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960614793467819,0,0.667220493174063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192122958693564,0,1.00083073976109,0,0.448157783814981,0,0,1.80424217266921,0,3.03622050451468,0,0,0,0,0,0,0,0,0,0.11454753722795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960614793467819,0,0,0,0,0,0,0.0960614793467819,0,0,0,0,0,0,0,0,0,"tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1133525456292,0,0,0.0960614793467819,0,0,0,0,0,5.61109351549263,0,29.7531712950452,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0.684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23694388302518,0,0,0,0.0910746812386157,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,209.9,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8659580307907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,2.51016792674102,0,0,27.9175087955685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69231728921825,0,0,0,0,0,0,0,0,3.00920727599371,0,0,0.273224043715847,0,0,0,0,0,0,0,0,3.78147066896225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14394790029194,0,0,0,0,0,0.546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36612021857923,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,0.0910746812386157,0,0,0,0,0,0,14.6493000973127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"plu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0.675874228621804,0,0,0,0,0,0,0,0.112612612612613,0,0,0,0,0,0,0,0,0,0.133868808567604,0,0,0,0,0,0,0,0,2.69983471570307,0,0,0,0,0,0,0,0,0.763965552387533,0,0,0,0,0,0,0.630096743819929,0,0,0,0,0,160,0,0,0.13550135501355,0,0,0,0,0,0,0,0,0,0,0.112612612612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13550135501355,0,0,9.39894493376715,0,0,9.80361789941573,0,0,0,0,0,0,0,0,0,0,0,2.96757233283827,0,0.225225225225225,0,0,0,0,0,0,0,0,0,0,0,0.13550135501355,0,0,0,0,0,0,0,0,0,0,0.112612612612613,0.248113967626163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7498912371084,0.112612612612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24611917236072,0,0,0,0,0,0.248113967626163,2.55963427429781,0,0.133868808567604,0,0,0,0,0,0,0,0,0.721453160477551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585951805464001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112612612612613,0,0,0,0,0,46.3312930915047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494595388806379,0,3.89832235997384,0,0.133868808567604,0,0,0,0,5.08002124957752,0,0,0,0,0,0,0,0,0,0.133868808567604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112612612612613,0,0,0,0,0.13550135501355,0,0,0,0,0,0,0,0,0,0,0,0,0.133868808567604,0,0,0,0,0,0,0,"bon",0,0.13550135501355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381982776193766,0,0,0,1.33049226128862,0,0,0.133868808567604,0,0,0,0,0,0,0,4.80248835376664,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1269841269841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650793650794,0,0,0,0,0,0,0,0,0,2.38095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ngo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0.178642374709121,0.417163289630513,0,0,0.238237130370623,0,0,0,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0.476474260741245,0,0,0,0,0,0,0,0,0.357426641693626,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0.119047619047619,0.119189511323004,0,0,0.119047619047619,0,0,0.238237130370623,0,0,0,0,0,0,0,9.88676996424315,0,0,0.297831886032124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7490493217549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297831886032124,0,0,0,0,0,0.119189511323004,0,0,0,0,0,8.33432657926103,0,0.535785231851978,0,0,0.0595947556615018,0,0,0,0,0.178784266984505,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0.29768999375674,0,0,0,0.119047619047619,0,0,0,0,0,0,0.0595947556615018,0,0.119189511323004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6709234349282,0,0,0,0,0.119047619047619,0,0.178784266984505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119189511323004,0,0,0,0,0,0,0,0,0.0595947556615018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3026562233952,0,0,0,0,0,0,0,0,0.476474260741245,0,0,0,0,0,0.0595947556615018,0,0,0,0,0,0,5.42056870423974,0,0,0,0,0.476332368465861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0,0.47661615301663,0,0,0,0,0,0,0,0,0,0.0595947556615018,0,0,0,0,0,0,0,0,0,0,0,"ava",0,0.119047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0.0595947556615018,0,0,0,0,0.952522844656337,0,0,0,0,0,0,0,0,0,0.0595947556615018,0.178784266984505,0,0,0.0595947556615018,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0.0171821305841924,0,0,0,0,8.09325533710537,0,0,0,0,0.0994866573331636,0,0,0,0,0,0,0,0,0,0,0.0125786163522013,0.13606036681538,0,0,0,0.380448558804459,0,0,0,0,0,0,0,0,0.484175138962713,0.0865545432538897,0,181.293333333333,0.456305440357045,0,0,0,0.0789105256459208,0,0,0,0,0,9.38710837507403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713076911004071,0.264187620553711,1.35507921041829,0,0,0,0,5.23332558238358,0,0,0,0,0,0,0,0.0331547480394441,0,1.06255173508571,0,0,0,0,0,0,0,0,0,0,0.062442801362676,0,0,0,0,0,0,0,0.728543826412431,0,0,0,0,0,0,0,0,0.0171821305841924,0,0,0,0.2852631783053,0,0,0,0,0,0,0,0,0,0,0.211650671359592,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,1.24337399709269,0,0.0210970464135021,0,0,0,0,0.155118956640863,0,0,0,0.0234741784037559,0,0,0,0,0,0,0,0.0515463917525773,0,0,0,0,0,0,0,0,0.149389725963646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693738522685891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236619354391997,0,0,0.252720057091915,0,0,0,0,0.0125786163522013,0,0,0,0.0183150183150183,0,0,0,0,0.0234741784037559,0,0,0,0.0969839127733865,0,0,0,0,0,0,0.145665693883723,0,0,0.0126262626262626,0.365267505842591,0,0,0,0,0,0,0.157871020631534,0,0,0.0389983579638752,0,0,0.0519130635813853,0,0,1.76421855688751,0,0,0,0,0,0,0,0,12.9073425103757,0.506467678781091,0,0,0,0.282611285855,0,0,0,0,0,0,0,0,0,0,0.0205761316872428,0,0,0,47.5503877131639,0,0,0.715070447000077,0,0,0,0,0.0404174015285126,0,0,0,0,0,0.339894217023674,0,0,0,0,0.054945054945055,0,0,0,0,0,0,0,0,0,0,0.0943211035281032,0,0,0,0.0366300366300366,0.847360930302772,0,"wai",0,0,0.0483860364210111,1.88932404002973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138377807335425,0,0,0,0,0,0.654023260158759,0.0343642611683849,0,0,0.268014339653195,0,0.124105111237872,0,0,0,0,0
"7",0,0,0,0,0,8.55985605782841,0,0,0,0,0,0,0.393981094535764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.633244387415,0,0,0,0,0,0,0,0,0,0,0.0340488796359109,0,0,0,206.333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0363881156414315,0.37146788913372,0,0,0,0,0,0,0,0,17.6266833819576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60245434446889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26366106369635,0,0,0,0,0,0,0,0,0,0,0.310508252982513,0,0,0,0,0,0,0,0,0,0,0,3.5408835866427,0,0.757204336220515,0,0,0,0,0,0,"(-100,400]",0,0,0,0.146054420045758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52624617627277,0,0,0,0.743357219532101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257835790830715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81717514078947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.368692352482,0,0,0,0,9.45489011557528,0,0,0,0,0.49529051884496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fin",0,0,0,0,0,0,0.259915111724511,0,0,0,0,0,0,0,0,0,0,0,0,19.8001617637437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,8.58382912226361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3302543629486,0,0,0,0,0,0,0,0,7.20259425760454,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,1.32058939228402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54503755593074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.145532502381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0.156943654877478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241545947770079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09302420954823,0,0,0,0,0,0,0.483091755685079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44927526705524,0,0,0,12.4292055323466,0,0,0,0,0,0,0,0,7.7895491369803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8331841278269,0,0,0,0,0,2.09744099743797,0,0,0,0,0,0,0,0,0,0,0.165073694987486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330147334103015,0,0,1.8036811479691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0.523445215112498,0,0,0,0,0,0,7.45570710231999,0,1.69212023589299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93124847943368,0,0,0,0,0,0,0,0,15.0180187092632,0,0,0,0,0,0,0,3.74877208255134,0,0,0,0,138.666666666667,0,0,0,0,0,0,0,0.150487888975125,0,0,0,0,0.300975819252625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32113414521174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773624866203663,0,0,0.469840383554978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92435113079096,0,0,0,0,0,0,0,0,0,0,0.300975819252625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174481773376377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147679343297162,0,0,0,0,0,0,0,2.20677223863276,0,0,0,0,0,0,0,0,0,0,0,17.6035137731592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9416654738755,0,1.20390319440575,0,0,0,1.94510850406092,0,0,0,0,0,0,0,0,0,0,0,0,1.09578585395316,0,0,0,0,0,0,0,4.1659449179843,0,0,0,0,0,0,0,0,0,0,0,0,1.17338452860956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"vol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731058520829937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0.0547345374931582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164203612479475,0,0,0,0,0,0,0,0,0,0.191949296565836,0,0,0,0,0,0,0,0,0,0,0,106.844444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448028673835125,0,0,0,0,0,0,0,0,0,0.478419470016351,0,0.15674950582937,0,0,0.109469074986316,0,0,0,0,0,0,0.312819655269161,0,0,0,25.4506698512982,0,0,0,0,0,0,0,0,0,0,0,0,14.7493676987892,0,0,0,0,0.215765133306363,0,0,0,0,0,0,0,0,0,0,0,0,0.141285321330333,0,0,0,0.0851626165479774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-100,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.115141047783535,0.0853543677890276,0,0,0,0,2.6400343348792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365295087000382,0,0,3.69280291258898,0,0,0,0,0,0,0,0,0,0.0547345374931582,0.91981071949279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299728093666049,0,0,0,0,0,0,0,0,0,0,0,0.681736998464902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8847335161401,0,0,0,0,0,0,0,0.0851626165479774,0,0,0,0.305241725099679,0,0,0,0,0.0547345374931582,0,0,0,31.0366646939601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525304146008475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tuk",0,0,0,0.0575705238917674,0,0.040551500405515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
