X.1,Apocynaceae,Canarium,Canavalia.Type,Cunoniaceae,Dacrycarpus,Dilleniaceae,Elaeocarpus,Ilex,Malvaceae..other,Meliaceae,Myrtaceae,Palms,Podocarpus,Rhamnaceae,Rubiaceae,Rutaceae,Sapindaceae,Sapotaceae,Terminalia.Type,Acryanthes,Araliaceae,Arytera.Type,Casuarina,Dodonea,Homalanthus.Exocoaria,Legumes,Lonicera.Type,Macaranga.Mallotus,Moraceae,Neonauclea.Type,Olacaceae.6p.triangle,Pandandus.tectorius.Type,Pandanus,Pandanus.krauliensis.Type,Proteaceae,Psychotria,Trema,Type.13.Simaroubaceae,Coprosma,Alternanthera,Amaranthaceae,Apiacaeae,Asteraceae.Type.A,Asteraceae.Type.B,Euphorbia,Plantago,Poaceae.70.um,Portulaceae,Hypolepis,Polypodiaceae,Treeferns,Triletes.Other,Blechnum,Monolete.Other,Monolete.Psilate,Pteridium,Calycosia,Poaceae,Rhizophoraceae,Barringtoniaceae,Cyperaceae,Metroxylon,Nymphoides.indica,Ranunculaceae,Typha,Indeterminate.3C3P,Indeterminate.Other,Type.11
0,0,0,0,0,0,0,0,0,0.003322936,0,0,0.066458715,0,0,0,0.016614677,0,0,0,0.009968806,0,0,0,0,0.003322936,0.003322936,0,0,0,0,0,0.046521103,0,0.079750456,0,0,0,0,0,0.003322936,0.006645871,0,0.146209154,0.023260547,0,0,0,0,0.013291741,0,0.099688059,0.096365167,0.023260547,0.016614677,0.086396318,0.006645871,0,0.103011037,0,0,0.063360884,0,0.016528927,0,0,0.066115699,0,0
128,0,0,0,0,0,0,0,0,0,0,0.003865156,0.100494019,0,0,0,0,0,0,0,0,0,0,0,0,0.003865156,0.00773031,0,0,0,0,0,0.061842481,0,0.162336526,0,0,0,0,0,0.127550164,0.015460622,0,0.0695728,0,0,0,0.003865156,0,0.042516707,0.015460622,0.042516707,0.030921245,0.042516707,0.00773031,0.027056085,0.00773031,0,0.085033414,0,0,0.087096802,0,0.022580644,0,0.012903221,0.019354836,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0.014574265,0.029148522,0,0,0.007287131,0,0,0,0,0,0,0.007287131,0,0.010930697,0,0.003643565,0,0,0,0,0.007287131,0,0.051009916,0,0,0,0,0,0.058297044,0.018217825,0,0.083802014,0,0,0,0,0,0.014574265,0.03279209,0.105663391,0.047366347,0.021861394,0.018217825,0.007287131,0.010930697,0,0.269623844,0,0.007287131,0.040345823,0,0.011527376,0.100864536,0.005763689,0.014409219,0,0
605,0,0,0,0,0,0,0,0,0.003946962,0,0.011840889,0.07893925,0,0,0,0,0,0,0,0,0,0,0.003946962,0,0.019734812,0.003946962,0,0,0,0,0,0.086833173,0,0.193401186,0,0,0,0,0,0.039469625,0.015787846,0,0.06709836,0,0,0,0,0,0.003946962,0.031575702,0.059204437,0.031575702,0.003946962,0,0.071045326,0,0,0.17761334,0,0.003946962,0.028368793,0,0.021276595,0,0,0.039007091,0.003546099,0
1137,0,0,0,0,0,0,0,0,0.003785339,0,0.003785339,0.079492122,0,0,0,0.045424072,0.007570679,0.003785339,0,0,0,0,0.007570679,0,0.105989484,0.007570679,0,0,0,0,0,0.124916159,0,0.098418831,0,0,0,0,0,0,0.022712036,0,0.030282715,0,0,0,0,0,0,0.056780094,0.041638737,0.022712036,0.003785339,0.003785339,0.056780094,0.007570679,0,0.128701529,0,0,0.035031852,0,0.038216559,0.006369427,0.003184714,0.050955415,0.003184714,0
2473.5,0,0,0,0,0,0,0,0,0,0,0.016458427,0.053489887,0,0,0,0.008229213,0,0,0,0,0.004114607,0,0.008229213,0,0.053489887,0,0,0,0,0,0,0.102865213,0,0.234532611,0,0,0,0,0,0,0.008229213,0,0,0,0,0,0,0,0,0.041146067,0.032916854,0.01234382,0.01234382,0.004114607,0.098750525,0,0,0.209844935,0,0,0.018315015,0,0.036630039,0,0,0.036630039,0.007326007,0
3806,0,0,0,0,0,0,0,0,0,0,0.003938315,0.063013028,0,0,0.011814945,0.051198091,0.003938315,0,0,0,0,0,0.019691573,0,0,0,0,0,0,0,0,0.137841043,0,0.15359428,0,0,0.007876629,0,0,0.066951346,0.007876629,0,0,0,0,0,0,0,0.007876629,0.051198091,0.003938315,0.047259773,0.003938315,0.043321464,0.043321464,0.003938315,0,0.126026072,0,0,0.032894738,0,0.032894738,0,0.016447369,0.059210524,0,0
3979.5,0,0,0,0,0,0,0,0,0,0.004546643,0.009093286,0.05910636,0.004546643,0,0,0.022733218,0.009093286,0,0,0,0,0,0.009093286,0,0.104572771,0,0,0.009093286,0,0,0,0.15003924,0,0.140945963,0,0,0.004546643,0,0,0,0,0,0,0,0,0.004546643,0,0,0,0.050013075,0.031826504,0.018186571,0,0.036373142,0.050013075,0,0,0.140945963,0,0,0.038022813,0,0.022813684,0,0.003802281,0.068441062,0.007604563,0
4057,0,0,0,0,0,0.003840838,0,0,0.003840838,0,0.003840838,0.046090057,0.007681676,0,0.007681676,0.007681676,0,0,0,0,0,0,0.019204191,0,0.046090057,0.011522516,0,0,0,0.003840838,0,0.192041912,0,0.099861798,0,0,0.023045024,0,0,0,0,0,0,0,0,0.003840838,0,0,0,0.088339263,0.072975923,0,0,0.072975923,0.04993089,0.003840838,0,0.126747646,0,0,0.016949148,0,0.013559326,0,0.003389831,0.06779661,0.003389831,0
4135,0,0,0,0,0,0,0,0,0,0.014160082,0,0.053100293,0.00354002,0,0.007080039,0.035400196,0,0,0,0,0,0,0.021240114,0,0.095580503,0,0.00354002,0.014160082,0,0,0,0.180541029,0,0.060180325,0.00354002,0,0.028320155,0,0,0,0,0,0,0,0,0,0,0,0,0.106200569,0.024780139,0,0,0.028320155,0.021240114,0,0,0.187621044,0,0,0.012383898,0,0.009287924,0,0,0.043343653,0.003095975,0.043343653
